code,name,industry,area,市盈率,每股收益,市净率,每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
000608,阳光股份,区域地产,广西,0.0,-0.105,2.1,3.69,-0.0,7.7490000000000006,,-10.67,-15.2,,-2.81
300310,宜通世纪,通信设备,广东,57.48,0.13,3.28,4.11,7.4723999999999995,13.4808,5.706332637439109,8.2,8.75,2.05,4.15
000719,大地传媒,出版业,河南,17.61,0.316,1.68,6.64,5.56476,11.155199999999999,9.540034071550256,7.31,10.5,1.35,4.81
002417,三元达,通信设备,福建,115.95,0.061,10.38,1.37,7.07295,14.220600000000003,8.952134540750324,-17.72,-26.75,1.21,4.65
300471,厚普股份,专用机械,四川,51.46,0.16699999999999998,3.74,4.6,8.59382,17.204,7.267780800621842,,,0.56,3.62
300018,中元股份,电气设备,湖北,81.03,0.051,2.85,2.93,4.13253,8.3505,3.517215845982969,4.19,7.75,0.74,
300663,科蓝软件,软件服务,北京,0.0,-0.31,6.12,4.62,-0.0,28.2744,,,10.38,nan,
002873,新天药业,中成药,贵州,50.09,0.54,5.06,8.52,27.048600000000004,43.1112,10.101816729886202,,22.74,5.08,8.76
300229,拓尔思,软件服务,北京,215.56,0.036000000000000004,4.39,3.5,7.760160000000001,15.364999999999998,2.036555947300055,2.79,8.74,-0.3,1.02
000962,东方钽业,小金属,宁夏,0.0,-0.21600000000000005,3.57,3.15,-0.0,11.2455,,,1.98,-3.59,-6.63
600898,国美通讯,通信设备,山东,0.0,-0.056,9.19,1.39,-0.0,12.774099999999999,,2.51,4.39,,-3.88
600052,浙江广厦,区域地产,浙江,70.31,0.037000000000000005,2.11,2.46,2.6014700000000004,5.1906,3.000995590954345,,21.3,0.95,
600289,亿阳信通,软件服务,黑龙江,148.85,0.04,2.35,5.09,5.954,11.961500000000001,1.5787705744037623,,5.51,0.23,0.78
300513,恒泰实达,软件服务,北京,219.69,0.08,7.86,4.45,17.5752,34.977000000000004,3.5777686740406938,0.94,,0.02,
002017,东信和平,通信设备,广东,84.61,0.067,4.28,2.67,5.66887,11.4276,5.058503722964189,,9.53,,2.54
002652,扬子新材,其他建材,江苏,39.7,0.097,5.55,1.39,3.8509,7.714499999999999,13.97984886649874,9.64,,4.25,
600645,中源协和,生物制药,天津,632.67,0.022,7.06,3.89,13.918739999999998,27.4634,1.1159056063982804,,2.41,1.76,
300545,联得装备,专用机械,深圳,85.39,0.366,8.94,6.99,31.25274,62.4906,10.469610024593043,,,1.05,5.5
300608,思特奇,软件服务,北京,0.0,-0.1,5.56,6.6,-0.0,36.696,,nan,16.13,-13.61,-1.6
000651,格力电器,家用电器,广东,12.49,1.571,4.5,8.72,19.62179,39.24,36.028823058446754,21.13,30.41,7.19,16.14
002034,美 欣 达,纺织,浙江,460.85,0.054000000000000006,6.41,7.8,24.885900000000003,49.998,1.3909081045893457,,2.76,0.38,
002180,纳思达,电脑设备,广东,0.0,-1.02,40.91,0.74,-0.0,30.2734,,13.15,3.31,,
603416,信捷电气,电气设备,江苏,40.04,0.455,5.88,6.2,18.2182,36.456,14.685314685314685,,26.9,,7.43
300669,沪宁股份,机械基件,浙江,67.24,0.28,5.67,5.01,18.8272,28.406699999999997,8.432480666270077,,21.83,2.68,8.04
300609,汇纳科技,互联网,上海,245.42,0.109,12.73,4.22,26.75078,53.7206,5.187026322223128,8.58,,-0.76,2.95
600159,大龙地产,区域地产,北京,0.0,-0.025,1.93,2.62,-0.0,5.0566,,4.87,,-0.79,
002283,天润曲轴,汽车配件,山东,29.2,0.119,2.13,3.28,3.4747999999999997,6.986399999999999,7.294520547945206,3.64,5.62,,3.7
600741,华域汽车,汽车配件,上海,10.52,1.025,1.79,12.03,10.783,21.5337,17.015209125475288,13.39,16.84,3.94,8.22
300562,乐心医疗,医疗保健,广东,0.0,-0.079,9.76,2.54,-0.0,24.790399999999998,,,29.16,,-2.94
002297,博云新材,矿物制品,湖南,0.0,-0.025,3.28,3.35,-0.0,10.988,,-2.15,0.45,-0.23,
002148,北纬科技,互联网,北京,45.01,0.13699999999999998,6.11,2.01,6.166369999999999,12.281099999999999,13.574761164185738,4.42,7.51,2.66,6.87
600363,联创光电,元器件,江西,28.03,0.261,3.0,4.87,7.315830000000001,14.61,10.702818408847662,7.89,7.94,2.33,5.47
002830,名雕股份,装修装饰,深圳,169.83,0.081,6.49,4.22,13.756230000000002,27.3878,3.82146852735088,nan,15.85,-3.14,1.88
300312,邦讯技术,通信设备,北京,0.0,-0.044,5.69,2.48,-0.0,14.1112,,,2.46,-1.69,
300575,中旗股份,农药化肥,江苏,35.09,0.87,4.7,13.0,30.5283,61.1,13.394129381590195,11.33,15.36,,
300631,久吾高科,环境保护,江苏,232.41,0.081,7.08,5.3,18.825210000000002,37.524,3.046340518910546,8.13,11.54,0.67,1.75
300047,天源迪科,软件服务,深圳,223.84,0.031,2.54,5.52,6.93904,14.0208,1.1347390993566833,1.66,7.17,0.06,0.57
000757,浩物股份,汽车配件,四川,76.87,0.048,5.6,1.32,3.68976,7.3919999999999995,7.285026668401197,3.68,4.7,2.23,3.71
002229,鸿博股份,广告包装,福建,0.0,-0.033,3.78,3.2,-0.0,12.096,,,1.12,-0.71,-1.01
300225,金力泰,染料涂料,上海,140.99,0.055,8.42,1.85,7.75445,15.577,5.972054755656429,,8.29,1.23,
300299,富春股份,通信设备,福建,48.75,0.14300000000000002,5.31,2.62,6.97125,13.9122,10.892307692307693,5.43,8.02,4.3,5.59
