code,name,industry,area,pe,20162,20163,20164,20171,20172
000632,三木集团,综合类,福建,318.19,0.28,,1.34,0.24,0.4
002591,恒大高新,化工原料,江西,0.0,-0.15,-1.66,,-1.83,-1.45
300045,华力创通,电脑设备,北京,185.3,1.58,2.61,5.55,0.84,2.0
300332,天壕环境,环境保护,北京,243.04,2.59,3.82,2.57,0.09,0.49
000980,众泰汽车,汽车配件,安徽,61.33,1.78,2.11,4.09,1.44,3.63
300236,上海新阳,染料涂料,上海,97.44,2.72,3.78,4.74,1.44,2.75
000869,张 裕Ａ,红黄药酒,山东,19.25,8.78,9.59,,6.1,7.84
002119,康强电子,半导体,浙江,61.82,2.66,4.78,6.47,,
300416,苏试试验,电器仪表,江苏,73.06,4.34,,11.63,-0.3,4.67
600131,岷江水电,水力发电,四川,55.84,12.76,16.6,16.8,,3.53
600198,大唐电信,通信设备,北京,0.0,-9.67,-16.63,-55.81,-5.88,-14.82
600624,复旦复华,综合类,上海,153.18,,,3.54,,1.67
000021,深科技,电脑设备,深圳,22.83,4.07,5.67,4.07,2.2,5.68
600360,华微电子,半导体,吉林,97.07,1.29,1.89,2.02,0.62,1.67
300655,晶瑞股份,化工原料,江苏,99.41,5.17,,12.24,,4.5
600096,云天化,农药化肥,云南,0.0,-14.53,,-62.1,,
300496,中科创达,软件服务,北京,148.61,,9.7,11.61,2.35,5.15
000938,紫光股份,软件服务,北京,38.77,2.86,3.68,4.9,,3.34
000851,高鸿股份,软件服务,贵州,93.43,1.0,,2.9,-0.14,1.33
300661,圣邦股份,元器件,北京,69.23,12.06,,34.5,,9.4
300398,飞凯材料,染料涂料,上海,157.53,,,8.99,1.87,3.08
600206,有研新材,半导体,北京,140.38,0.62,1.05,1.72,0.34,1.17
002497,雅化集团,化工原料,四川,79.59,3.56,4.36,5.95,,5.58
300077,国民技术,半导体,深圳,98.7,1.61,1.65,3.52,0.73,1.48
600130,波导股份,通信设备,浙江,0.0,1.57,,,,-2.97
300449,汉邦高科,电脑设备,北京,2844.32,2.76,,4.67,,
601020,华钰矿业,铅锌,西藏,59.05,3.98,8.14,15.35,1.35,7.77
300615,欣天科技,元器件,深圳,75.91,17.54,24.37,30.73,4.04,
600782,新钢股份,钢加工,江西,15.2,1.36,3.36,6.03,,
002738,中矿资源,建筑施工,北京,142.49,2.91,5.16,,0.06,2.92
600058,五矿发展,商贸代理,北京,437.87,2.24,0.6,0.58,0.19,0.38
002876,三利谱,元器件,深圳,101.03,5.49,,17.59,,
002136,安 纳 达,化工原料,安徽,24.17,0.88,,8.82,6.15,14.91
002429,兆驰股份,家用电器,深圳,23.82,,6.98,7.26,1.83,
600714,金瑞矿业,煤炭开采,青海,208.99,,16.84,10.3,1.72,1.58
300220,金运激光,元器件,湖北,202.89,2.01,2.63,2.4,,2.3
300556,丝路视觉,软件服务,深圳,272.09,3.67,4.33,9.71,-5.83,1.72
002371,北方华创,半导体,北京,133.44,1.11,,,0.05,
002225,濮耐股份,其他建材,河南,60.79,1.94,2.46,-7.45,1.46,2.35
300578,会畅通讯,通信设备,上海,108.94,10.98,18.71,21.2,1.71,8.6
600196,复星医药,化学制药,上海,24.2,8.09,,,,
000426,兴业矿业,铅锌,内蒙,54.08,0.86,,3.12,,
601388,怡球资源,铝,江苏,34.45,-0.57,-0.31,1.22,4.63,
002366,台海核电,专用机械,四川,30.1,18.26,22.41,,,21.36
300421,力星股份,机械基件,江苏,47.82,4.55,,,1.52,
300568,星源材质,化工原料,深圳,64.96,16.17,21.63,24.75,2.77,5.7
002160,常铝股份,铝,江苏,50.4,1.47,2.56,5.43,0.69,
600219,南山铝业,铝,山东,26.76,,1.93,4.22,0.9,
002428,云南锗业,小金属,云南,1672.93,,-3.71,-6.73,0.1,
300139,晓程科技,元器件,北京,1779.04,,1.14,2.17,0.53,0.06
300691,联合光电,元器件,广东,65.15,,,21.38,1.35,
300487,蓝晓科技,化工原料,陕西,40.63,3.6,,8.78,,
002212,南洋股份,电气设备,广东,0.0,2.43,3.7,,,
002197,证通电子,电器仪表,深圳,374.1,0.84,2.32,,0.18,0.34
000762,西藏矿业,小金属,西藏,0.0,0.56,0.66,,-1.07,-1.55
600792,云煤能源,焦炭加工,云南,0.0,,-0.92,1.65,,
600961,株冶集团,铅锌,湖南,407.62,8.89,22.26,14.55,2.0,4.26
600773,西藏城投,区域地产,西藏,169.04,1.44,1.75,2.91,0.55,
600410,华胜天成,软件服务,北京,36.83,1.38,,,,
300490,华自科技,电气设备,湖南,109.93,,,8.54,1.18,3.12
601015,陕西黑猫,焦炭加工,陕西,60.63,1.49,2.81,8.26,1.08,3.33
300319,麦捷科技,元器件,深圳,70.68,3.57,,,0.77,
300456,耐威科技,元器件,北京,164.51,,,,0.69,1.74
002023,海特高新,航空,四川,184.29,,1.32,1.23,0.3,
000612,焦作万方,铝,河南,63.45,1.91,0.9,2.14,,2.36
002297,博云新材,矿物制品,湖南,0.0,-1.91,-2.15,0.45,-0.23,
300183,东软载波,软件服务,山东,38.54,5.89,9.98,14.62,,5.08
300579,数字认证,软件服务,北京,63.59,6.66,8.54,25.65,-0.41,6.58
300101,振芯科技,通信设备,四川,183.95,5.32,7.76,4.84,1.47,
300346,南大光电,元器件,江苏,124.58,0.3,1.2,,0.21,1.56
300570,太辰光,元器件,深圳,50.42,12.3,19.66,22.64,1.98,4.41
002824,和胜股份,铝,广东,64.79,10.05,13.94,,3.06,5.44
000545,金浦钛业,化工原料,吉林,33.4,1.91,2.69,6.58,2.79,5.03
000831,五矿稀土,小金属,山西,311.13,-1.74,-2.08,0.85,0.42,
002878,元隆雅图,文教休闲,北京,43.62,14.52,,23.28,,12.87
600459,贵研铂业,小金属,云南,55.68,2.27,3.15,4.57,,3.26
