code,name,industry,area,市盈率(pe),每股收益(eps),市净率(pb),每股净资产(bvps),股价(pe*eps),股价(pb*bvps),净资产收益(roe),20164,20171,20172,20173
300535,达威股份,化工原料,四川,58.37,0.7020000000000001,5.0,10.93,右边股价,54.65,8.566044200788076,13.53,2.22,4.09,
600908,无锡银行,银行,江苏,15.8,0.417,1.78,4.93,右边股价,8.7754,11.265822784810126,11.52,2.69,,8.58
002790,瑞尔特,家居用品,福建,32.02,0.759,3.66,8.85,右边股价,32.391,11.430356027482823,15.51,2.46,,
000001,平安银行,银行,深圳,8.67,1.06,1.12,11.54,右边股价,12.9248,12.918108419838525,13.18,2.89,6.21,
300520,科大国创,软件服务,安徽,0.0,-0.043,13.16,2.54,右边股价,33.4264,,15.11,-1.43,,
002323,雅百特,建筑施工,江苏,32.85,0.242,8.14,1.3,右边股价,10.582,24.779299847793,33.96,1.6,,20.18
600206,有研新材,半导体,北京,153.22,0.058,3.45,3.41,右边股价,11.764500000000002,2.2516642735935255,1.72,0.34,1.17,1.7
002179,中航光电,元器件,河南,36.05,0.8,6.44,5.94,右边股价,38.253600000000006,17.864077669902915,19.57,,10.25,
603612,索通发展,矿物制品,山东,34.08,1.8,7.31,9.01,右边股价,65.86309999999999,21.449530516431928,6.46,,14.38,21.01
002061,江山化工,化工原料,浙江,26.31,0.5,3.62,4.31,右边股价,15.6022,13.759026985936908,4.05,3.25,,14.2
603339,四方冷链,专用机械,江苏,39.64,0.56,4.38,6.68,右边股价,29.258399999999998,11.049445005045408,11.83,3.02,5.1,8.46
300328,宜安科技,铝,广东,155.72,0.062,6.98,1.83,右边股价,12.7734,4.482404315437965,4.47,1.44,,3.4
002618,丹邦科技,元器件,深圳,352.5,0.031,4.68,3.07,右边股价,14.367599999999998,1.327659574468085,1.48,0.47,,
603429,集友股份,广告包装,安徽,65.04,0.53,12.17,3.7,右边股价,45.029,18.711562115621156,29.94,,,15.97
000407,胜利股份,供气供热,山东,65.14,0.091,3.18,2.49,右边股价,7.9182000000000015,4.881793061099171,-14.18,,1.99,3.73
600283,钱江水利,水务,浙江,50.39,0.174,2.28,5.11,右边股价,11.6508,4.524707283191109,3.37,0.31,1.79,
600529,山东药玻,医疗保健,山东,23.82,0.657,1.99,10.5,右边股价,20.895,8.354324097397145,,2.11,4.26,6.4
300129,泰胜风能,电气设备,上海,28.14,0.211,2.55,3.11,右边股价,7.930499999999999,9.061833688699359,10.67,,,
600545,新疆城建,建筑施工,新疆,35.74,0.35,7.93,1.44,右边股价,11.4192,22.188024622271964,-11.62,-1.78,-1.03,16.84
300629,新劲刚,矿物制品,广东,223.27,0.22,11.63,5.07,右边股价,58.96410000000001,5.2089398486137855,13.52,1.38,3.42,
603396,金辰股份,专用机械,辽宁,63.81,0.96,7.32,8.38,右边股价,61.34160000000001,11.471556182416549,,,,12.19
603298,杭叉集团,专用机械,浙江,26.92,0.601,3.94,5.48,右边股价,21.5912,14.63595839524517,19.95,,,11.26
600516,方大炭素,矿物制品,甘肃,17.84,1.16,5.82,4.61,右边股价,26.830200000000005,32.62331838565022,1.16,,6.83,
603458,勘设股份,建筑施工,贵州,29.27,2.64,5.29,15.13,右边股价,80.0377,18.073112401776562,21.43,,16.63,24.99
