code,name,industry,area,市盈率(pe),每股收益(eps),市净率(pb),每股净资产(bvps),股价(pe*eps),股价(pb*bvps),净资产收益(roe),20164,20171,20172,20173
002102,冠福股份,化学制药,福建,55.49,0.054000000000000006,2.04,1.96,右边股价,3.9984,3.676338078933141,8.17,0.71,,2.85
300317,珈伟股份,半导体,深圳,37.88,0.318,2.83,5.68,右边股价,16.0744,7.470960929250263,8.98,,4.84,5.84
600759,洲际油气,石油开采,海南,0.0,-0.018000000000000002,2.29,2.35,右边股价,5.3815,,,0.23,,
002251,步 步 高,超市连锁,湖南,52.22,0.213,2.04,7.25,右边股价,14.790000000000001,3.906549214860207,2.64,2.43,3.33,2.95
002340,格林美,小金属,深圳,59.67,0.102,4.21,1.92,右边股价,8.0832,7.055471761354114,3.95,1.46,,
002613,北玻股份,专用机械,河南,0.0,-0.027000000000000003,2.57,1.58,右边股价,4.0606,,1.61,0.1,-1.74,-1.7
002870,香山股份,电器仪表,广东,42.5,0.64,4.34,7.19,右边股价,31.2046,10.211764705882352,30.88,5.69,10.59,
300362,天翔环境,环境保护,四川,58.28,0.192,3.56,4.2,右边股价,14.952000000000002,6.108442004118051,,0.22,,
002326,永太科技,化工原料,浙江,30.04,0.341,4.06,3.36,右边股价,13.641599999999999,13.51531291611185,14.02,6.9,,11.23
002018,华信国际,农药化肥,安徽,36.7,0.16699999999999998,5.41,1.51,右边股价,8.1691,14.741144414168936,12.03,,,11.42
600575,皖江物流,水运,安徽,39.01,0.079,1.89,2.17,右边股价,4.101299999999999,4.84491156113817,10.48,,2.32,3.7
002686,亿利达,专用机械,浙江,38.92,0.238,3.74,3.3,右边股价,12.342,9.60945529290853,,1.69,,
002148,北纬科技,互联网,北京,42.36,0.195,5.32,2.08,右边股价,11.065600000000002,12.559017941454202,7.51,2.66,6.87,9.66
300014,亿纬锂能,元器件,广东,43.85,0.378,8.43,2.62,右边股价,22.0866,19.224629418472063,13.88,2.73,11.33,15.42
600978,宜华生活,家居用品,广东,15.35,0.474,1.81,5.37,右边股价,9.719700000000001,11.791530944625407,9.91,,6.17,9.17
600803,新奥股份,农药化肥,河北,29.34,0.39,3.07,4.96,右边股价,15.2272,10.463531015678255,11.65,,,8.84
300045,华力创通,电脑设备,北京,171.59,0.049,4.9,2.27,右边股价,11.123000000000001,2.8556442683140046,5.55,0.84,2.0,2.77
002506,协鑫集成,半导体,上海,326.85,0.01,5.02,0.83,右边股价,4.1666,1.5358727244913566,-0.75,,0.57,1.15
002381,双箭股份,橡胶,浙江,36.99,0.198,2.51,3.88,右边股价,9.7388,6.785617734522843,3.36,,,5.14
300703,创源文化,文教休闲,浙江,65.83,0.66,6.17,7.03,右边股价,43.3751,9.372626462099348,48.8,,12.99,
603239,浙江仙通,汽车配件,浙江,35.07,0.449,6.02,3.49,右边股价,21.0098,17.16566866267465,41.65,6.71,10.7,
600735,新华锦,商贸代理,山东,70.08,0.135,5.9,2.14,右边股价,12.626000000000001,8.418949771689498,7.64,2.32,,6.7
300188,美亚柏科,软件服务,福建,111.62,0.133,5.06,3.9,右边股价,19.733999999999998,4.533237771008779,10.39,,1.72,3.46
603218,日月股份,工程机械,浙江,48.8,0.455,4.36,6.79,右边股价,29.604400000000002,8.934426229508198,22.17,,4.63,
300679,电连技术,元器件,深圳,38.01,2.84,4.61,25.18,右边股价,116.0798,12.128387266508815,41.63,,16.86,18.12
000030,富奥股份,汽车配件,吉林,12.82,0.498,1.98,4.3,右边股价,8.514,15.444617784711388,13.73,4.18,8.39,11.91
300087,荃银高科,种植业,安徽,0.0,-0.066,7.45,1.53,右边股价,11.3985,,4.83,,-1.31,-4.18
002813,路畅科技,汽车配件,深圳,303.83,0.102,7.67,5.38,右边股价,41.2646,2.524438008096633,8.09,,2.56,1.83
600027,华电国际,火力发电,山东,0.0,-0.024,1.02,4.17,右边股价,4.2534,,,0.03,,-0.57
603232,格尔软件,软件服务,上海,265.09,0.2,7.35,8.44,右边股价,62.03399999999999,2.772643253234751,20.63,,2.43,2.55
002359,北讯集团,钢加工,山东,120.59,0.27,3.94,5.54,右边股价,21.8276,3.2672692594742516,-5.28,,,3.96
300601,康泰生物,生物制药,深圳,107.06,0.38,22.45,2.36,右边股价,52.98199999999999,20.969549785167196,12.49,,8.2,17.31
600163,中闽能源,新型电力,福建,39.15,0.085,2.65,1.67,右边股价,4.4254999999999995,6.7688378033205625,6.91,3.09,3.51,5.22
002210,飞马国际,仓储物流,深圳,88.44,0.114,5.5,2.44,右边股价,13.42,6.218905472636816,,1.79,3.49,4.62
600897,厦门空港,机场,福建,16.2,1.102,2.13,11.17,右边股价,23.792099999999998,13.148148148148149,12.62,3.04,6.58,9.86
300168,万达信息,软件服务,上海,93.15,0.108,5.86,2.28,右边股价,13.3608,6.290928609769189,11.3,0.19,,
002691,冀凯股份,专用机械,河北,504.52,0.04,6.25,4.3,右边股价,26.875,1.238801236819155,,0.1,,0.93
000673,当代东方,影视音像,山西,246.93,0.036000000000000004,4.05,2.95,右边股价,11.9475,1.6401409306281132,8.05,0.57,,
603466,风语筑,文教休闲,上海,57.88,1.025,11.85,6.68,右边股价,79.158,20.473393227366966,,,,22.8
002080,中材科技,化纤,江苏,28.62,0.7440000000000001,2.69,10.56,右边股价,28.4064,9.399021663172606,5.55,1.7,4.57,7.28
600719,大连热电,供气供热,辽宁,0.0,-0.062,4.33,1.73,右边股价,7.4909,,1.88,,2.25,-3.52
600694,大商股份,百货,辽宁,13.28,2.201,1.6,24.4,右边股价,39.04,12.048192771084338,,4.63,7.22,8.99
000625,长安汽车,汽车整车,重庆,8.38,1.21,1.4,9.65,右边股价,13.51,16.706443914081145,26.81,5.36,10.42,12.93
600965,福成股份,农业综合,河北,61.99,0.146,5.43,2.22,右边股价,12.0546,8.75947733505404,10.93,1.4,3.69,6.67
000885,同力水泥,水泥,河南,11.37,1.2,4.82,3.75,右边股价,18.075000000000003,42.39226033421284,1.93,0.01,5.02,10.89
300331,苏大维格,元器件,江苏,58.7,0.27,3.47,6.08,右边股价,21.0976,5.911413969335604,6.33,,2.61,4.53
601018,宁波港,港口,浙江,25.76,0.17600000000000002,2.21,2.74,右边股价,6.055400000000001,8.579192546583851,,1.95,,6.57
603639,海利尔,农药化肥,山东,25.15,1.63,4.21,12.67,右边股价,53.3407,16.739562624254475,,,,17.39
300344,太空板业,其他建材,北京,0.0,-0.022,6.4,1.9,右边股价,12.16,,,,,-1.11
300495,美尚生态,环境保护,江苏,45.29,0.253,3.32,4.59,右边股价,15.2388,7.330536542283065,17.09,-0.28,4.2,5.6
002357,富临运业,公路,四川,21.77,0.369,3.08,3.48,右边股价,10.7184,14.14790996784566,9.56,4.24,6.1,10.93
000059,华锦股份,石油加工,辽宁,10.45,0.769,1.48,7.22,右边股价,10.685599999999999,14.162679425837322,,4.12,7.48,
000623,吉林敖东,中成药,吉林,15.63,1.178,1.43,17.21,右边股价,24.6103,9.149072296865002,9.43,2.21,4.78,7.09
000671,阳 光 城,区域地产,福建,30.29,0.153,1.7,3.63,右边股价,6.170999999999999,5.6124133377352265,9.75,1.59,2.45,4.59
000823,超声电子,元器件,广东,56.27,0.247,3.23,5.74,右边股价,18.540200000000002,5.740181268882175,6.41,,3.15,
002009,天奇股份,工程机械,江苏,59.43,0.215,3.2,5.32,右边股价,17.024,5.384485949856975,5.77,1.41,2.69,3.97
002763,汇洁股份,服饰,深圳,19.96,0.584,3.42,4.54,右边股价,15.5268,17.13426853707415,,5.99,,13.44
600410,华胜天成,软件服务,北京,47.61,0.171,2.45,4.45,右边股价,10.902500000000002,5.145977735769797,,,,3.9
300004,南风股份,电气设备,广东,31.98,0.255,1.72,6.33,右边股价,10.8876,5.378361475922452,3.02,-0.63,3.13,4.1
603879,永悦科技,化工原料,福建,78.46,0.253,7.46,3.55,右边股价,26.482999999999997,9.50802956920724,19.49,3.32,8.16,
603042,华脉科技,通信设备,江苏,60.63,0.52,5.71,6.33,右边股价,36.1443,9.41777997690912,18.4,,,
000068,华控赛格,元器件,深圳,0.0,-0.008,10.28,0.61,右边股价,6.2707999999999995,,1.61,-2.38,,-1.33
300660,江苏雷利,电气设备,江苏,32.83,2.13,4.14,19.37,右边股价,80.1918,12.610417301248857,38.6,nan,,14.92
000597,东北制药,化学制药,辽宁,56.34,0.168,2.51,5.04,右边股价,12.6504,4.45509407170749,1.03,0.47,1.68,
600119,长江投资,仓储物流,上海,150.98,0.079,5.29,3.0,右边股价,15.870000000000001,3.5037753344813884,15.74,1.05,,2.6
600072,中船科技,船舶,上海,527.19,0.023,3.21,4.95,右边股价,15.8895,0.6088886359756444,-1.52,0.09,,
300090,盛运环保,环境保护,安徽,2977.8,0.003,2.83,3.96,右边股价,11.2068,0.09503660420444623,,0.13,1.06,0.07
002568,百润股份,红黄药酒,上海,62.8,0.16,6.46,2.48,右边股价,16.0208,10.286624203821656,-15.93,1.27,4.77,8.03
002396,星网锐捷,通信设备,福建,41.32,0.5,4.97,5.15,右边股价,25.5955,12.02807357212004,11.62,-0.65,1.78,9.07
002881,美格智能,通信设备,深圳,117.84,0.28,8.57,4.33,右边股价,37.1081,7.272572980312288,22.81,3.1,7.09,8.12
000636,风华高科,元器件,广东,41.68,0.204,2.21,5.12,右边股价,11.3152,5.302303262955854,2.87,,,
300640,德艺文创,文教休闲,福建,66.15,0.3670000000000001,9.31,3.48,右边股价,32.3988,14.074074074074073,41.58,,,18.41
002805,丰元股份,化工原料,山东,88.42,0.29100000000000004,5.93,5.78,右边股价,34.2754,6.706627459850712,4.89,1.5,2.59,5.11
600717,天津港,港口,天津,17.97,0.478,1.23,9.33,右边股价,11.4759,6.844741235392321,8.47,,3.59,4.55
600888,新疆众和,铝,新疆,38.95,0.127,1.65,3.99,右边股价,6.5835,4.2362002567394095,1.21,1.04,2.19,3.19
002787,华源控股,广告包装,江苏,37.04,0.266,3.93,3.35,右边股价,13.165500000000002,10.610151187904968,11.66,,5.02,7.99
000672,上峰水泥,水泥,甘肃,13.29,0.56,4.27,2.32,右边股价,9.906399999999998,32.129420617005266,8.31,5.82,16.55,27.13
002126,银轮股份,汽车配件,浙江,24.83,0.32,2.37,4.18,右边股价,9.9066,9.544905356423682,11.9,3.39,7.08,8.9
002130,沃尔核材,电气设备,深圳,57.87,0.086,3.06,2.17,右边股价,6.6402,5.287713841368585,5.71,0.52,,4.06
601677,明泰铝业,铝,河南,18.19,0.58,1.64,8.13,右边股价,13.3332,9.015942825728422,7.23,1.89,4.55,7.02
603538,美诺华,化学制药,浙江,71.81,0.32,3.08,9.23,右边股价,28.428400000000003,4.289096226152346,12.12,,,3.55
002524,光正集团,供气供热,新疆,0.0,-0.091,4.78,1.4,右边股价,6.692,,0.62,-1.8,-4.8,-6.41
600867,通化东宝,生物制药,吉林,46.35,0.379,9.21,2.54,右边股价,23.393400000000003,19.8705501618123,20.78,5.2,9.9,15.55
300400,劲拓股份,专用机械,深圳,58.9,0.213,8.62,1.94,右边股价,16.7228,14.63497453310696,12.84,,6.94,11.4
002636,金安国纪,元器件,上海,23.12,0.544,5.87,2.86,右边股价,16.7882,25.389273356401382,21.85,8.42,14.24,20.76
600535,天士力,中成药,天津,27.46,1.054,4.9,7.87,右边股价,38.563,17.84413692643846,15.24,3.92,9.06,
603286,日盈电子,汽车配件,江苏,93.63,0.28,6.15,4.65,右边股价,28.597500000000004,6.568407561678949,13.38,nan,,6.62
603991,至正股份,塑料,上海,96.62,0.3,5.95,5.96,右边股价,35.462,6.158145311529704,16.47,,3.94,5.46
603903,中持股份,环境保护,北京,111.14,0.31,6.41,6.66,右边股价,42.6906,5.7675004498830305,11.4,0.49,2.54,4.96
601939,建设银行,银行,北京,6.37,0.805,1.01,6.76,右边股价,6.8275999999999994,15.85557299843014,15.44,4.41,,
300059,东方财富,互联网,上海,96.16,0.107,4.42,3.09,右边股价,13.6578,4.596505823627288,6.6,0.78,2.01,
002486,嘉麟杰,服饰,上海,0.0,-0.044,6.43,1.07,右边股价,6.8801,,1.29,-2.82,-3.1,-4.02
000711,京蓝科技,软件服务,黑龙江,46.22,0.21,2.16,5.61,右边股价,12.117600000000001,4.673301601038512,1.44,,3.34,4.54
000333,美的集团,家用电器,广东,17.51,2.31,4.92,10.92,右边股价,53.7264,28.09822958309537,26.88,6.87,16.46,
600663,陆家嘴,园区开发,上海,38.87,0.435,5.45,4.14,右边股价,22.563,14.021095960895293,12.13,2.19,5.86,
002824,和胜股份,铝,广东,58.9,0.34,5.24,4.0,右边股价,20.96,8.896434634974533,,3.06,5.44,7.07
300371,汇中股份,电器仪表,河北,59.69,0.287,4.8,4.76,右边股价,22.848,8.041547997989614,10.03,,2.0,6.17
300707,威唐工业,专用机械,江苏,57.61,1.22,9.76,7.22,右边股价,70.46719999999999,16.941503211248047,,,,25.52
002897,意华股份,元器件,浙江,51.68,0.69,4.7,10.11,右边股价,47.516999999999996,9.094427244582043,20.22,,9.09,12.13
002227,奥 特 迅,电气设备,深圳,1922.1,0.008,5.42,3.6,右边股价,19.512,0.2819832474897248,1.16,,0.13,0.21
002541,鸿路钢构,钢加工,安徽,23.73,0.505,1.4,11.45,右边股价,16.029999999999998,5.899705014749262,4.89,1.24,2.86,
300335,迪森股份,供气供热,广东,38.46,0.451,6.96,3.33,右边股价,23.1768,18.096723868954758,,,,14.3
603358,华达科技,汽车配件,江苏,32.99,1.14,3.14,15.52,右边股价,48.7328,9.51803576841467,25.42,,5.78,7.58
002752,昇兴股份,广告包装,福建,96.58,0.084,5.11,2.13,右边股价,10.8843,5.290950507351419,12.42,3.06,4.04,4.09
603718,海利生物,生物制药,上海,73.1,0.13,7.86,1.61,右边股价,12.654600000000002,10.752393980848154,9.0,,5.34,8.24
300337,银邦股份,铝,江苏,937.14,0.006999999999999999,4.87,1.87,右边股价,9.106900000000001,0.5196662184945686,0.48,,,0.39
600495,晋西车轴,运输设备,山西,331.62,0.016,2.82,2.59,右边股价,7.303799999999999,0.8503709064592003,,-0.35,0.43,0.64
002615,哈尔斯,家居用品,浙江,26.53,0.259,4.68,1.95,右边股价,9.126,17.640407086317374,,4.73,9.82,13.7
600630,龙头股份,纺织,上海,38.14,0.253,3.03,4.24,右边股价,12.847199999999999,7.94441531200839,1.23,1.25,,6.14
300451,创业软件,软件服务,浙江,74.63,0.29,3.51,7.86,右边股价,27.5886,4.7032024654964495,9.74,1.33,1.83,3.59
603858,步长制药,中成药,山东,31.94,1.6569999999999998,3.81,18.53,右边股价,70.5993,11.92861615529117,21.21,1.75,5.31,
300419,浩丰科技,软件服务,北京,70.61,0.118,2.76,4.03,右边股价,11.1228,3.9087947882736156,4.47,1.08,2.09,2.96
600498,烽火通信,通信设备,湖北,52.16,0.57,4.47,8.34,右边股价,37.279799999999994,8.56978527607362,10.75,1.89,6.04,8.04
600716,凤凰股份,区域地产,江苏,0.0,-0.101,1.58,3.55,右边股价,5.609,,1.56,-0.31,-2.09,-2.74
300113,顺网科技,互联网,浙江,26.27,0.54,4.41,4.25,右边股价,18.7425,16.787209744956225,,5.21,8.6,
002063,远光软件,软件服务,广东,40.24,0.21,3.57,3.15,右边股价,11.2455,8.871769383697814,7.57,0.33,4.06,6.73
600619,海立股份,机械基件,上海,49.44,0.228,3.18,4.73,右边股价,15.041400000000003,6.432038834951457,4.48,1.18,2.82,
600848,上海临港,园区开发,上海,80.88,0.262,4.95,5.71,右边股价,28.2645,6.120178041543027,9.13,0.93,3.14,
000877,天山股份,水泥,新疆,23.77,0.35700000000000004,1.59,7.12,右边股价,11.3208,6.689103912494741,1.61,-2.31,,5.13
601866,中远海发,水运,上海,28.99,0.098,3.07,1.23,右边股价,3.7760999999999996,10.589858571921352,,,,8.26
600540,*ST新赛,种植业,新疆,255.89,0.017,4.29,1.32,右边股价,5.662800000000001,1.6765016217906132,,0.6,0.95,1.27
603585,苏利股份,化工原料,江苏,24.45,1.11,3.73,9.71,右边股价,36.218300000000006,15.25562372188139,,3.34,8.09,11.78
300476,胜宏科技,元器件,广东,44.28,0.51,4.38,6.1,右边股价,26.717999999999996,9.89159891598916,17.4,3.11,,
002528,英飞拓,电脑设备,深圳,62.03,0.069,2.11,2.72,右边股价,5.7392,3.4015798807028856,,,0.92,2.48
002197,证通电子,电器仪表,深圳,223.22,0.04,2.53,5.3,右边股价,13.408999999999999,1.133410984678792,,0.18,0.34,
600787,中储股份,仓储物流,天津,15.72,0.55,2.41,4.77,右边股价,11.4957,15.330788804071247,8.36,0.32,1.04,12.13
002265,西仪股份,汽车配件,云南,200.02,0.058,5.1,3.03,右边股价,15.452999999999998,2.5497450254974496,1.45,0.99,1.68,2.01
002821,凯莱英,生物制药,天津,56.8,0.88,7.93,8.33,右边股价,66.0569,13.961267605633804,24.11,2.76,,10.9
601988,中国银行,银行,北京,5.9,0.47,0.83,4.69,右边股价,3.8927,14.067796610169491,12.58,,7.6,10.26
002294,信立泰,化学制药,深圳,27.97,1.046,7.14,5.47,右边股价,39.0558,25.527350732928138,28.68,,13.33,19.89
601898,中煤能源,煤炭开采,北京,23.96,0.183,0.88,6.69,右边股价,5.8872,3.672787979966611,2.4,1.35,1.95,
300550,和仁科技,软件服务,浙江,107.73,0.258,6.03,6.16,右边股价,37.144800000000004,5.597326649958228,,0.23,2.57,4.24
300226,上海钢联,互联网,上海,131.02,0.213,10.96,3.39,右边股价,37.1544,8.365135093878797,5.64,1.17,4.45,
600132,重庆啤酒,啤酒,重庆,24.92,0.653,9.06,2.39,右边股价,21.6534,36.35634028892456,15.37,3.84,12.98,25.99
600258,首旅酒店,酒店餐饮,北京,35.29,0.73,3.57,8.9,右边股价,31.773,10.116180221025786,12.78,0.52,3.52,
600185,格力地产,区域地产,广东,22.3,0.202,1.63,3.69,右边股价,6.0146999999999995,7.309417040358744,11.87,3.59,3.82,
002333,罗普斯金,铝,江苏,0.0,-0.024,4.71,2.98,右边股价,14.0358,,9.32,-0.69,,-0.79
002780,三夫户外,其他商业,北京,0.0,-0.071,6.84,3.82,右边股价,26.1288,,9.42,,0.12,-1.85
600303,曙光股份,汽车整车,辽宁,13.32,0.568,2.15,4.69,右边股价,10.0835,16.14114114114114,,14.77,13.16,12.82
002106,莱宝高科,元器件,深圳,55.74,0.136,1.94,5.22,右边股价,10.1268,3.4804449228561176,,0.96,1.72,2.59
603678,火炬电子,元器件,福建,58.37,0.364,5.24,5.41,右边股价,28.3484,8.977214322425905,12.45,,4.91,
600397,安源煤业,煤炭开采,江西,0.0,-0.102,2.91,1.39,右边股价,4.0449,,,-3.68,-1.36,-7.03
002660,茂硕电源,电气设备,深圳,136.16,0.067,3.91,3.11,右边股价,12.1601,2.8716216216216215,-0.21,,0.6,
002065,东华软件,软件服务,北京,26.57,0.287,3.49,2.91,右边股价,10.1559,13.135114791117802,10.0,5.18,,
601218,吉鑫科技,机械基件,江苏,146.38,0.021,1.57,2.59,右边股价,4.0663,1.0725508949310016,4.61,0.64,1.28,0.81
600028,中国石化,石油加工,北京,14.48,0.317,1.03,5.92,右边股价,6.0976,7.113259668508287,6.68,2.31,3.79,
000937,冀中能源,煤炭开采,河北,19.31,0.238,1.12,5.49,右边股价,6.1488000000000005,5.800103573278095,1.32,1.52,,4.39
600184,光电股份,专用机械,湖北,382.61,0.04,4.63,4.43,右边股价,20.5109,1.2101095109903035,1.32,0.04,0.33,0.91
600470,六国化工,农药化肥,安徽,141.3,0.033,1.6,3.87,右边股价,6.192,1.1323425336164188,-2.99,-1.04,-0.43,
002100,天康生物,饲料,新疆,18.66,0.333,2.8,2.96,右边股价,8.288,15.005359056806002,15.82,,7.01,11.67
002712,思美传媒,广告包装,浙江,33.83,0.63,3.43,7.9,右边股价,27.097,10.138929943836832,11.03,3.46,,8.67
600836,界龙实业,广告包装,上海,0.0,-0.014,4.87,1.28,右边股价,6.2336,,,-0.62,-1.49,-1.11
600103,青山纸业,造纸,福建,55.15,0.057,2.25,1.86,右边股价,4.1850000000000005,4.0797824116047146,2.76,,,3.11
601567,三星医疗,电器仪表,浙江,26.76,0.295,2.18,4.83,右边股价,10.5294,8.146487294469358,15.3,1.41,,5.93
600016,民生银行,银行,北京,5.75,1.103,0.85,9.89,右边股价,8.4065,14.782608695652174,15.13,4.18,8.12,11.52
000793,华闻传媒,出版业,海南,36.85,0.21600000000000005,2.16,4.92,右边股价,10.6272,5.8616010854816825,9.52,0.26,,4.46
002067,景兴纸业,造纸,浙江,11.03,0.45,1.89,3.38,右边股价,6.388199999999999,17.1350861287398,10.33,3.88,,
002893,华通热力,供气供热,北京,82.95,0.39,6.68,4.8,右边股价,32.064,8.05304400241109,15.78,28.53,20.43,10.2
002360,同德化工,化工原料,山西,38.02,0.17,3.37,2.56,右边股价,8.6272,8.863755917937926,8.37,1.07,3.44,6.46
300006,莱美药业,化学制药,重庆,64.85,0.075,3.09,2.11,右边股价,6.519899999999999,4.764841942945258,0.41,1.34,2.64,3.69
600790,轻纺城,商品城,浙江,16.61,0.295,1.38,4.74,右边股价,6.5412,8.308248043347382,9.3,1.88,,6.38
300245,天玑科技,软件服务,上海,60.11,0.192,5.37,2.86,右边股价,15.3582,8.933621693561804,,0.82,,6.88
002043,兔 宝 宝,其他建材,浙江,27.44,0.31,5.23,2.11,右边股价,11.0353,19.059766763848394,,2.98,,15.12
600429,三元股份,乳制品,北京,60.77,0.08199999999999999,2.06,3.25,右边股价,6.695,3.389830508474576,1.93,0.04,0.73,2.6
300073,当升科技,矿物制品,北京,47.1,0.501,7.32,4.3,右边股价,31.476,15.54140127388535,7.69,,10.31,12.92
600552,凯盛科技,玻璃,安徽,57.38,0.118,2.9,3.11,右边股价,9.019,5.054025792959219,3.29,0.51,1.49,3.8
002057,中钢天源,元器件,安徽,30.72,0.36,2.92,4.67,右边股价,13.6364,9.505208333333334,,1.65,6.12,9.5
600783,鲁信创投,矿物制品,山东,36.15,0.331,3.16,5.05,右边股价,15.958,8.741355463347166,,0.45,,
300214,日科化学,化工原料,山东,28.27,0.19,1.85,3.69,右边股价,6.8265,6.544039617969579,5.94,,2.64,
300001,特锐德,电气设备,山东,85.64,0.14,5.63,2.84,右边股价,15.989199999999999,6.574030826716488,9.72,2.03,3.57,4.85
600371,万向德农,种植业,黑龙江,57.83,0.14800000000000002,5.78,1.98,右边股价,11.4444,9.994812381117068,13.59,2.58,5.84,
002651,利君股份,专用机械,四川,91.54,0.075,4.76,1.92,右边股价,9.139199999999999,5.199912606510814,,,3.05,
300587,天铁股份,橡胶,浙江,49.01,0.456,3.78,7.89,右边股价,29.824199999999998,7.712711691491533,15.83,,,
603988,中电电机,电气设备,江苏,200.34,0.301,9.78,8.23,右边股价,80.4894,4.881701108116202,3.73,1.38,,3.64
600241,时代万恒,商贸代理,辽宁,113.6,0.077,4.04,2.89,右边股价,11.675600000000001,3.5563380281690145,,,-0.28,
300261,雅本化学,农药化肥,江苏,75.24,0.094,4.86,1.94,右边股价,9.4284,6.459330143540671,1.68,1.7,4.04,4.87
600503,华丽家族,区域地产,上海,75.67,0.07,3.21,2.2,右边股价,7.062,4.24210387207612,3.49,2.04,1.49,
603225,新凤鸣,化纤,浙江,18.47,1.64,3.83,9.96,右边股价,38.146800000000006,20.736329182458043,26.66,7.04,13.12,20.03
603859,能科股份,软件服务,北京,225.46,0.087,4.71,5.59,右边股价,26.3289,2.0890623613944825,8.91,-1.42,1.05,1.54
002008,大族激光,电器仪表,深圳,30.6,1.408,8.89,6.46,右边股价,57.4294,29.052287581699346,,2.79,15.83,
601228,广州港,港口,广东,59.51,0.091,3.73,1.93,右边股价,7.1989,6.2678541421609815,6.9,1.5,3.25,
002588,史丹利,农药化肥,山东,26.3,0.207,2.03,3.57,右边股价,7.247099999999999,7.7186311787072235,,1.95,4.97,5.8
603360,百傲化学,化工原料,辽宁,33.25,0.65,5.4,5.02,右边股价,27.108,16.2406015037594,23.98,4.56,9.21,12.1
002038,双鹭药业,生物制药,北京,45.58,0.57,5.74,6.04,右边股价,34.6696,12.593242650285214,,3.21,5.8,
002835,同为股份,元器件,深圳,98.74,0.113,4.9,3.03,右边股价,14.847,4.962527850921613,19.25,1.43,3.02,3.74
002404,嘉欣丝绸,纺织,浙江,33.14,0.16899999999999998,2.99,2.51,右边股价,7.5049,9.022329511164756,7.83,,4.68,6.82
600418,江淮汽车,汽车整车,安徽,65.31,0.116,1.39,7.21,右边股价,10.021899999999999,2.1283111315265657,11.26,,2.47,1.59
600058,五矿发展,商贸代理,北京,267.42,0.036000000000000004,2.71,4.7,右边股价,12.737,1.013387181213073,0.58,0.19,0.38,
600284,浦东建设,建筑施工,上海,24.68,0.314,1.33,7.75,右边股价,10.307500000000001,5.388978930307942,6.99,1.32,2.79,4.09
600133,东湖高新,园区开发,湖北,6.73,1.158,2.44,4.27,右边股价,10.4188,36.2555720653789,8.13,30.96,32.18,32.44
603808,歌力思,服饰,深圳,29.39,0.61,4.04,5.82,右边股价,23.512800000000002,13.746172167403879,12.29,3.41,,11.03
300008,天海防务,船舶,上海,46.03,0.19,2.54,3.11,右边股价,7.8994,5.518140343254399,6.56,1.26,3.22,
603033,三维股份,橡胶,浙江,75.9,0.235,2.74,8.67,右边股价,23.7558,3.6100131752305664,11.45,,1.97,
002556,辉隆股份,其他商业,安徽,35.46,0.16899999999999998,2.52,3.17,右边股价,7.9883999999999995,7.106598984771574,4.71,1.87,4.05,5.42
002664,信质电机,汽车配件,浙江,49.96,0.482,6.88,4.66,右边股价,32.0608,13.77101681345076,14.53,3.3,,
601318,中国平安,保险,深圳,14.5,3.72,2.86,24.52,右边股价,70.1272,19.724137931034484,17.36,5.8,10.6,15.7
000815,美利云,造纸,宁夏,2730.04,0.005,6.68,2.83,右边股价,18.9044,0.2446850595595669,0.27,-0.5,-0.18,
603456,九洲药业,化学制药,浙江,47.85,0.26,2.76,5.88,右边股价,16.2288,5.768025078369906,4.4,1.63,2.83,4.38
300512,中亚股份,专用机械,浙江,31.46,0.518,4.32,5.03,右边股价,21.7296,13.731722822631912,16.46,2.71,6.43,10.33
603648,畅联股份,仓储物流,上海,69.25,0.43,7.25,4.14,右边股价,30.014999999999997,10.469314079422382,16.27,,9.47,13.93
603258,电魂网络,互联网,浙江,48.37,0.594,5.78,6.63,右边股价,38.321400000000004,11.949555509613397,,3.7,5.46,9.05
002478,常宝股份,普钢,江苏,34.75,0.119,1.64,3.37,右边股价,5.5268,4.719424460431655,3.69,0.69,,3.37
300670,大烨智能,电气设备,江苏,67.44,0.37,5.42,5.11,右边股价,27.6962,8.036773428232504,24.69,nan,,
601901,方正证券,证券,湖南,38.88,0.162,1.86,4.52,右边股价,8.4072,4.78395061728395,7.31,1.13,2.29,3.66
603663,三祥新材,矿物制品,福建,61.41,0.307,7.42,3.39,右边股价,25.1538,12.08272268360202,12.3,2.34,5.4,9.32
603012,创力集团,专用机械,上海,39.28,0.161,2.14,3.94,右边股价,8.4316,5.448065173116089,4.03,,3.15,4.17
600526,菲达环保,环境保护,浙江,109.15,0.077,2.42,4.66,右边股价,11.2772,2.217132386623912,1.75,0.63,,1.66
002496,辉丰股份,农药化肥,江苏,19.52,0.218,2.31,2.46,右边股价,5.6826,11.834016393442623,,4.21,6.56,9.09
300016,北陆药业,中成药,北京,33.56,0.318,4.55,3.12,右边股价,14.196,13.557806912991655,,2.89,,10.96
002826,易明医药,中成药,西藏,85.07,0.177,6.58,3.04,右边股价,20.0032,7.734806629834255,18.64,1.0,3.77,5.86
000088,盐 田 港,港口,深圳,44.68,0.146,2.72,3.2,右边股价,8.704,6.087735004476276,6.18,1.34,2.58,4.72
300125,易世达,电气设备,辽宁,1644.12,0.012,2.99,8.77,右边股价,26.2223,0.18186020485122742,-5.84,-1.21,-1.37,0.14
