code,name,industry,area,市盈率(pe),每股收益(eps),市净率(pb),每股净资产(bvps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
676,智度股份,互联网,河南,31.79,0.226,2.89,4.97,14.3633,9.090909091,7.34,11.63,2.63,4.64
300494,盛天网络,互联网,湖北,62.27,0.175,5.72,3.81,21.7932,9.185803758,8.36,12.9,2.86,4.62
300242,明家联合,互联网,广东,32.05,0.166,3.05,3.48,10.614,9.516380655,7.24,8.91,,4.82
300031,宝通科技,互联网,江苏,37.72,0.269,3.68,5.51,20.2768,9.756097561,6.29,7.04,1.49,
300467,迅游科技,互联网,四川,119.64,0.185,13.04,3.39,44.2056,10.89936476,6.19,,2.86,5.56
603258,电魂网络,互联网,浙江,56.02,0.359,6.28,6.4,40.192,11.21028204,38.37,,3.7,5.46
2354,天神娱乐,互联网,辽宁,18.12,0.58,2.28,8.95,20.406,12.58278146,6.65,10.24,,
2464,金利科技,互联网,江苏,47.05,0.354,6.15,5.42,33.333,13.07120085,7.76,,4.24,6.81
603881,数据港,互联网,上海,86.77,0.28,11.69,3.97,46.4093,13.47239829,15.56,20.78,3.55,7.47
2148,北纬科技,互联网,北京,45.01,0.137,6.11,2.01,12.2811,13.57476116,4.42,7.51,2.66,6.87
603533,掌阅科技,互联网,北京,18.89,0.17,2.89,2.22,6.4158,15.29910005,,,,
300113,顺网科技,互联网,浙江,29.66,0.326,4.83,4.01,19.3683,16.28455833,20.86,,5.21,8.6
2127,南极电商,互联网,江苏,81.4,0.091,13.6,1.09,14.824,16.70761671,,,,8.72
2558,巨人网络,互联网,重庆,60.85,0.344,10.71,3.91,41.8761,17.60065735,17.89,20.56,,8.82
300418,昆仑万维,互联网,北京,38.78,0.332,7.54,3.41,25.7114,19.44301186,17.27,18.31,5.54,10.36
2517,恺英网络,互联网,福建,31.99,0.577,7.13,5.17,36.8621,22.28821507,41.11,46.98,5.96,11.54
2174,游族网络,互联网,福建,30.96,0.394,6.93,3.52,24.3936,22.38372093,15.47,24.12,7.31,11.7
2555,三七互娱,互联网,安徽,27.88,0.41,7.4,2.98,22.052,26.54232425,,26.56,9.13,
603444,吉比特,互联网,福建,26.34,4.173,8.06,27.28,219.8768,30.59984814,67.53,,,15.08
300571,平治信息,互联网,浙江,57.49,1.258,19.91,7.27,144.7457,34.63210993,27.08,35.17,8.37,
603000,人民网,互联网,北京,0,-0.026,5.72,2.46,14.0712,,2.78,3.92,-1.67,
300104,乐视网,互联网,北京,0,-0.16,4.51,3.4,15.334,,10.97,8.2,1.21,
300399,京天利,互联网,北京,0,-0.012,7.87,2.81,22.1147,,6.54,3.52,2.43,-0.41
601798,蓝科高新,化工机械,甘肃,1080.38,0.005,2.16,5.15,11.124,0.199929654,0.34,-7.26,,0.1
600579,天华院,化工机械,山东,824.51,0.009,4.98,2.94,14.6412,0.6039951,0.33,,0.04,0.3
2490,*ST墨龙,化工机械,山东,281.26,0.009,2.16,2.29,4.9464,0.767972694,,-28.8,,0.39
2353,杰瑞股份,化工机械,山东,243.2,0.032,1.88,8.2,15.416,0.773026316,1.34,1.54,0.29,0.39
2698,博实股份,化工机械,黑龙江,91.18,0.064,4.34,2.67,11.5878,4.759815749,,6.18,0.81,2.36
2430,杭氧股份,化工机械,浙江,53.95,0.12,2.63,4.19,11.0197,4.874884152,-3.85,-8.02,,2.87
300228,富瑞特装,化工机械,江苏,73.67,0.092,3.63,3.76,13.6488,4.927378852,,-15.88,1,
2564,天沃科技,化工机械,江苏,39.31,0.123,2.76,3.5,9.66,7.02111422,-1.92,-10.15,1.3,3.58
2337,赛象科技,化工机械,天津,38.77,0.079,3,2.05,6.15,7.737941708,,1.07,-0.39,3.86
852,石化机械,化工机械,湖北,0,-0.266,5.46,2.67,14.5782,,-14.37,-38.96,,
2278,神开股份,化工机械,上海,0,-0.029,3.52,2.9,10.208,,-5.79,-9.75,,-0.99
2453,天马精化,化工原料,江苏,908.02,0.005,5.48,1.56,8.5488,0.603510936,0.96,-29.4,-0.83,0.3
2386,天原集团,化工原料,四川,144.43,0.039,1.86,6.06,11.2716,1.28782109,-1.22,1.37,0.29,0.64
2096,南岭民爆,化工原料,湖南,121.71,0.041,1.83,5.44,9.9552,1.50357407,1.85,1.49,-0.86,
600078,澄星股份,化工原料,江苏,103.62,0.03,2.28,2.76,6.2928,2.200347423,,,,
300200,高盟新材,化工原料,北京,95.48,0.068,2.35,5.49,12.9015,2.461248429,6.68,7.36,0.59,2.22
2054,德美化工,化工原料,广东,121.39,0.061,3.48,4.24,14.7552,2.866792981,,7.67,0.24,
300405,科隆股份,化工原料,辽宁,90.93,0.122,2.77,8.02,22.2154,3.046299351,0.91,2.34,,1.53
600091,ST明科,化工原料,内蒙,105,0.034,3.44,2.07,7.1208,3.276190476,5.68,1.7,1.96,
603002,宏昌电子,化工原料,广东,100.08,0.028,3.38,1.69,5.7122,3.377298161,1.89,,,
300135,宝利国际,化工原料,江苏,103.78,0.022,3.61,1.28,4.6208,3.478512237,2.61,2.33,0.59,1.73
2226,江南化工,化工原料,安徽,51.24,0.069,1.79,3.97,7.1063,3.493364559,,1.93,0.22,1.72
2037,久联发展,化工原料,贵州,59.95,0.115,2.2,6.26,13.772,3.669724771,,,0.32,1.85
600141,兴发集团,化工原料,湖北,42.82,0.16,1.62,11.61,18.8082,3.783278842,1.61,1.88,0.53,1.67
2666,德联集团,化工原料,广东,41.05,0.073,1.65,3.66,6.039,4.019488429,,,1.11,
2125,湘潭电化,化工原料,湖南,100.63,0.064,4.12,3.11,12.8132,4.094206499,1.32,2.13,0.5,2.07
2246,北化股份,化工原料,四川,129.55,0.062,5.34,3.01,16.0734,4.121960633,5.81,7.06,,
2584,西陇科学,化工原料,广东,127.94,0.06,5.39,2.86,15.4154,4.212912303,4.78,5.52,0.39,2.09
300107,建新股份,化工原料,河北,95.92,0.036,4.16,1.68,6.9888,4.336947456,,2.5,,2.15
2341,新纶科技,化工原料,深圳,81.35,0.147,3.71,6.45,23.9295,4.560540873,3.52,2.14,0.7,2.25
2669,康达新材,化工原料,上海,88.73,0.165,4.14,7.07,29.2698,4.665840189,9.03,,1.46,
600722,金牛化工,化工原料,河北,155.31,0.031,7.33,1.33,9.7489,4.719593072,1.82,2.98,1.47,2.39
300437,清水源,化工原料,河南,70.05,0.13,3.35,5.45,18.2575,4.782298358,4.75,6.73,,2.38
635,英 力 特,化工原料,宁夏,39.06,0.235,1.87,9.79,18.3073,4.7875064,,3.86,1.73,
603077,和邦生物,化工原料,四川,40.37,0.029,1.94,1.21,2.3474,4.805548675,2.91,4.29,1.63,2.42
600844,*ST丹科,化工原料,上海,72.67,0.046,3.59,1.87,6.7133,4.940140361,-0.13,-13.89,2.32,2.5
300214,日科化学,化工原料,山东,42.6,0.085,2.14,3.39,7.2546,5.023474178,4.97,5.94,,2.64
990,诚志股份,化工原料,江西,27.18,0.316,1.38,12.46,17.1948,5.077262693,-1,3.81,1.33,2.56
2805,丰元股份,化工原料,山东,132.03,0.146,6.83,5.64,38.5212,5.173066727,4.02,4.89,1.5,2.59
300019,硅宝科技,化工原料,四川,96.77,0.056,5.01,2.16,10.8216,5.177224346,10.22,13.54,0.52,2.54
2165,红 宝 丽,化工原料,江苏,49.77,0.067,2.6,2.58,6.708,5.22403054,6.07,9.65,1.21,2.59
818,方大化工,化工原料,辽宁,63.99,0.088,3.4,3.33,11.322,5.313330208,1.95,,1.28,2.65
698,沈阳化工,化工原料,辽宁,23.7,0.139,1.26,5.24,6.6024,5.316455696,6.3,8.4,1.94,2.67
2409,雅克科技,化工原料,江苏,85.2,0.124,4.65,4.54,21.111,5.457746479,,4.92,1.55,
2683,宏大爆破,化工原料,广东,39.95,0.115,2.2,4.16,9.152,5.506883605,1.43,2.49,0.33,2.78
601208,东材科技,化工原料,四川,33.78,0.106,1.92,3.75,7.2,5.68383659,1.79,1.87,2.01,
300082,奥克股份,化工原料,辽宁,32.91,0.118,1.93,4.02,7.7586,5.864478882,,,0.95,2.99
600135,乐凯胶片,化工原料,河北,59.03,0.133,3.5,4.5,15.75,5.929188548,2.55,2.53,1.6,2.99
2361,神剑股份,化工原料,安徽,52.87,0.064,3.14,2.16,6.7824,5.939095896,6.12,9.49,1.23,2.96
300243,瑞丰高材,化工原料,山东,80.84,0.072,4.83,2.4,11.592,5.974764968,4.77,3.76,,3.04
2250,联化科技,化工原料,浙江,35.01,0.2,2.13,5.98,12.7374,6.083976007,,6.25,1.6,3.12
600378,天科股份,化工原料,四川,87.55,0.078,5.33,2.56,13.6448,6.087949743,,3.66,0.53,3.06
600985,雷鸣科化,化工原料,安徽,36.24,0.19,2.22,5.57,12.3654,6.125827815,7.27,7.86,1.08,
2109,兴化股份,化工原料,陕西,32.59,0.143,2.02,4.6,9.292,6.198220313,-7.21,0.73,1.81,3.15
985,大庆华科,化工原料,黑龙江,105.32,0.125,6.57,4.01,26.3457,6.238131409,,6.67,,3.12
300655,晶瑞股份,化工原料,江苏,116.71,0.162,7.86,4.82,37.8852,6.734641419,,12.24,,4.5
2825,纳尔股份,化工原料,上海,86.03,0.192,5.88,5.6,32.928,6.834825061,15.46,,,3.43
2360,同德化工,化工原料,山西,47.4,0.086,3.31,2.48,8.2088,6.983122363,5.31,8.37,1.07,3.44
600367,红星发展,化工原料,贵州,52.55,0.134,3.72,3.8,14.136,7.078972407,2.72,4.37,1.23,3.59
603977,国泰集团,化工原料,江西,57.23,0.147,4.07,4.13,16.8091,7.111654727,nan,15.55,0.75,3.22
2442,龙星化工,化工原料,河北,75.18,0.085,5.43,2.34,12.7062,7.222665603,,,,3.68
603078,江化微,化工原料,江苏,82.33,0.52,5.96,12,71.52,7.23915948,,19.59,,5.29
300041,回天新材,化工原料,湖北,36.27,0.18,2.7,4.58,12.366,7.444168734,5.07,6.3,2.89,4.5
603299,井神股份,化工原料,江苏,38.22,0.137,2.89,3.63,10.4907,7.561486133,0.25,1.17,,
683,远兴能源,化工原料,内蒙,20.18,0.082,1.53,2.16,3.3048,7.581764123,0.83,,2.02,3.85
603580,艾艾精工,化工原料,上海,89.97,0.25,6.83,5.41,36.9503,7.591419362,,15.57,,5.3
2632,道明光学,化工原料,浙江,51.88,0.1,3.99,2.48,9.8952,7.690824981,2.74,3.46,1.37,4
300459,金科文化,化工原料,浙江,49.19,0.129,3.93,3.23,12.6939,7.989428746,5.43,6.56,2.11,
300505,川金诺,化工原料,云南,77.4,0.274,6.26,6.78,42.4428,8.087855297,8.48,10.74,1.22,4.04
300109,新开源,化工原料,河南,77.27,0.301,6.28,7.39,46.4092,8.127345671,5.36,6.7,,4.1
600636,*ST爱富,化工原料,上海,29.91,0.235,2.44,5.78,14.1032,8.157806754,-6.95,-11.19,,
300535,达威股份,化工原料,四川,51.84,0.435,4.23,10.67,45.1341,8.159722222,10.74,13.53,2.22,4.09
2810,山东赫达,化工原料,山东,50.45,0.294,4.33,6.85,29.6605,8.582755203,8.61,9.98,2.43,4.35
510,金路集团,化工原料,四川,85.77,0.059,7.39,1.38,10.1982,8.616066224,2.39,7.48,3.2,4.4
603041,美思德,化工原料,江苏,47.77,0.34,4.15,6.88,28.552,8.687460749,,18.34,3.23,5.49
2809,红墙股份,化工原料,广东,57.42,0.332,5.08,7.51,38.1508,8.847091606,,11.23,1.97,4.42
603906,龙蟠科技,化工原料,江苏,40.04,0.28,3.57,5.51,19.6707,8.916083916,,,,5.53
707,双环科技,化工原料,湖北,41.24,0.086,3.68,1.93,7.1024,8.923375364,-15,-55.99,3.55,
603879,永悦科技,化工原料,福建,72.18,0.154,6.46,3.45,22.287,8.949847603,,19.49,3.32,8.16
300054,鼎龙股份,化工原料,湖北,32.49,0.162,2.97,3.53,10.4841,9.141274238,10.57,12.85,,4.87
300637,扬帆新材,化工原料,浙江,58.28,0.24,5.36,4.27,22.8872,9.196980096,,23.5,10.8,6.44
603928,兴业股份,化工原料,江苏,38.13,0.24,3.51,5.2,18.252,9.205350118,,18.39,1.38,
300586,美联新材,化工原料,广东,51.25,0.271,4.76,5.84,27.7984,9.287804878,11.88,,,
603067,振华股份,化工原料,湖北,41.67,0.231,3.96,4.86,19.2456,9.503239741,10.45,10.23,,4.76
600160,巨化股份,化工原料,浙江,22.92,0.249,2.27,5.04,11.4408,9.904013962,,1.89,,
545,金浦钛业,化工原料,吉林,31.97,0.098,3.19,1.96,6.2524,9.978104473,2.69,6.58,2.79,5.03
2895,川恒股份,化工原料,贵州,88.47,0.225,8.93,4.46,39.8278,10.09381711,,8.2,1.97,5.64
2497,雅化集团,化工原料,四川,72.31,0.132,7.44,2.56,19.0464,10.28903333,4.36,5.95,,5.58
2408,齐翔腾达,化工原料,山东,33.47,0.182,3.54,3.45,12.213,10.57663579,,8.67,3.31,5.36
2783,凯龙股份,化工原料,湖北,33.28,0.343,3.52,6.47,22.7744,10.57692308,6.56,8.33,1.38,
2643,万润股份,化工原料,山东,27.47,0.235,3,4.31,12.93,10.92100473,9.04,10.56,2.55,
600328,兰太实业,化工原料,内蒙,23.71,0.265,2.59,4.87,12.6133,10.9236609,,5.19,2.77,5.63
300174,元力股份,化工原料,福建,114.63,0.124,12.54,2.26,28.3404,10.93954462,4.26,7.96,2.3,5.4
2741,光华科技,化工原料,广东,68.19,0.13,7.59,2.28,17.3052,11.13066432,6.43,,1.1,5.84
2407,多氟多,化工原料,河南,54.91,0.24,6.16,4.29,26.4264,11.21835731,16.84,,2.61,5.65
300037,新宙邦,化工原料,深圳,39.79,0.335,4.55,5.87,26.7085,11.43503393,9.14,12.38,3.06,5.73
300568,星源材质,化工原料,深圳,63.05,0.369,7.26,6.42,46.6092,11.5146709,21.63,24.75,2.77,5.7
603026,石大胜华,化工原料,山东,37.76,0.427,4.4,7.34,32.296,11.65254237,9.55,,2.91,
300610,晨化股份,化工原料,江苏,39.12,0.26,4.58,4.27,19.5566,11.70756646,12.81,15.38,3.21,6.76
300387,富邦股份,化工原料,湖北,27.95,0.351,3.29,5.97,19.6413,11.77101968,9.89,,2.2,5.94
300641,正丹股份,化工原料,江苏,35.26,0.32,4.2,4.44,18.648,11.91151446,,28.27,6.77,9.34
603968,醋化股份,化工原料,江苏,32.45,0.373,3.92,6.18,24.2256,12.08012327,9,12.8,3.65,
300132,青松股份,化工原料,福建,40.47,0.106,4.93,1.75,8.6275,12.18186311,,5.3,1.79,
601216,君正集团,化工原料,内蒙,23.14,0.11,2.92,1.74,5.0808,12.61884183,7.8,12.21,3.83,6.54
300530,达志科技,化工原料,广东,54.19,0.423,6.88,6.66,45.8208,12.69606939,11.6,,2.44,6.07
603010,万盛股份,化工原料,浙江,57.06,0.272,7.42,4.18,31.0156,13.00385559,,15.21,3.47,6.47
603181,皇马科技,化工原料,浙江,55.92,0.315,7.32,4.81,35.2092,13.09012876,,15.13,,9.12
2802,洪汇新材,化工原料,江苏,54.72,0.352,7.3,5.27,38.471,13.34064327,13.09,,2.38,
2455,百川股份,化工原料,江苏,52.86,0.124,7.21,1.81,13.0501,13.63980325,7.52,9.68,2.21,6.74
601678,滨化股份,化工原料,山东,14.01,0.304,1.93,4.42,8.5306,13.77587438,2.94,7.41,3.47,7.04
300487,蓝晓科技,化工原料,陕西,39.07,0.27,5.43,3.81,20.6883,13.89813156,,8.78,,
300596,利安隆,化工原料,天津,33.65,0.33,4.69,4.58,21.4802,13.93759287,16.29,19.72,4.32,7.54
2061,江山化工,化工原料,浙江,19.91,0.32,2.82,4.16,11.7312,14.16373682,2.66,4.05,3.25,
603938,三孚股份,化工原料,河北,38.5,0.56,5.47,5.99,32.7653,14.20779221,,15.15,6.5,8.87
2092,中泰化学,化工原料,新疆,13.28,0.58,1.91,8.08,15.4328,14.38253012,5.96,14.74,4.61,8.11
300699,光威复材,化工原料,山东,81.58,0.415,11.94,5.67,67.6998,14.63594018,,15.19,,10.25
300429,强力新材,化工原料,江苏,43.15,0.289,6.34,3.93,24.9162,14.69293163,13.66,15.27,3.04,7.43
2827,高争民爆,化工原料,西藏,44.73,0.304,6.62,4.1,27.142,14.79991057,nan,30.84,1.54,
300481,濮阳惠成,化工原料,河南,62.92,0.223,9.47,2.96,28.0312,15.05085823,,14.72,,7.55
2450,康得新,化工原料,江苏,30.06,0.355,4.53,4.71,21.3363,15.06986028,14.33,17.32,3.42,7.74
2145,中核钛白,化工原料,甘肃,21.71,0.148,3.49,1.84,6.4216,16.07554123,,3.29,4.42,8.45
2068,黑猫股份,化工原料,江西,19.63,0.35,3.17,3.67,11.6339,16.14875191,,4.68,2.55,10.06
603585,苏利股份,化工原料,江苏,23.58,0.756,3.81,9.35,35.6235,16.15776081,21.64,,3.34,8.09
2326,永太科技,化工原料,浙江,29.24,0.268,4.77,3.29,15.6933,16.31326949,6.37,14.02,6.9,
2562,兄弟科技,化工原料,浙江,31.42,0.285,5.2,3.45,17.94,16.54996817,5.77,,,8.39
600075,新疆天业,化工原料,新疆,13.12,0.353,2.18,4.26,9.2868,16.61585366,16.61,,3.98,8.5
603360,百傲化学,化工原料,辽宁,33.76,0.45,5.74,4.81,27.6094,17.00236967,18.29,23.98,4.56,9.21
2753,永东股份,化工原料,山西,26.1,0.429,4.59,4.88,22.3992,17.5862069,,8.85,4.18,9.53
300446,乐凯新材,化工原料,河北,38.81,0.371,6.99,4.12,28.7988,18.01082195,17.09,23.54,5.95,8.87
600273,嘉化能源,化工原料,浙江,14.42,0.35,2.75,3.22,8.855,19.07073509,,20,5.83,11.02
2648,卫星石化,化工原料,浙江,17.59,0.6,3.41,4.69,15.9929,19.38601478,3.13,9.48,8.28,13.49
2709,天赐材料,化工原料,广东,48.42,0.55,9.39,5.36,50.3304,19.39281289,,28.82,3.85,
2601,龙蟒佰利,化工原料,河南,14.12,0.65,2.89,6.3,18.207,20.4674221,5.09,8.91,,
603113,金能科技,化工原料,山东,25.26,0.6,5.19,5.24,27.1956,20.54631829,,20.05,9.14,
2748,世龙实业,化工原料,江西,20.15,0.494,4.23,4.71,19.9233,20.99255583,7.21,10.53,6.05,
600409,三友化工,化工原料,河北,12.13,0.52,2.57,4.4,11.308,21.18713932,8.67,11.47,,12.99
300121,阳谷华泰,化工原料,山东,27.48,0.29,6.1,2.52,15.372,22.19796215,5.4,27.24,5.09,
600618,氯碱化工,化工原料,上海,26.65,0.217,6.1,1.89,11.529,22.88930582,,-15.61,2.97,12.13
2002,鸿达兴业,化工原料,江苏,20.5,0.21,4.74,1.69,8.0106,23.12195122,14.82,,7.65,
600746,江苏索普,化工原料,江苏,29.29,0.197,7.08,1.63,11.5404,24.17207238,5.38,5.09,10.16,12.89
822,山东海化,化工原料,山东,14.92,0.377,4.05,2.78,11.259,27.14477212,2.9,,12.08,14.58
2136,安 纳 达,化工原料,安徽,22.9,0.378,6.35,2.72,17.272,27.72925764,,8.82,6.15,14.91
2597,金禾实业,化工原料,安徽,12.15,0.85,4.31,4.84,20.8604,35.47325103,16.51,24.74,,18.4
600309,万华化学,化工原料,山东,10.89,1.79,5.04,7.68,38.7072,46.28099174,19.95,,12.84,25.43
600319,亚星化学,化工原料,山东,220.44,0.024,213.59,0.05,10.6795,96.89257848,nan,-18.84,2.78,67.24
600228,*ST昌九,化工原料,江西,0,-0.059,231.96,0.05,11.598,,-50.86,-88.8,-30.91,-77.18
600301,ST南化,化工原料,广西,0,-0.04,8.67,1.1,9.537,,,2.33,-0.88,
755,*ST三维,化工原料,山西,0,-0.507,10.52,0.64,6.7328,,-43.07,-76.99,-31.21,-56.68
603227,雪峰科技,化工原料,新疆,0,-0.004,4.05,1.7,6.885,,0.11,-1.69,-0.93,-0.21
600281,太化股份,化工原料,山西,0,-0.061,6.98,1.01,7.0498,,-4.73,6.16,,-5.82
2476,宝莫股份,化工原料,山东,0,-0.077,4.93,1.51,7.4443,,1.86,1.48,-3.17,
2591,恒大高新,化工原料,江西,0,-0.038,3.16,4.14,13.0824,,-1.66,,-1.83,-1.45
792,盐湖股份,化工原料,青海,0,-0.188,2.05,8.57,17.5685,,,,,
601113,华鼎股份,化纤,浙江,184.47,0.028,3.13,3.28,10.2664,1.69675286,1.05,2.66,1.38,
782,美达股份,化纤,广东,250.32,0.019,4.32,2.22,9.5904,1.725790988,,-6.69,,0.86
677,恒天海龙,化纤,山东,702.19,0.003,14.88,0.32,4.7616,2.119084578,,1.69,0.66,1.07
949,新乡化纤,化纤,河南,58.28,0.039,1.59,2.85,4.5315,2.728208648,4.26,4.12,,1.36
300180,华峰超纤,化纤,上海,89.78,0.18,2.48,9.9,24.552,2.762307864,3.31,,1,3.22
600527,江南高纤,化纤,江苏,91.63,0.029,2.64,2.02,5.3328,2.881152461,0.69,,0.92,1.43
600063,皖维高新,化纤,安徽,59.42,0.038,1.77,2.55,4.5135,2.978795019,,,,1.78
936,华西股份,化纤,江苏,38.49,0.093,1.33,5.4,7.182,3.455442972,14.07,15.88,0.38,1.7
600810,神马股份,化纤,河南,36.87,0.114,1.47,5.68,8.3496,3.986981286,,3.49,1.86,
420,吉林化纤,化纤,吉林,58.68,0.029,2.44,1.4,3.416,4.158145876,1.16,,1.24,2.1
584,哈工智能,化纤,江苏,110.83,0.065,5.67,2.53,14.3451,5.115943337,,,,2.59
600889,南京化纤,化纤,江苏,38.15,0.135,2.13,4.83,10.2879,5.583224115,4.01,6.32,1.41,2.78
2254,泰和新材,化纤,山东,64.54,0.101,3.87,3.37,13.0419,5.996281376,2.51,,1.39,3.04
2080,中材科技,化纤,江苏,24.78,0.463,2.24,10.25,22.96,9.039548023,,5.55,1.7,4.57
2427,尤夫股份,化纤,浙江,43.6,0.309,4.62,5.83,26.9346,10.59633028,5.31,7.8,,5.42
601233,桐昆股份,化纤,浙江,15.79,0.504,1.74,9.13,15.8862,11.01963268,,12.61,2.89,5.5
2064,华峰氨纶,化纤,浙江,23.04,0.115,2.77,1.91,5.2907,12.02256944,-11.42,-9.53,,6.19
2206,海 利 得,化纤,浙江,24.9,0.14,3.1,2.22,6.882,12.4497992,10.79,,,5.98
703,恒逸石化,化纤,广西,15.57,0.53,2.2,7.32,16.104,14.12973667,7.74,11.41,4.04,7.51
2172,澳洋科技,化纤,江苏,29.19,0.132,4.23,1.82,7.6986,14.49126413,,,4.41,9.09
2493,荣盛石化,化纤,浙江,17,0.289,2.79,3.52,9.8208,16.41176471,10.75,16.36,,8.34
600346,恒力股份,化纤,辽宁,22.71,0.199,4.26,2.12,9.0312,18.75825627,15.21,22.76,4.78,9.37
603225,新凤鸣,化纤,浙江,21.25,0.96,4.01,9.27,37.1727,18.87058824,nan,26.66,7.04,13.12
2015,霞客环保,化纤,江苏,0,-0.025,12.05,0.7,8.435,,nan,-13.31,,-3.5
2399,海普瑞,化学制药,深圳,1693.35,0.006,3.36,6.03,20.2608,0.198423244,,4.84,-0.15,0.09
600267,海正药业,化学制药,浙江,432.57,0.014,1.74,6.96,12.1104,0.402247035,0.45,-1.38,0.1,0.2
300110,华仁药业,化学制药,山东,648.2,0.009,7.5,1.48,11.1,1.157050293,0.98,1.65,,0.55
600812,华北制药,化学制药,河北,155.18,0.019,1.8,3.26,5.868,1.159943292,1.23,1.03,0.25,0.58
600216,浙江医药,化学制药,浙江,55.9,0.094,1.45,7.24,10.498,2.59391771,6,6.64,0.34,1.28
2102,冠福股份,化学制药,福建,66.35,0.03,2.04,1.94,3.9576,3.074604371,4.17,8.17,0.71,
597,东北制药,化学制药,辽宁,66.72,0.084,2.25,4.96,11.16,3.372302158,,1.03,0.47,1.68
600789,鲁抗医药,化学制药,山东,77.5,0.055,2.64,3.23,8.5272,3.406451613,1.18,1.59,0.71,1.71
300086,康芝药业,化学制药,海南,88.12,0.071,3.06,4.07,12.4542,3.472537449,1.85,2.57,0.83,1.75
788,北大医药,化学制药,重庆,141.51,0.036,5.17,1.95,10.0815,3.653452053,1.31,1.1,0.61,1.84
566,海南海药,化学制药,海南,75.58,0.085,3.21,4,12.84,4.247155332,,,1.21,
2422,科伦药业,化学制药,四川,49.78,0.178,2.19,8.08,17.6952,4.399357172,4.75,,,2.21
600488,天药股份,化学制药,天津,43.59,0.07,1.96,2.77,5.4292,4.496444139,2.05,2.61,,
300006,莱美药业,化学制药,重庆,68.54,0.053,3.53,2.07,7.3071,5.15027721,2.83,0.41,1.34,2.64
2393,力生制药,化学制药,天津,42.09,0.43,2.17,16.66,36.1522,5.155618912,2.65,3.87,1.34,2.57
908,景峰医药,化学制药,湖南,55.83,0.067,2.88,2.59,7.4592,5.158516926,,15.08,1.38,2.42
2675,东诚药业,化学制药,山东,62.24,0.104,3.22,4,12.88,5.173521851,,,1.12,2.58
300254,仟源医药,化学制药,山西,68.57,0.102,3.57,3.93,14.0301,5.206358466,,3.79,0.79,2.61
603222,济民制药,化学制药,浙江,129.7,0.062,6.82,2.38,16.2316,5.258288358,,5.56,1.15,2.63
603456,九洲药业,化学制药,浙江,51.46,0.17,2.89,5.84,16.8776,5.616012437,3.41,4.4,1.63,2.83
603538,美诺华,化学制药,浙江,54.19,0.29,3.22,9.21,29.6562,5.94205573,,12.12,,
300233,金城医药,化学制药,山东,31.75,0.36,2.15,9.39,20.1885,6.771653543,7.47,11.72,,4.27
2872,天圣制药,化学制药,重庆,36.41,0.61,2.48,14.09,34.9432,6.811315573,,13.26,,5.01
2004,华邦健康,化学制药,重庆,23.49,0.165,1.62,4.76,7.7112,6.896551724,,5.9,,3.42
600079,人福医药,化学制药,湖北,30.82,0.26,2.17,8.29,17.9893,7.040882544,,9.09,,
153,丰原药业,化学制药,安徽,36.3,0.14,2.65,3.83,10.1495,7.300275482,3.76,3.98,0.81,3.71
919,金陵药业,化学制药,江苏,26.53,0.2,2.09,5.06,10.5754,7.877874105,6.17,7.23,1.68,3.88
600513,联环药业,化学制药,江苏,41.86,0.124,3.52,2.95,10.384,8.408982322,,7.82,1.56,4.2
2817,黄山胶囊,化学制药,安徽,59.3,0.316,5.02,7.47,37.4994,8.465430017,12.88,13.58,,4.28
300199,翰宇药业,化学制药,深圳,49.2,0.171,4.28,3.94,16.8632,8.699186992,,9.85,,4.35
300363,博腾股份,化学制药,重庆,51.33,0.14,4.59,3.14,14.4126,8.9421391,10.36,14.3,,
300194,福安药业,化学制药,重庆,22.45,0.153,2.01,3.41,6.8541,8.953229399,,7.72,2.25,4.49
2370,亚太药业,化学制药,浙江,40.08,0.189,3.6,4.21,15.156,8.982035928,10.48,,2.12,
603229,奥翔药业,化学制药,浙江,61.29,0.19,5.62,3.35,18.827,9.169521945,,26.45,4.83,8.18
600299,安迪苏,化学制药,北京,27.38,0.215,2.55,4.62,11.781,9.313367421,,,,4.63
300630,普利制药,化学制药,海南,114.91,0.29,10.95,5.36,58.692,9.529196763,,25.21,3.33,6.51
2099,海翔药业,化学制药,浙江,22.25,0.15,2.15,3.1,6.665,9.662921348,11.64,,2.41,4.97
739,普洛药业,化学制药,浙江,33.46,0.113,3.24,2.34,7.5816,9.683203825,6.93,10.45,,
603669,灵康药业,化学制药,西藏,49.32,0.227,4.86,4.6,22.356,9.854014599,9.02,,2.39,4.94
300436,广生堂,化学制药,福建,96.31,0.192,9.56,3.87,36.9972,9.926279722,,12.56,,4.87
600664,哈药股份,化学制药,黑龙江,21.68,0.137,2.17,2.73,5.9241,10.00922509,8.3,10.58,0.64,4.7
756,新华制药,化学制药,山东,33.3,0.233,3.35,4.64,15.544,10.06006006,4.63,6.31,2.56,5.19
603168,莎普爱思,化学制药,浙江,34.55,0.335,3.59,6.46,23.1914,10.39073806,21.34,27.63,3.09,5.09
2688,金河生物,化学制药,内蒙,32.51,0.121,3.39,2.32,7.8648,10.42756075,8.28,,2.7,
2411,必康股份,化学制药,江苏,45.01,0.298,4.75,5.64,26.79,10.5532104,9.74,,1.98,5.34
300573,兴齐眼药,化学制药,辽宁,45.31,0.359,4.82,6.75,32.535,10.63782829,11,13.02,,
