code,name,industry,area,市盈率(pe),每股收益(eps),市净率(pb),每股净资产(bvps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
300252,金信诺,电气设备,深圳,46.65,0.252,4.57,5.15,23.5355,9.796355841,,17.58,2.88,4.94
2270,华明装备,电气设备,山东,30.22,0.195,3.02,3.89,11.7478,9.993381866,8.29,13.39,1.73,
300438,鹏辉能源,电气设备,广东,46.24,0.36,4.67,6.77,31.6159,10.09948097,,15.64,3.14,
2879,长缆科技,电气设备,湖南,36.63,0.66,3.7,9.74,36.038,10.1010101,,17.42,3.21,9.12
300617,安靠智电,电气设备,江苏,55.16,0.64,5.6,11.58,64.848,10.15228426,,20.38,5.67,5.94
300447,全信股份,电气设备,江苏,52.04,0.23,5.29,4.18,22.1122,10.16525749,,15.02,,
2531,天顺风能,电气设备,江苏,23.49,0.135,2.45,2.6,6.37,10.4299702,14.2,14.67,3.38,5.11
300341,麦迪电气,电气设备,福建,42.04,0.106,4.47,2,8.94,10.63273073,,,,5.4
2334,英威腾,电气设备,深圳,37.53,0.12,4.1,2.2,9.02,10.92459366,,,0.51,
2202,金风科技,电气设备,新疆,21.31,0.319,2.35,5.79,13.6065,11.02768653,12.01,16.87,0.81,5.76
2882,金龙羽,电气设备,深圳,47.9,0.21,5.44,2.98,16.2112,11.35699374,,16.27,nan,9.04
300626,华瑞股份,电气设备,浙江,56.24,0.26,6.44,4.54,29.2376,11.45092461,,15.54,,7.14
300274,阳光电源,电气设备,安徽,32.05,0.26,3.68,4.44,16.3392,11.48205928,8.36,12.6,2.15,5.94
600110,诺德股份,电气设备,吉林,69.34,0.1,8.03,1.73,13.8919,11.58061725,1.45,1.37,1.88,5.96
600577,精达股份,电气设备,安徽,24.6,0.088,2.9,1.5,4.35,11.78861789,6.14,7.83,2.2,
2617,露笑科技,电气设备,浙江,35.28,0.218,4.69,3.28,15.3832,13.29365079,,3.37,,
300660,江苏雷利,电气设备,江苏,30.25,1.6,4.06,18.8,76.328,13.4214876,,38.6,nan,
601877,正泰电器,电气设备,浙江,19.18,0.6,2.61,8.58,22.3938,13.60792492,18.24,20.62,2.18,7.13
300600,瑞特股份,电气设备,江苏,44.74,0.583,6.23,8.37,52.1451,13.92489942,18.75,,4.25,
603063,禾望电气,电气设备,深圳,39.22,0.34,5.48,4.21,23.0708,13.97246303,,20.41,,8.5
2801,微光股份,电气设备,浙江,42.27,0.47,5.92,6.63,39.2496,14.00520464,13.36,17.21,2.98,7.16
2706,良信电器,电气设备,上海,28.85,0.21,4.05,3.02,12.231,14.03812825,9.05,12.02,1.54,6.96
603416,信捷电气,电气设备,江苏,40.04,0.455,5.88,6.2,36.456,14.68531469,,26.9,,7.43
2860,星帅尔,电气设备,浙江,39.87,0.64,5.88,7.76,45.6288,14.74793078,,24.34,,9.45
300376,易事特,电气设备,广东,31.88,0.136,5.02,1.73,8.6846,15.74654956,16.55,20.31,,8.33
603515,欧普照明,电气设备,上海,45.92,0.446,7.4,5.54,40.996,16.11498258,14.54,21.64,1.56,
2335,科华恒盛,电气设备,福建,18.96,1.03,3.23,12,38.76,17.03586498,,,,8.74
300693,盛弘股份,电气设备,深圳,84.4,0.348,14.73,3.98,58.6254,17.45260664,,29.5,7.56,12.04
49,德赛电池,电气设备,深圳,46.58,0.558,8.74,5.95,52.003,18.76341778,13.6,24.6,5.8,
2074,国轩高科,电气设备,江苏,33.58,0.507,6.96,4.89,34.0344,20.72662299,22.22,29.86,5,10.79
2892,科力尔,电气设备,湖南,60.27,0.433,12.8,4.08,52.224,21.2377634,,31.59,,13.8
300484,蓝海华腾,电气设备,深圳,45.95,0.341,10.03,3.12,31.2936,21.82807399,23.83,32.02,5.52,11.07
600885,宏发股份,电气设备,湖北,26.52,0.759,5.81,6.93,40.2633,21.90799397,11.53,18.13,4.76,8.52
300208,恒顺众昇,电气设备,山东,24.52,0.327,6.65,2.41,16.0265,27.12071778,16.33,,7.2,14.55
600550,保变电气,电气设备,河北,98.37,0.045,27.84,0.32,8.9088,28.30131138,3.59,30.57,5.42,15.34
300543,朗科智能,电气设备,深圳,63.09,0.58,31.59,1.35,42.6465,50.07132668,21.7,19.92,,6.49
601558,*ST锐电,电气设备,北京,12.16,0.072,6.51,0.27,1.7577,53.53618421,-16.73,-113.68,-13.18,30.98
2212,南洋股份,电气设备,广东,0,-0.01,2.66,6.61,17.5826,,3.7,,,
2112,三变科技,电气设备,浙江,0,-0.151,7.3,2.36,17.228,,,1.06,-2.56,-6.22
2168,深圳惠程,电气设备,深圳,0,-0.079,10.33,1.65,17.0445,,0.4,6.09,-0.41,-5.34
585,东北电气,电气设备,江苏,0,-0.023,25.17,0.21,5.2857,,,-39.4,-8.06,-10.92
600847,*ST万里,电气设备,重庆,0,-0.007,3.58,4.35,15.573,,-0.2,-6.21,,
600405,动力源,电气设备,北京,0,-0.07,3.7,2.33,8.621,,2.85,3.3,-3.19,-3.53
600202,哈空调,电气设备,黑龙江,0,-0.088,6.23,1.7,10.591,,,,-3.73,-5.04
300125,易世达,电气设备,辽宁,0,-0.119,3.13,8.64,27.0432,,,-5.84,-1.21,-1.37
600268,国电南自,电气设备,江苏,0,-0.149,2.3,2.81,6.463,,-6.11,1.67,-7.18,-5.13
300407,凯发电气,电气设备,天津,0,-0.074,4.83,3.23,15.6009,,,14.4,,
300491,通合科技,电气设备,河北,0,-0.043,11.12,2.72,30.2464,,6.85,10.26,-0.43,-1.54
2339,积成电子,电气设备,山东,0,-0.021,3.03,3.99,12.0897,,,5.27,,
600050,中国联通,电信运营,上海,100.89,0.037,2,3.7,7.4,1.982357022,0.62,0.2,,1
2093,国脉科技,电信运营,福建,65.13,0.078,3.51,2.88,10.1088,5.389221557,3.73,5.61,1.62,
2467,二六三,电信运营,北京,66.54,0.063,3.66,2.3,8.418,5.500450857,4.24,,1.63,
300383,光环新网,电信运营,北京,50.93,0.145,3.45,4.28,14.766,6.774003534,,7.77,,3.42
300017,网宿科技,电信运营,上海,34.96,0.173,3.85,3.13,12.0505,11.01258581,,21.52,,
600804,鹏博士,电信运营,四川,34.79,0.28,3.91,4.86,19.0026,11.23886174,10.41,12.98,2.68,5.95
2647,民盛金科,多元金融,浙江,6172.66,0.003,14.01,2.65,37.1265,0.2269686,-1.91,10.45,-1.04,0.1
600599,熊猫金控,多元金融,湖南,210.31,0.056,5.52,4.3,23.736,2.624696876,,2.93,1.34,
600830,香溢融通,多元金融,浙江,71.19,0.067,2.1,4.5,9.45,2.949852507,4.02,5.39,,1.49
416,民生控股,多元金融,山东,145.77,0.027,4.84,1.62,7.8408,3.320299101,1.14,1.92,,1.64
600695,绿庭投资,多元金融,上海,222.34,0.018,8.11,0.99,8.0289,3.64756679,0.5,7.13,3.8,
987,越秀金控,多元金融,广东,50.93,0.116,2.09,5.65,11.8085,4.103671706,,6.33,1.44,
600318,新力金融,多元金融,安徽,87.81,0.082,5.3,2.71,14.363,6.035759025,8.78,13.25,1.51,3.04
415,渤海金控,多元金融,新疆,20.28,0.166,1.34,5.01,6.7134,6.607495069,,7.79,,
