code,name,industry,area,市盈率,每股收益,市净率,每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
600755,厦门国贸,商贸代理,福建,11.47,0.38,1.14,9.51,4.3586,10.841399999999998,9.938971229293807,,11.76,,6.8
600585,海螺水泥,水泥,安徽,9.93,1.267,1.66,15.17,12.581309999999998,25.182199999999998,16.717019133937562,,11.59,2.77,8.46
300250,初灵信息,通信设备,浙江,152.85,0.058,2.54,7.0,8.8653,17.78,1.6617598953222115,,9.7,,0.82
600355,精伦电子,元器件,湖北,0.0,-0.018000000000000002,10.92,0.82,-0.0,8.9544,,0.7,2.79,,-2.18
600086,东方金钰,服饰,湖北,35.18,0.14800000000000002,4.42,2.35,5.206640000000001,10.387,12.563956793632746,7.7,8.71,4.33,6.43
600156,华升股份,纺织,湖南,0.0,-0.08199999999999999,4.42,1.68,-0.0,7.425599999999999,,-5.63,1.35,-2.22,-4.79
000828,东莞控股,路桥,广东,14.42,0.444,2.54,5.04,6.40248,12.8016,17.614424410540916,12.8,17.12,4.09,9.19
300341,麦迪电气,电气设备,福建,42.55,0.106,4.53,2.0,4.5103,9.06,10.64629847238543,,,,5.4
600833,第一医药,医药商业,上海,79.72,0.11,5.46,3.21,8.7692,17.5266,6.848971399899649,5.5,6.12,,3.36
002797,第一创业,证券,深圳,119.94,0.054000000000000006,5.22,2.48,6.4767600000000005,12.945599999999999,4.352176088044022,5.76,7.39,0.79,
300602,飞荣达,元器件,深圳,85.63,0.38,6.87,9.0,32.5394,61.83,8.022889174354782,15.77,23.2,2.08,
002271,东方雨虹,其他建材,北京,34.29,0.56,6.24,6.16,19.2024,38.4384,18.19772528433946,16.63,,,9.38
300488,恒锋工具,机械基件,浙江,39.15,0.44,4.25,7.96,17.226,33.83,10.855683269476373,8.55,,1.89,5.88
600822,上海物贸,商贸代理,上海,246.89,0.025,11.28,1.09,6.17225,12.2952,4.56883632386893,4.12,3.65,2.15,
300155,安居宝,元器件,广东,0.0,-0.015,3.74,2.07,-0.0,7.7418,,,1.55,-1.13,-0.73
002149,西部材料,小金属,陕西,156.47,0.047,3.61,4.09,7.35409,14.764899999999999,2.3071515306448522,0.87,1.83,,1.17
002270,华明装备,电气设备,山东,28.07,0.195,2.81,3.89,5.47365,10.930900000000001,10.010687566797293,8.29,13.39,1.73,
600400,红豆股份,服饰,江苏,12.87,0.275,2.89,2.45,3.53925,7.080500000000001,22.455322455322456,,,,11.5
300531,优博讯,软件服务,深圳,104.34,0.099,10.02,2.06,10.32966,20.6412,9.603220241518114,,18.01,2.66,4.82
002827,高争民爆,化工原料,西藏,45.87,0.304,6.79,4.1,13.944479999999999,27.839,14.802703291911925,nan,30.84,1.54,
300230,永利股份,塑料,上海,24.67,0.325,2.8,5.73,8.017750000000001,16.044,11.349817592217267,6.95,9.32,,
000939,凯迪生态,新型电力,湖北,85.93,0.033,1.84,3.05,2.8356900000000005,5.612,2.1412777842429884,,4.24,,1.07
002002,鸿达兴业,化工原料,江苏,20.81,0.21,4.81,1.69,4.3701,8.1289,23.113887554060547,14.82,,7.65,
002313,日海通讯,通信设备,深圳,138.56,0.092,4.17,6.11,12.74752,25.4787,3.009526558891455,,3.45,-0.36,0.89
002592,八菱科技,汽车配件,广西,49.48,0.278,3.74,7.34,13.75544,27.451600000000003,7.558609539207761,4.48,6.31,,3.75
002594,比亚迪,汽车整车,深圳,49.54,0.59,3.24,19.29,29.228599999999997,62.4996,6.540169559951554,9.23,12.91,1.15,3.33
600354,敦煌种业,种植业,甘肃,12.5,0.368,4.45,2.06,4.6,9.167,35.6,-16.64,-24.88,-4.87,
300512,中亚股份,专用机械,浙江,31.38,0.325,4.22,4.83,10.1985,20.3826,13.448056086679413,,16.46,2.71,6.43
600035,楚天高速,路桥,湖北,15.9,0.2,1.8,3.33,3.18,5.994000000000001,11.320754716981131,,,,
300647,超频三,元器件,深圳,71.58,0.21,5.68,4.23,15.031799999999999,24.026400000000002,7.935177423861414,,21.82,3.09,
300540,深冷股份,专用机械,四川,161.85,0.093,3.79,7.94,15.05205,30.0926,2.341674389867161,10.23,,-0.77,1.17
300320,海达股份,橡胶,江苏,54.55,0.205,7.49,2.99,11.182749999999999,22.395100000000003,13.730522456461962,7.65,10.4,,7.06
002213,特 尔 佳,汽车配件,深圳,1591.89,0.006999999999999999,12.43,1.73,11.143229999999999,21.503899999999998,0.7808328464906494,3.32,2.26,-0.44,0.39
600845,宝信软件,软件服务,上海,33.09,0.261,3.18,5.43,8.636490000000002,17.2674,9.610154125113326,6.41,8.36,1.98,
600143,金发科技,塑料,广东,34.49,0.08800000000000001,1.72,3.54,3.0351200000000005,6.0888,4.986952739924615,,8.62,1.31,2.45
002222,福晶科技,元器件,福建,56.25,0.155,10.64,1.64,8.71875,17.4496,18.915555555555557,8.15,10.86,,9.42
002843,泰嘉股份,钢加工,湖南,81.17,0.16,6.14,4.14,12.987200000000001,25.419599999999996,7.564371073056548,7.41,10.53,2.03,
000661,长春高新,生物制药,吉林,42.79,1.67,6.01,23.79,71.4593,142.97789999999998,14.0453376957233,,,3.62,7.15
600552,凯盛科技,玻璃,安徽,97.48,0.046,2.94,3.04,4.4840800000000005,8.9376,3.0160032827246614,2.75,3.29,0.51,1.49
300325,德威新材,塑料,江苏,322.11,0.01,4.33,1.45,3.2211000000000003,6.2785,1.3442612772034397,,5.93,0.66,0.69
002850,科达利,机械基件,深圳,66.79,0.6759999999999999,5.81,15.56,45.15004,90.4036,8.698907022009282,,30.01,,5.32
