code,name,industry,area,市盈率(pe),每股收益,市净率(pb),每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
603678,火炬电子,元器件,福建,54.77,0.257,5.31,5.31,14.07589,28.1961,9.695088552,,12.45,,4.91
632,三木集团,综合类,福建,336.77,0.011,2.7,2.69,3.70447,7.263,0.801734121,,1.34,0.24,0.4
2808,苏州恒久,元器件,江苏,100.45,0.084,6.11,2.74,8.4378,16.7414,6.082628173,6.87,10.93,1.23,
2274,华昌化工,农药化肥,江苏,96.85,0.048,2.24,4.12,4.6488,9.2288,2.31285493,0.59,,1.81,1.13
2722,金轮股份,纺织机械,江苏,48.02,0.354,3.51,9.7,16.99908,34.047,7.309454394,6.79,,1.48,3.69
300398,飞凯材料,染料涂料,上海,166.01,0.067,10.12,2.18,11.12267,22.0616,6.096018312,,8.99,1.87,3.08
600871,石化油服,石油开采,北京,0,-0.162,7.54,0.45,0,3.393,,,,,-31.3
2331,皖通科技,软件服务,安徽,81.14,0.092,4,3.73,7.46488,14.92,4.929751048,4.48,6.1,0.91,2.48
300353,东土科技,通信设备,北京,93.58,0.084,3.82,4.13,7.86072,15.7766,4.082068818,,7.62,0.47,2.09
2691,冀凯股份,专用机械,河北,481.21,0.029,6.55,4.28,13.95509,28.034,1.361152096,1.07,,0.1,
403,ST生化,生物制药,山西,99.28,0.164,14.78,2.2,16.28192,32.516,14.88718775,,10.22,3.5,7.83
600228,*ST昌九,化工原料,江西,0,-0.059,220.83,0.05,0,11.0415,,-50.86,-88.8,-30.91,-77.18
536,华映科技,元器件,福建,119.45,0.026,1.32,4.65,3.1057,6.138,1.105064881,13.74,7.26,0.43,0.55
2571,*ST德力,玻璃,安徽,56.67,0.08,2.38,3.83,4.5336,9.1154,4.199752956,-2.9,-4.1,,2.12
2509,天广中茂,专用机械,福建,51.43,0.097,5.29,1.88,4.98871,9.9452,10.28582539,6.19,,1.2,
600865,百大集团,百货,浙江,58.93,0.093,2.38,4.63,5.48049,11.0194,4.038689971,6.19,6.04,,2.04
712,锦龙股份,证券,广东,97.39,0.108,5.18,4.06,10.51812,21.0308,5.318821234,7.82,10.39,1.97,2.61
300299,富春股份,通信设备,福建,47.31,0.143,5.15,2.62,6.76533,13.493,10.88564785,5.43,8.02,4.3,5.59
300661,圣邦股份,元器件,北京,72.43,0.542,6.73,11.67,39.25706,78.5391,9.291729946,,34.5,,9.4
2290,中科新材,家用电器,江苏,68.01,0.13,3.34,5.09,8.8413,17.0006,4.911042494,3.24,3.01,,
300395,菲利华,玻璃,湖北,46.81,0.18,6.04,2.79,8.4258,16.8516,12.90322581,10.01,14.23,1.85,6.43
600876,洛阳玻璃,玻璃,河南,5543.15,0.002,24.9,1,11.0863,24.9,0.44920307,-16.55,2.42,0.22,
300076,GQY视讯,电脑设备,浙江,0,-0.044,3.67,2.54,0,9.3218,,,-2.06,-1.82,-1.81
600360,华微电子,半导体,吉林,101.28,0.05,3.38,2.78,5.064,9.3964,3.33728278,1.89,2.02,0.62,1.67
2210,飞马国际,仓储物流,深圳,67,0.085,4.59,2.47,5.695,11.3373,6.850746269,,,1.79,3.49
600060,海信电器,家用电器,山东,25.24,0.303,1.47,10.41,7.64772,15.3027,5.824088748,9.22,13.99,2.02,
300678,中科信息,软件服务,四川,370.67,0.16,20.21,4.49,59.3072,90.7429,5.452289098,,12.2,-0.33,3.6
2853,皮阿诺,家居用品,广东,111.52,0.223,8.98,5.54,24.86896,49.7492,8.052367288,,25.75,2.13,5.59
300529,健帆生物,医疗保健,广东,48.91,0.358,11.64,3.01,17.50978,35.0364,23.79881415,19.17,24.08,4.91,11.96
2760,凤形股份,机械基件,安徽,0,-0.11,5.16,6.34,0,32.7144,,,1.79,-0.69,-1.71
300673,佩蒂股份,饲料,浙江,46.38,0.63,6.79,6.46,29.2194,43.8634,14.639931,,22.26,3.43,
789,万年青,水泥,江西,30.41,0.143,1.92,4.51,4.34863,8.6592,6.313712595,6.1,8.44,,3.07
600097,开创国际,渔业,上海,0,-0.134,4.73,3.92,0,18.5416,,-21.51,0.98,,-3.37
2417,三元达,通信设备,福建,112.03,0.061,10.03,1.37,6.83383,13.7411,8.952959029,-17.72,-26.75,1.21,4.65
600604,市北高新,园区开发,上海,124.82,0.037,2.99,3.06,4.61834,9.1494,2.395449447,,4,-0.27,1.2
300638,广和通,通信设备,深圳,108.75,0.2,9.07,4.24,21.75,38.4568,8.340229885,,32.51,,9.45
300252,金信诺,电气设备,深圳,42.41,0.252,4.15,5.15,10.68732,21.3725,9.785427965,,17.58,2.88,4.94
300607,拓斯达,专用机械,广东,75.13,0.419,12.05,5.23,31.47947,63.0215,16.03886597,,24.15,,9.68
600050,中国联通,电信运营,上海,101.84,0.037,2.02,3.7,3.76808,7.474,1.983503535,0.62,0.2,,1
300290,荣科科技,软件服务,辽宁,115.66,0.05,5.31,2.2,5.783,11.682,4.591042711,2.13,3.75,,1.96
300546,雄帝科技,元器件,深圳,83.63,0.19,7.21,4.27,15.8897,30.7867,8.621308143,10.96,16.39,0.94,
2769,普路通,仓储物流,深圳,38.55,0.25,5.69,3.38,9.6375,19.2322,14.76005188,,,3.34,7.48
300212,易华录,软件服务,北京,68.2,0.215,4.2,6.99,14.663,29.358,6.158357771,,,1.05,
2098,浔兴股份,服饰,福建,43.92,0.179,4.84,3.26,7.86168,15.7784,11.02003643,8.03,10.94,0.68,
300331,苏大维格,元器件,江苏,75.58,0.158,4,5.97,11.94164,23.88,5.292405398,2.25,6.33,,2.61
600330,天通股份,元器件,浙江,44.39,0.121,2.41,4.46,5.37119,10.7486,5.42915071,3.03,3.1,1.49,
300503,昊志机电,机械基件,广东,67.17,0.14,7.34,2.78,9.4038,20.4052,10.92749739,11.18,10.13,,
2199,东晶电子,元器件,浙江,0,-0.007,9.7,1.88,0,18.236,,-22.3,3.59,0.22,-0.36
800,一汽轿车,汽车整车,吉林,35.8,0.166,2.43,4.89,5.9428,11.8827,6.787709497,-8.6,-11.64,2.08,3.46
2813,路畅科技,汽车配件,深圳,152.85,0.143,8.08,5.42,21.85755,43.7936,5.286228328,6,8.09,,2.56
2202,金风科技,电气设备,新疆,21.28,0.319,2.34,5.79,6.78832,13.5486,10.9962406,12.01,16.87,0.81,5.76
600645,中源协和,生物制药,天津,612.18,0.022,6.83,3.89,13.46796,26.5687,1.115684929,,2.41,1.76,
600814,杭州解百,百货,浙江,46.72,0.122,3.64,3.14,5.69984,11.4296,7.79109589,,9.42,1.92,
417,合肥百货,百货,安徽,20.46,0.226,1.99,4.65,4.62396,9.2535,9.72629521,6.67,8.16,3.09,4.82
300350,华鹏飞,软件服务,深圳,56.43,0.11,3.48,3.55,6.2073,12.354,6.166932483,3.95,,,
2780,三夫户外,其他商业,北京,3149.17,0.005,7.44,3.89,15.74585,28.9416,0.236252727,2.45,9.42,,0.12
2846,英联股份,广告包装,广东,86.33,0.21,7.9,4.41,18.1293,34.839,9.150932468,15.99,21.09,,5.04
150,宜华健康,医疗保健,广东,62.22,0.23,5.26,5.43,14.3106,28.5618,8.453873353,36.84,36.35,,4.23
300449,汉邦高科,电脑设备,北京,2928.3,0.005,6.34,4.62,14.6415,29.2908,0.216507871,,4.67,,
300047,天源迪科,软件服务,深圳,217.14,0.031,2.46,5.52,6.73134,13.5792,1.132909644,1.66,7.17,0.06,0.57
2218,拓日新能,半导体,深圳,37.62,0.07,2.35,2.26,2.6334,5.311,6.246677299,3.2,4.85,1.15,3.17
300302,同有科技,软件服务,北京,270.64,0.028,9.04,1.69,7.57792,15.2776,3.340230565,,,,
600640,号百控股,酒店餐饮,上海,60.04,0.18,3.56,5.43,10.8072,19.3308,5.929380413,0.97,0.7,,3.08
600125,铁龙物流,铁路,辽宁,44.65,0.141,3.21,3.92,6.29565,12.5832,7.18924972,,4.89,,3.6
2008,大族激光,电器仪表,深圳,24.25,0.857,7.27,5.72,20.78225,41.5844,29.97938144,12.73,,2.79,15.83
2049,紫光国芯,元器件,河北,86.56,0.203,6.5,5.42,17.57168,35.23,7.509242144,9.19,,1.65,
600801,华新水泥,水泥,湖北,15.06,0.486,2.08,7.05,7.31916,14.664,13.81142098,1.66,4.61,0.95,
300088,长信科技,元器件,安徽,34.11,0.261,4.99,3.57,8.90271,17.8143,14.62914101,6.33,9.52,2.76,
300649,杭州园林,建筑施工,浙江,260.32,0.1,22.91,2.28,26.032,52.2348,8.800706822,,15.18,3.04,6.36
2024,苏宁云商,电器连锁,江苏,207.6,0.031,1.62,8.04,6.4356,13.0248,0.780346821,-0.71,1.41,0.12,0.44
2400,省广股份,广告包装,广东,33.52,0.109,2.38,3.06,3.65368,7.2828,7.100238663,14.88,17.77,1.51,3.59
300505,川金诺,化工原料,云南,75.81,0.274,6.14,6.78,20.77194,41.6292,8.099195357,8.48,10.74,1.22,4.04
2032,苏 泊 尔,家用电器,浙江,26.48,0.727,6.77,5.68,19.25096,38.4536,25.56646526,,,7.76,
300338,开元股份,电器仪表,湖南,75.4,0.19,4.03,6.07,14.326,24.4621,5.344827586,0.92,,1.66,3.91
600965,福成股份,农业综合,河北,76.78,0.08,5.71,2.15,6.1424,12.2765,7.436832508,8.97,10.93,1.4,3.69
2881,美格智能,通信设备,深圳,103,0.21,7.62,4.25,21.63,32.385,7.398058252,,22.81,3.1,7.09
2696,百洋股份,渔业,广西,149.97,0.08,3.71,5.8,11.9976,21.518,2.473828099,,,-0.09,
600255,梦舟股份,铜,安徽,650.75,0.004,3.03,1.88,2.603,5.6964,0.465616596,-2.52,5.77,,0.23
2415,海康威视,电器仪表,浙江,46.19,0.357,12.65,2.61,16.48983,33.0165,27.38688028,23.69,34.56,5.91,12.98
2446,盛路通信,通信设备,广东,48.96,0.118,3.52,3.3,5.77728,11.616,7.189542484,7.58,,2.34,3.64
2046,轴研科技,机械基件,河南,0,-0.021,2.82,3.83,0,10.8006,,-0.79,0.95,,-0.55
300525,博思软件,软件服务,福建,361.66,0.068,7.79,6.27,24.59288,48.8433,2.153956755,4.61,,-1.41,1.15
600307,酒钢宏兴,普钢,甘肃,30.18,0.056,2.22,1.52,1.69008,3.3744,7.355864811,4.85,0.9,,3.75
2184,海得控制,软件服务,上海,697.55,0.011,3.5,4.5,7.67305,15.75,0.501756147,1.26,1.37,-1.58,0.25
2531,天顺风能,电气设备,江苏,23.6,0.135,2.46,2.6,3.186,6.396,10.42372881,14.2,14.67,3.38,5.11
2866,传艺科技,电脑设备,江苏,53.83,0.33,5,6,17.7639,30,9.288500836,,26.41,5.45,7.27
300651,金陵体育,文教休闲,江苏,134.97,0.16,4.31,7.68,21.5952,33.1008,3.193302215,,13.84,0.57,2.41
300551,古鳌科技,专用机械,上海,0,-0.093,5.29,6.85,0,36.2365,,5.51,11.68,-3.28,-1.34
62,深圳华强,批发业,深圳,52.02,0.271,5.07,5.56,14.09742,28.1892,9.746251442,7.25,11.24,,
852,石化机械,化工机械,湖北,0,-0.266,5.55,2.67,0,14.8185,,-14.37,-38.96,,
300385,雪浪环境,环境保护,江苏,45.87,0.302,4.18,6.64,13.85274,27.7552,9.112709832,,12.05,1.77,4.62
2335,科华恒盛,电气设备,福建,18.61,1.03,3.17,12,19.1683,38.04,17.03385277,,,,8.74
300608,思特奇,软件服务,北京,0,-0.1,5.38,6.6,0,35.508,,nan,16.13,-13.61,-1.6
600602,云赛智联,软件服务,上海,42.14,0.1,3,2.68,4.214,8.04,7.11912672,6.65,,1.67,3.69
