,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,000001,平安银行,,,,,,36508.12,,,10-25
1,600785,新华百货,,,,,,2887.45,,,10-24
2,600809,山西汾酒,,,,,,2834.5,,,10-24
3,600598,北大荒,,,1.4,15.91,0.04,27502.76,,,03-12
4,600350,山东高速,,,1.66,,0.17,28908.4,,,02-26
5,000629,*ST钒钛,,,,,,39948.63,,,12-18
6,600520,中发科技,,,1.5,,0.1,1683.68,,,12-17
7,600763,通策医疗,,,,,,-3828.78,,,12-01
8,600567,山鹰纸业,,,1.41,12.03,0.03,1598.85,,,11-20
9,600898,国美通讯,,,,,,-3175.86,,,11-14
10,600596,新安股份,,,3.76,,,1525.82,,,10-31
11,600336,澳柯玛,,,3.56,,,4066.37,,,10-31
12,600225,*ST松江,,,2.02,,,1054.8,,,10-31
13,600661,新南洋,,,2.16,,,2943.79,,,10-31
14,600151,航天机电,,,2.66,,,10685.31,,,10-31
15,600179,安通控股,,,2.35,,,1424.43,,,10-31
16,600642,申能股份,,,3.27,,,88012.9,,,10-31
17,000592,平潭发展,,,1.04,,,148.87,,,10-31
18,600699,均胜电子,,,1.83,,,1529.42,,,10-31
19,600817,*ST宏盛,,,1.59,,,1325.94,,,10-31
20,600356,恒丰纸业,,,3.45,,,3463.08,,,10-31
21,600847,*ST万里,,,1.04,,,279.61,,,10-31
22,600070,浙江富润,,,,,,1754.73,,,10-30
23,600721,百花村,,,1.5,,,414.22,,,10-30
24,600629,华建集团,,,0.59,,,-1815.45,,,10-30
25,000159,国际实业,,,3.32,,,744.17,,,10-30
26,000869,张裕A,,,5.19,,,10034.65,,,10-30
27,600016,民生银行,,,,,,47967.88,,,10-30
28,600825,新华传媒,,,1.46,,,2657.48,,,10-30
29,000739,普洛药业,,,1.88,,,-945.07,,,10-30
30,600610,中毅达,,,0.14,,,349.93,,,10-30
31,000536,华映科技,,,-0.6,,,-2871.83,,,10-30
32,600191,华资实业,,,3.43,,,6192.56,,,10-30
33,600081,东风科技,,,2.09,,,3266.09,,,10-30
34,600818,中路股份,,,-0.36,,,1340.13,,,10-30
35,600316,洪都航空,,,5.04,,,4548.98,,,10-30
36,600764,中电广通,,,2.33,,,2296.0,,,10-30
37,600075,新疆天业,,,4.86,,,2047.84,,,10-30
38,600072,中船科技,,,3.47,,,1650.36,,,10-30
