,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600251,冠农股份,-0.01,,,-0.49,,,,,08-18
1,002049,紫光国芯,,,,4.72,,,,,08-22
2,600317,营口港,,,,,,2136.76,,,01-12
3,600309,万华化学,,,1.94,18.98,-0.15,2689.61,,,08-10
4,600033,福建高速,,,1.64,,0.15,1991.0,,,08-09
5,600290,华仪电气,,,2.51,,,267.53,,,08-08
6,600242,中昌数据,,,1.31,,0.15,1356.33,,,08-07
7,600292,远达环保,,,2.34,21.49,0.36,4694.03,,,07-20
8,600393,粤泰股份,,,,,,1747.67,,,03-13
9,600466,蓝光发展,,,,,-0.01,1089.59,,,02-07
10,600376,首开股份,,,3.06,,0.75,6110.96,,,01-11
11,600312,平高电气,,,1.33,,-0.08,672.23,,,01-11
12,600383,金地集团,,,2.01,,0.57,4194.3,,,01-11
13,600550,保变电气,,,1.55,,-0.22,1971.23,,,01-10
14,600310,桂东电力,,,1.77,,0.37,1813.22,,,01-10
15,600382,广东明珠,,,1.61,,0.51,1270.9,,,01-02
16,600332,白云山,,,1.98,,0.27,8615.31,,,12-30
17,600037,歌华有线,,,1.9,,0.41,6665.84,,,12-30
18,600389,江山股份,,,1.28,,0.37,2105.51,,,12-22
19,600330,天通股份,,,1.21,,0.15,1752.29,,,12-22
20,600303,曙光股份,,,1.82,,0.7,1259.96,,,12-21
21,600378,天科股份,,,1.64,,0.03,801.05,,,12-21
22,600377,宁沪高速,,,2.61,,0.1,26571.7,,,12-20
23,600313,农发种业,,,1.48,,-0.07,1377.08,,,12-20
24,600339,中油工程,,,1.76,,0.32,1865.24,,,12-20
25,600400,红豆股份,,,1.29,,,2801.24,,,12-19
26,600270,外运发展,,,1.58,,0.79,7944.74,,,12-18
27,600345,长江通信,,,1.57,,-0.21,2690.17,,,12-16
28,600368,五洲交通,,,1.41,,0.04,4288.33,,,12-16
29,600016,民生银行,,,1.26,,,20582.79,,,12-14
30,600365,通葡股份,,,1.37,,0.28,811.24,,,12-13
31,600388,龙净环保,,,1.35,,0.01,1029.6,,,12-12
32,600336,澳柯玛,,,1.82,,1.91,2897.34,,,12-11
33,000998,隆平高科,,,7.52,,0.96,1230.07,,,12-06
34,600038,中直股份,,,1.79,,0.19,2027.74,,,12-01
35,600323,瀚蓝环境,,,1.84,,0.47,1816.0,,,11-29
36,600328,兰太实业,,,1.76,,0.82,2451.42,,,11-28
37,600307,酒钢宏兴,,,1.78,,0.46,11378.63,,,11-28
38,600302,标准股份,,,1.76,,0.61,3441.78,,,11-21
39,600333,长春燃气,,,1.7,,0.05,2990.87,,,11-18
40,600019,宝钢股份,,,1.56,,0.52,142355.61,,,11-17
41,600241,时代万恒,,,1.79,,,1417.49,,,11-02
42,600288,大恒科技,,,2.16,7.81,-0.17,1520.98,,,10-31
43,600252,中恒集团,,,1.85,,-0.05,980.68,,,10-25
44,600255,梦舟股份,,,1.82,,0.2,1293.27,,,10-24
45,600276,恒瑞医药,,,2.0,,0.11,2555.69,,,10-13
46,600285,羚锐制药,,,1.2,,0.08,1005.57,,,10-13
47,600283,钱江水利,,,1.64,,0.05,1763.58,,,10-13
48,600297,广汇汽车,,,1.72,,0.21,1533.76,,,10-10
49,600366,宁波韵升,,,1.84,,0.03,1654.2,,,10-10
50,000159,国际实业,,,1.52,,0.81,1290.61,,,09-21
51,600281,太化股份,,,1.65,,0.07,2237.86,,,09-21
52,000972,*ST中基,,,3.13,,-0.41,435.39,,,09-19
53,600246,万通地产,,,1.56,,0.29,1048.71,,,09-16
54,600282,南钢股份,,,2.21,,0.14,8051.55,,,09-14
55,600293,三峡新材,,,1.74,,0.25,1988.83,,,09-14
56,000157,中联重科,,,1.73,,0.1,2801.06,,,09-13
57,000155,*ST川化,,,1.54,,0.33,4150.56,,,09-06
58,600358,国旅联合,,,1.53,,0.32,947.33,,,08-31
59,600600,青岛啤酒,,,2.57,,0.12,6287.63,6.46,,08-31
60,000752,西藏发展,,,1.82,,0.06,1453.92,-48.71,,08-31
61,600358,国旅联合,,,1.53,,0.32,947.33,,,08-31
62,000526,*ST紫学,,,1.59,,-0.01,-281.55,-70.22,,08-30
63,000608,阳光股份,,,2.08,,0.9,4384.01,565.66,,08-30
64,000511,*ST烯碳,,,1.43,,0.15,930.6,-29.83,,08-30
65,000555,神州信息,,,1.13,,-0.03,-758.46,8.41,,08-30
66,000567,海德股份,,,1.31,,-0.01,-306.55,-257.92,,08-30
67,000536,华映科技,,,0.0,,-0.02,-885.65,-51.63,,08-30
68,600614,鹏起科技,,,1.4,,0.04,122.36,23.89,,08-30
69,000698,沈阳化工,,,3.2,,0.07,4800.94,35.2,,08-29
70,000010,美丽生态,,,0.81,,-0.26,-240.06,-88.77,,08-29
71,000632,三木集团,,,3.25,,-0.51,1950.51,71.48,,08-29
72,600874,创业环保,,,0.87,,0.07,-7543.25,-64.53,,08-29
73,000430,张家界,,,1.08,,-0.12,-1644.95,-749.79,,08-29
74,600608,*ST沪科,,,2.07,,-0.27,176.09,-81.83,,08-29
75,000572,海马汽车,,,1.04,,0.01,-1858.13,289.56,,08-29
76,600715,文投控股,,,1.51,,-0.12,487.82,-118.52,,08-29
77,600823,世茂股份,,,2.89,,-0.04,304.29,-86.25,,08-29
78,600875,东方电气,,,2.57,,0.16,-1200.65,-225.65,,08-28
79,000585,东北电气,,,1.75,,-0.02,-2203.62,-594.53,,08-28
80,600871,石化油服,,,2.18,,0.26,37752.5,81.6,,08-28
81,000551,创元科技,,,2.05,,0.11,2564.04,-376.88,,08-26
82,000758,中色股份,,,2.37,,-0.14,3193.75,40.62,,08-26
83,000996,中国中期,,,1.63,,0.1,1200.0,,,08-26
84,000550,江铃汽车,,,1.84,,0.45,559.25,-9.56,,08-26
85,600615,丰华股份,,,4.13,,0.34,160.49,-15.45,,08-26
86,000985,大庆华科,,,1.78,,0.78,1894.22,,,08-26
87,000993,闽东电力,,,1.62,,-0.12,1024.8,,,08-26
88,000983,西山煤电,,,1.66,,0.35,8515.99,,,08-26
89,600633,浙数文化,,,0.01,,-0.0,-1769.95,-0.46,,08-26
90,600731,湖南海利,,,2.23,,0.03,1528.14,5.4,10转5.1,08-26
91,600115,东方航空,,,1.39,,0.26,7090.37,33.61,,08-25
92,000613,*ST东海A,,,1.05,,-0.0,-4336.72,320.28,,08-25
93,600278,东方创业,,,1.9,,-0.12,4333.77,,,08-25
94,000029,深深房A,,,1.52,,0.05,1845.53,13.63,,08-25
95,000531,穗恒运A,,,2.17,,0.04,2860.08,17.55,,08-25
96,000404,华意压缩,,,2.01,,0.28,1604.56,-10.15,,08-25
97,000411,英特集团,,,0.84,,0.09,-2162.63,-20.02,,08-25
98,000631,顺发恒业,,,4.11,,-0.08,3612.62,65.69,,08-25
99,600808,马钢股份,,,1.85,,0.06,6347.36,-207.51,,08-25
100,000783,长江证券,,,1.71,,0.12,-13716.48,-275.51,,08-25
101,000883,湖北能源,,,3.18,,0.03,1958.74,-52.82,,08-25
102,600007,中国国贸,,,2.57,,0.13,6638.0,-35.02,,08-25
103,000605,渤海股份,,,1.19,,0.01,-305.79,-28414.25,,08-25
104,600212,江泉实业,,,3.68,,-0.4,3602.26,6.97,,08-25
105,600638,新黄浦,,,3.09,,0.18,5269.82,100.91,,08-25
106,000959,首钢股份,,,2.29,,0.29,39824.49,13.97,,08-25
107,000738,航发控制,,,2.79,,-0.07,-6581.54,-323.48,,08-25
108,000514,渝开发,,,1.59,,-0.1,587.5,-54.25,,08-25
109,000753,漳州发展,,,2.83,,0.08,1869.11,-11.03,,08-25
110,000011,深物业A,,,0.33,,0.14,1058.82,74.46,,08-25
111,600630,龙头股份,,,3.38,,0.19,7932.16,38.44,,08-25
112,000018,神州长城,,,1.8,,0.02,390.08,-8.55,,08-24
113,000036,华联控股,,,3.57,,0.54,5566.95,245.2,10转5,08-24
114,000058,深赛格,,,2.62,,-0.05,1367.91,-81.62,,08-24
115,000056,皇庭国际,,,1.91,,0.1,435.07,-63.66,,08-24
116,000547,航天发展,,,3.18,,-0.42,8.9,-99.71,,08-24
117,000999,华润三九,,,3.58,,-0.13,12015.67,,,08-24
118,600721,百花村,,,1.93,,-0.06,-3138.95,24.66,,08-24
