,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603299,井神股份,0.08,,,4.05,,2215.46,,,12-16
1,603223,恒通股份,,,,48.13,,2301.99,,,06-10
2,601968,宝钢包装,,,,,,1766.4,,,04-23
3,603166,福达股份,0.22,,0.77,28.2,0.16,8399.38,,,10-23
4,601579,会稽山,0.35,,,18.66,,9544.89,,,10-23
5,603767,中马传动,0.61,69.44,,33.61,,5395.58,96.87,,10-16
6,002703,浙江世宝,0.25,,,15.09,0.22,6635.7,,,09-28
7,603168,莎普爱思,0.39,5.41,2.24,18.69,0.45,1908.44,5.69,,09-28
8,002702,海欣食品,0.82,28.13,2.98,31.28,0.19,4329.95,53.4,,09-17
9,002701,奥瑞金,,,,20.15,0.87,12051.09,24.75,,09-12
10,300356,光一科技,0.7,,1.33,46.89,-0.02,3489.12,,,09-11
11,601016,节能风电,0.09,,,7.47,0.18,9055.73,,,09-06
12,601326,秦港股份,0.19,,,11.09,0.35,82478.19,,,09-06
13,002782,可立克,0.47,,6.41,45.47,1.38,4832.73,,,09-03
14,300355,蒙草生态,0.48,,2.75,55.46,-0.72,3287.78,,,08-31
15,603989,艾华集团,0.59,,2.23,44.04,0.89,8476.11,,,08-31
16,300353,东土科技,0.42,,1.17,42.42,0.38,1666.55,145.09,,08-31
17,002700,新疆浩源,,,4.85,46.97,0.74,1808.79,,,08-31
18,300354,东华测试,0.33,,1.28,27.75,0.22,980.97,,,08-30
19,300351,永贵电器,,,7.96,44.25,3.09,2882.97,,,08-28
20,002748,世龙实业,0.35,,3.01,15.14,0.85,3161.67,,,08-28
21,300352,北信源,0.64,,1.62,43.35,0.49,2256.23,,,08-27
22,002699,美盛文化,,,1.07,53.24,0.33,2232.39,139.05,,08-24
23,002698,博实股份,0.3,,1.05,28.97,0.32,10621.15,,,08-24
24,603566,普莱柯,,,,44.75,1.42,9275.9,,,08-23
25,002726,龙大肉食,0.69,,,27.37,-0.51,8478.72,,,08-23
26,002815,崇达技术,,,,27.06,,4095.07,,,08-23
