,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002529,海源机械,0.06,,,3.24,,653.27,,,10-09
1,002371,北方华创,0.26,,,6.14,,1282.45,,,10-09
2,000603,盛达矿业,0.02,218.84,0.57,,-0.08,308.18,219.81,,08-29
3,002269,美邦服饰,0.23,,1.34,19.0,0.7,14051.55,,,08-04
4,601766,中国中车,0.05,,0.67,8.1,-0.42,36754.98,,,07-28
5,002259,升达林业,0.03,9.21,1.6,,-0.1,418.29,9.64,,07-15
6,002258,利尔化学,0.27,-40.0,2.34,,-0.03,2701.62,-40.11,,07-07
7,600180,瑞茂通,-0.2,46.93,0.77,,0.01,-4928.29,46.93,,06-26
8,002256,兆新股份,0.1,11.11,1.72,,-0.12,629.99,13.2,,06-24
9,002255,海陆重工,0.12,-92.44,2.08,,0.69,1019.64,8.97,,06-24
10,002254,泰和新材,0.78,59.18,10.98,,0.24,7306.9,58.41,,06-24
11,002253,川大智胜,0.14,-566.67,4.5,,-0.54,550.01,-575.16,,06-20
12,002252,上海莱士,0.26,-7.14,1.66,,0.21,3154.26,60.54,,06-20
13,002251,步步高,0.72,44.0,4.51,,2.32,7719.4,51.07,,06-18
14,002250,联化科技,0.15,36.36,2.7,,0.02,1495.18,37.26,,06-18
15,002249,大洋电机,0.46,6.98,2.97,,,4313.24,6.28,,06-18
16,002247,帝龙文化,0.09,38.71,2.47,,-0.16,429.06,37.72,,06-11
17,002248,*ST东数,0.06,100.0,2.11,,-0.1,595.31,180.5,,06-11
18,002246,北化股份,0.05,-18.18,1.67,,-0.25,669.1,-16.38,,06-04
19,002245,澳洋顺昌,0.2,37.94,2.94,,0.01,910.08,39.76,,06-04
20,002244,滨江集团,0.03,650.0,2.45,,-1.78,1220.58,487.44,,05-28
21,002242,九阳股份,0.51,,2.86,,,10195.28,67.58,,05-27
22,002243,通产丽星,0.1,12.56,1.21,,-0.2,1212.74,12.55,,05-27
23,002238,天威视讯,0.09,9.62,3.42,,0.34,1816.32,10.56,,05-23
24,002240,威华股份,0.07,-61.11,2.52,,0.04,1654.82,-2.12,,05-22
25,002241,歌尔股份,0.23,187.5,1.97,,0.26,2043.33,112.45,,05-21
26,002239,奥特佳,0.13,28.52,1.79,,-0.02,1316.36,28.58,,05-21
27,600958,东方证券,,,,,,-26837.73,-171.07,,05-20
28,002237,恒邦股份,0.6,81.82,4.67,,-0.14,4272.48,100.03,,05-19
29,002236,大华股份,0.11,120.0,4.7,,-0.65,583.65,109.98,,05-19
30,002235,安妮股份,0.13,-18.75,2.12,,,1006.18,32.71,,05-15
31,002234,民和股份,0.33,43.48,4.13,,0.27,2660.25,47.66,,05-15
32,002233,塔牌集团,0.2,400.0,2.29,,0.33,6053.87,394.0,,05-15
33,002231,奥维通信,-0.05,-150.0,1.76,,,-414.68,-151.72,,05-09
34,002230,科大讯飞,0.04,,1.9,,-0.65,323.85,3397.74,,05-09
35,002232,启明信息,,,1.55,,-0.39,250.89,225.67,,05-08
36,002229,鸿博股份,0.17,6.25,2.58,,-0.06,1007.49,2.73,,05-07
37,002228,合兴包装,0.12,50.0,1.68,,-0.02,918.29,52.55,,05-07
38,002226,江南化工,0.07,-12.5,2.66,,-0.7,286.74,-10.48,,05-05
39,002227,奥特迅,0.11,22.22,2.09,,-0.36,871.36,22.19,,05-05
40,600746,江苏索普,-0.04,-2050.0,1.29,,-0.12,-1202.42,-1863.6,,04-30
41,600381,青海春天,0.4,-4606.74,-0.86,,0.03,12289.27,-4965.68,,04-30
42,000977,浪潮信息,0.0,120.0,4.45,,-0.0,47.92,51.08,,04-30
43,600781,辅仁药业,0.03,14.67,0.83,,0.16,610.93,19.71,,04-30
44,600052,浙江广厦,0.11,-31.25,1.41,,-0.51,9850.81,17.07,,04-30
45,600817,*ST宏盛,-1.03,-1244.44,-0.05,,-0.01,-13288.63,-1208.51,,04-30
46,600854,春兰股份,-0.14,-2129.85,3.99,,-0.1,-7076.42,-2144.62,,04-30
47,600120,浙江东方,0.04,0.0,2.31,,0.04,1923.88,6.13,,04-30
48,600870,厦华电子,-0.17,-950.0,-0.49,,-0.31,-6442.53,-1003.58,,04-30
49,600552,凯盛科技,0.05,45.56,1.85,,0.0,613.64,101.99,,04-30
50,600177,雅戈尔,0.23,-55.4,5.33,,0.11,50519.21,-44.26,,04-30
51,002125,湘潭电化,-0.23,-1335.26,3.51,,-0.31,-1769.84,-1844.37,,04-30
52,600588,用友网络,0.31,40.91,9.68,,-0.12,7201.22,43.73,,04-30
53,600249,两面针,-0.03,-109.24,9.09,,-0.25,-1026.33,-118.7,,04-30
54,600642,申能股份,0.16,-10.44,4.9,,0.28,47177.46,-10.05,,04-30
55,600661,新南洋,0.01,10.38,2.18,,-0.1,203.21,10.05,,04-30
56,000875,吉电股份,0.01,-71.91,3.23,,-0.02,814.94,-70.6,,04-30
57,000402,金融街,0.05,-87.8,10.3,,-0.26,7023.96,-83.93,,04-30
58,600751,天海投资,-0.05,-1766.67,-0.46,,0.02,-2483.05,-1687.89,,04-30
59,600057,象屿股份,-0.28,-5100.0,-0.99,,0.02,-12149.23,-5185.65,,04-30
60,600168,武汉控股,0.01,-41.5,3.32,,-0.07,516.52,-23.51,,04-30
61,600562,国睿科技,0.01,-30.77,4.17,,-0.11,75.28,-31.0,,04-30
62,600186,莲花健康,0.01,10.0,1.53,,-0.0,579.94,9.75,,04-30
