,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603727,博迈科,,,,10.78,,3922.06,,,10-31
1,603299,井神股份,0.37,68.18,,14.12,,16138.05,76.42,,12-16
2,603223,恒通股份,0.56,,,31.46,,5060.56,19.38,,06-10
3,300424,航新科技,0.6,,2.6,26.05,1.06,6030.13,,,04-03
4,603808,歌力思,0.81,,3.1,31.68,0.94,9672.09,,,04-03
5,300437,清水源,0.66,,3.32,22.34,0.53,3185.56,,,04-03
6,300442,普丽盛,0.75,,3.42,24.34,0.18,5617.28,,,04-03
7,603330,上海天洋,,,12.58,8.35,-0.25,872.59,,,03-20
8,603337,杰克股份,0.46,,2.11,24.34,0.24,7150.15,,,03-06
9,300678,中科信息,,,,14.78,,2176.97,,,03-06
10,002750,龙津药业,1.39,,,45.86,1.52,6966.01,,,03-04
11,603012,创力集团,0.89,,3.9,42.87,0.41,19002.24,,,03-04
12,300429,强力新材,0.56,,1.9,31.23,0.57,3317.22,,,03-03
13,603729,龙韵股份,1.45,-1.36,,27.9,0.75,7226.79,17.56,,03-03
14,603199,九华旅游,0.71,,,17.08,1.64,5852.79,,,03-03
15,300374,恒通科技,0.7,,,21.37,-0.05,5089.76,,,03-03
16,603519,立霸股份,0.85,,3.88,24.74,0.19,3976.71,,,03-03
17,603020,爱普股份,0.92,,4.35,23.28,0.69,10982.41,,,03-03
18,603869,北部湾旅,0.37,,2.17,18.9,0.35,6080.61,,,03-03
19,002747,埃斯顿,0.69,,2.15,36.95,0.6,6237.35,,,03-03
20,300575,中旗股份,0.78,,3.58,23.93,0.43,4303.38,,,02-13
21,002743,富煌钢构,0.64,12.28,,15.67,0.87,5793.6,25.78,,02-02
22,002742,三圣股份,1.21,,5.54,24.63,0.46,8723.26,,,02-02
23,603015,弘讯科技,0.47,,2.37,25.18,0.22,7080.81,,,02-02
24,603222,济民制药,0.57,,3.19,19.9,0.27,6777.5,,,02-02
25,603118,共进股份,0.65,,3.73,22.82,2.1,13752.96,,,02-02
26,300421,力星股份,0.66,,2.86,28.26,0.28,4646.83,,,02-02
27,603828,柯利达,0.64,,2.47,29.86,0.91,5768.89,,,02-02
28,300420,五洋科技,0.57,,2.66,27.0,0.3,3415.45,,,02-02
29,300425,环能科技,0.88,,4.91,21.32,-0.07,4630.77,,,02-02
30,603898,好莱客,0.63,,1.82,43.68,1.07,4629.42,,,02-02
31,603969,银龙股份,0.4,,,14.38,-0.55,5954.72,,,02-02
32,002745,木林森,0.27,-67.47,3.93,23.18,0.72,10708.52,5.05,,02-02
33,603997,继峰股份,0.38,,1.16,36.19,0.51,13823.22,,,02-02
34,300465,高伟达,0.51,,1.83,37.39,0.64,5121.71,,,01-28
35,002753,永东股份,0.89,,,21.85,-0.1,6548.95,,,01-26
36,300439,美康生物,0.63,,2.22,68.56,1.0,5332.81,,,01-21
37,603021,山东华鹏,0.65,,,14.09,0.4,5105.82,,,01-21
38,300404,博济医药,0.53,,2.74,21.58,0.2,2644.08,,,01-21
39,300414,中光防雷,0.59,,2.46,27.25,0.19,3522.2,,,01-21
40,300464,星徽精密,0.51,,2.91,19.88,0.26,3082.6,,,01-20
41,300455,康拓红外,0.5,,1.88,29.35,0.33,5237.9,,,01-15
42,300447,全信股份,0.61,,2.79,24.55,0.06,3711.73,,,01-15
