,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603299,井神股份,0.22,175.0,,9.73,,9147.62,312.9,,12-16
1,603223,恒通股份,,,,48.23,,4238.9,84.14,,06-10
2,603026,石大胜华,0.64,,,,,8965.9,,,04-28
3,603288,海天味业,1.28,,4.92,29.0,2.04,66026.66,-6.57,,01-15
4,300383,光环新网,0.79,12.86,3.52,29.38,0.85,3231.8,44.74,,01-10
5,300380,安硕信息,,,,56.04,,3535.62,121.49,,01-09
6,002723,金莱特,0.75,-6.69,2.75,33.7,0.32,4487.73,49.85,,01-09
7,300379,东方通,0.65,62.83,2.09,36.89,0.4,2930.76,83.91,,01-09
8,002722,金轮股份,0.4,110.53,2.21,20.12,0.5,4183.1,110.67,,01-09
9,002721,金一文化,0.32,166.67,2.48,28.85,-1.38,4545.5,160.81,,01-09
10,603005,晶方科技,0.5,,2.29,24.22,0.64,9074.24,78.25,,01-09
11,002714,牧原股份,0.43,-8.51,,27.27,0.42,8560.95,-9.27,,01-09
12,002719,麦趣尔,0.59,11.32,1.75,33.86,0.42,4404.48,11.19,,01-09
13,300382,斯莱克,0.8,37.93,1.88,53.93,0.47,3666.76,37.3,,01-09
14,002725,跃岭股份,0.85,19.72,,35.0,0.75,5107.82,19.73,,01-09
15,002718,友邦吊顶,1.24,,2.36,72.52,1.3,5587.73,107.15,,01-09
16,300381,溢多利,0.72,15.13,3.7,21.48,0.91,2818.42,15.1,,01-09
17,603688,石英股份,0.65,170.83,,28.65,1.0,9031.65,170.23,,01-08
18,002717,岭南园林,0.87,47.46,2.32,44.56,0.13,6122.81,73.07,,01-08
19,601225,陕西煤业,0.61,154.17,2.36,27.14,1.27,546954.56,149.27,,01-08
20,002716,金贵银业,0.77,79.07,3.03,30.03,-0.8,12766.59,103.52,,01-08
21,002715,登云股份,0.49,44.12,2.84,18.78,0.67,3407.45,45.68,,01-08
22,300378,鼎捷软件,0.63,16.67,4.05,21.52,1.23,5037.25,32.76,,01-08
23,300377,赢时胜,0.7,14.75,1.94,44.24,0.42,3153.78,22.85,,01-08
24,300375,鹏翎股份,0.92,16.46,4.29,24.05,0.97,6395.26,16.15,,01-07
25,002713,东易日盛,0.39,11.43,,16.19,1.0,3916.88,10.72,,01-07
26,300376,易事特,1.08,-46.53,4.56,25.35,1.09,8323.26,-46.49,,01-07
27,603555,贵人鸟,,,,76.1,,22238.42,180.48,,01-07
28,300367,东方网力,0.7,35.25,2.49,36.81,0.55,3581.8,57.97,,01-06
29,002711,欧浦智网,0.63,80.0,2.44,29.52,1.03,7405.45,78.04,,01-06
30,300373,扬杰科技,0.73,180.77,3.07,60.02,1.11,4528.83,225.29,,01-06
31,300366,创意信息,0.49,13.95,2.17,25.71,0.58,2473.56,14.39,,01-06
32,300371,汇中股份,0.95,75.93,1.93,62.34,0.54,3613.98,76.5,,01-06
33,300369,绿盟科技,0.88,72.55,2.28,54.38,1.52,6574.49,72.97,,01-06
34,300368,汇金股份,0.79,,,28.83,0.79,3308.11,21.46,,01-06
35,002712,思美传媒,0.96,65.52,,29.76,1.28,7023.36,70.9,,01-06
36,300365,恒华科技,0.8,-12.09,2.13,46.68,0.33,3010.74,231.32,,01-03
37,002708,光洋股份,0.68,,,23.13,-0.15,5753.3,39.9,,01-03
38,603308,应流股份,,,,16.2,0.28,9505.54,53.47,,01-03
39,300363,博腾股份,0.54,25.58,1.81,30.99,0.39,4304.96,42.39,,01-03
40,300360,炬华科技,0.49,,,26.93,0.63,3321.64,11.44,,01-02
41,002707,众信旅游,0.66,92.13,4.03,41.01,0.44,3050.69,93.5,,01-02
42,002706,良信电器,0.97,410.53,2.79,42.04,0.73,6255.51,454.35,,01-02
43,002705,新宝股份,0.46,10.24,2.59,18.51,0.6,16829.31,10.25,,12-31
44,300359,全通教育,0.62,77.14,1.24,60.94,0.39,2748.89,102.65,,12-31
45,300358,楚天科技,0.86,126.32,2.52,57.47,0.54,5317.5,135.01,,12-31
46,300357,我武生物,,,1.04,15.2,0.17,1840.59,75.07,,12-31
