,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603612,索通发展,,,,,,6074.65,,,06-28
1,603817,海峡环保,0.19,,,,,6307.84,,,02-17
2,603839,安正时尚,0.8,,,16.59,,17029.72,,,02-13
3,603637,镇海股份,0.65,,,,,4967.53,,,02-07
4,300611,美力科技,0.49,,,10.15,,3111.15,,,01-25
5,300615,欣天科技,0.69,,,,,4164.89,,,01-25
6,300612,宣亚国际,0.4,,,21.89,,2141.78,,,01-25
7,603345,安井食品,0.52,,,11.45,,8488.92,,,01-24
8,603955,大千生态,,,,,,3465.44,,,01-23
9,300608,思特奇,-0.78,,,,,-3951.76,,,01-20
10,603040,新坐标,0.7,-12.5,,14.75,,3162.52,-11.63,,01-19
11,300609,汇纳科技,0.13,,,5.67,,992.56,,,01-18
12,002841,视源股份,0.91,,,51.33,1.05,32932.06,,,01-18
13,300610,晨化股份,0.46,,,11.27,0.77,3402.6,,,01-17
14,603677,奇精机械,0.97,,,,,5831.46,,,01-16
15,002848,高斯贝尔,0.1,,,,,3727.73,,,01-16
16,603626,科森科技,0.68,,,,,10725.74,,,01-13
17,300605,恒锋信息,0.41,,,14.91,,2554.03,,,01-12
18,300601,康泰生物,0.14,,,8.43,,5137.75,,,01-12
19,603690,至纯科技,0.07,,,,,1154.58,,,01-12
20,603177,德创环保,,,,,,2152.09,-66.96,,01-10
21,002846,英联股份,0.35,,,14.25,,3143.72,,,01-10
22,603579,荣泰健康,1.65,,,,,8678.02,,,01-10
23,300606,金太阳,0.34,,,12.48,,2294.54,,,01-10
24,002847,盐津铺子,0.51,,,,,4655.71,,,01-10
25,300598,诚迈科技,0.51,,,14.75,-0.04,3031.82,,,01-09
26,603360,百傲化学,0.48,,,14.71,,4815.77,,,01-09
27,300603,立昂技术,,,,,,1341.47,,,01-09
28,300602,飞荣达,0.89,,,17.49,,6662.33,,,01-09
29,603881,数据港,0.3,,,16.64,,4812.51,,,01-09
30,603877,太平鸟,0.66,,,19.2,-0.32,27521.45,,,01-06
31,300600,瑞特股份,1.04,,,22.52,,7826.41,,,01-06
32,603228,景旺电子,0.9,,,,,32341.59,,,01-05
33,002845,同兴达,0.75,,,16.71,,5406.06,,,01-05
34,603358,华达科技,1.24,,,16.76,,14845.34,,,01-05
35,300597,吉大通信,0.2,,,9.4,,3574.1,,,01-04
36,300595,欧普康视,,,,,,6594.87,,,01-04
37,300599,雄塑科技,0.27,,,10.87,-0.06,6137.85,,,01-03
38,603038,华立股份,1.0,-0.99,,12.28,,5023.86,-0.95,,12-30
39,603337,杰克股份,0.84,-11.58,,17.24,,13091.66,-11.01,,12-29
40,603039,泛微网络,0.31,,,,,1570.56,,,12-29
41,002843,泰嘉股份,0.31,,,8.66,,3209.85,,,12-29
42,300592,华凯创意,0.1,,,,,877.51,,,12-28
43,601212,白银有色,-0.01,,,-0.27,,-3142.42,,,12-28
44,300584,海辰药业,0.37,,,,,2341.25,,,12-28
45,300596,利安隆,0.63,,,15.4,,5694.04,,,12-28
46,300590,移为通信,1.19,,,52.2,,7117.21,,,12-27
47,603886,元祖股份,0.67,,,,,12062.14,,,12-27
48,300593,新雷能,0.37,,,10.72,,3203.82,,,12-23
49,002824,和胜股份,0.38,,,9.96,,3415.4,,,12-22
50,603639,海利尔,,,,,,12221.8,,,12-22
51,300591,万里马,,,,,,1729.6,,,12-20
52,603266,天龙股份,0.57,,,,,4291.04,,,12-19
53,300585,奥联电子,0.49,,,16.13,0.57,2950.64,,,12-16
54,300587,天铁股份,0.52,,,11.36,-0.1,4024.3,,,12-16
55,002840,华统股份,0.32,,,,,4264.21,,,12-16
56,603032,德新交运,0.35,,,15.52,,3533.13,,,12-15
57,002838,道恩股份,0.66,,,11.76,,4143.99,,,12-15
58,300586,美联新材,0.42,,,10.74,,2994.2,,,12-14
59,300571,平治信息,0.46,,,14.69,0.08,1390.21,,,12-12
60,300579,数字认证,0.22,,,7.59,,1320.91,,,12-08
61,002827,高争民爆,0.31,,,,,4244.07,,,12-08
62,300581,晨曦航空,0.64,,,12.35,,2179.33,,,12-07
63,002828,贝肯能源,0.41,,,8.16,-0.42,3591.01,,,12-07
64,002833,弘亚数控,0.69,,,23.79,,6874.69,,,12-07
65,300582,英飞特,0.52,,,,,5171.13,,,12-07
66,300577,开润股份,0.9,,,26.88,,4499.92,,,12-06
67,300576,容大感光,0.34,,,9.19,,2054.03,,,12-05
68,300580,贝斯特,0.41,,,11.46,,6185.06,,,12-01
69,603559,中通国脉,0.24,,,,,1586.8,,,12-01
70,603577,汇金通,0.37,,,,,3229.77,,,12-01
71,002829,星网宇达,0.51,,,10.41,,2918.93,,,11-30
72,002830,名雕股份,0.36,,,,,1797.25,,,11-29
