,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,000540,中天金融,,,,,,99.77,,,02-02
1,600815,*ST厦工,,,1.88,,,,,,01-22
2,000563,陕国投A,,,1.65,,,1803.13,,,01-14
3,000564,供销大集,,,2.02,,,925.21,,,01-08
4,000531,穗恒运A,,,,,,576.4,,,01-04
5,600812,华北制药,,,,,,,,,12-30
6,000533,万家乐,,,,,,4291.95,,,12-28
7,000551,创元科技,,,,,,959.18,,,12-28
8,600806,*ST昆机,,,1.0,,,,,,12-28
9,600811,东方集团,,,1.32,,,,,,12-25
10,600801,华新水泥,,,,,,2379.8,,,12-16
11,000545,金浦钛业,,,,,,336.63,,,12-12
12,000547,航天发展,,,,,,277.06,,,11-24
13,000523,广州浪奇,,,,,,1793.76,,,11-05
14,600688,上海石化,,,1.09,,,,,,11-02
15,000520,长航凤凰,,,,,,,,,10-21
16,000032,深桑达A,,,,,,1845.49,,,10-17
17,000519,中兵红箭,,,2.23,,,803.29,,,10-15
18,600678,四川金顶,,,1.98,,,8948.46,,,09-30
19,600674,川投能源,,,1.32,,,2687.93,,,09-18
20,600673,东阳光科,,,1.85,,,1263.18,,,09-14
21,000029,深深房A,,,,,,,,,09-10
22,000008,神州高铁,,,4.7,,,941.12,,,08-29
23,600668,尖峰集团,,,1.58,,,1210.57,,,08-28
24,600649,城投控股,,,1.65,,,6519.12,,,08-28
25,600628,新世界,,,4.79,,,379.22,40.09,,08-28
26,600626,申达股份,,,1.74,,,1673.44,69.43,,08-28
27,600614,鹏起科技,,,2.26,,,596.51,1189.76,,08-26
28,000506,中润资源,,,,,,1730.54,,,08-25
29,600600,青岛啤酒,,,1.18,,,6891.57,,,08-24
30,000002,万科A,,,,,,8181.33,,,08-22
31,000509,华塑控股,,,,,,2116.51,,,08-22
32,000507,珠海港,,,,,,13062.65,,,08-22
33,000022,深赤湾A,,,,,,5436.0,,,08-22
34,000007,全新好,,,3.18,,,1494.92,,,08-22
35,000503,海虹控股,,,,,,1860.0,,,08-22
36,000510,金路集团,,,,,,1350.0,,,08-22
37,000025,特力A,,,,,,,,,08-22
38,600602,云赛智联,,,2.4,,,3617.0,13.34,,08-21
39,600644,乐山电力,,,1.69,,,826.31,,,08-21
40,600642,申能股份,,,1.31,,,9154.97,,,08-21
41,600666,奥瑞德,,,1.15,,,793.59,,,08-21
42,600621,华鑫股份,,,2.44,,,822.5,104.66,,08-21
43,000009,中国宝安,,,0.48,,,32323.62,,,08-18
44,000020,深华发A,,,,,,2253.5,,,08-18
45,000016,深康佳A,,,,,,8666.12,,,08-18
46,600643,爱建集团,,,3.31,,,3310.18,,,08-17
47,600630,龙头股份,,,1.88,,,1119.0,-22.14,,08-17
48,600605,汇通能源,,,1.31,,,1406.23,26.22,,08-17
49,600098,广州发展,,,1.0,,,,,,08-15
50,000505,珠江控股,,,,,,9897.4,,,08-15
51,600606,绿地控股,,,1.75,,,858.09,65.14,,08-14
52,600629,华建集团,,,1.56,,,83.25,98.15,,08-14
53,600665,天地源,,,1.51,,,2217.78,,,08-14
54,600647,同达创业,,,1.47,,,160.93,,,08-12
55,000001,平安银行,,,,,,13746.63,63.52,,08-11
56,600610,中毅达,,,2.61,,,2710.69,481.38,,08-10
57,600652,游久游戏,,,4.68,,,209.27,292.79,,08-10
58,000511,*ST烯碳,,,,,,1482.6,,,08-08
59,000004,国农科技,,,,,,2040.5,,,08-08
60,000014,沙河股份,,,,,,2085.2,,,08-08
61,600663,陆家嘴,,,1.2,,,,,,08-07
62,600650,锦江投资,,,6.11,,,854.35,,,08-07
63,600662,强生控股,,,1.98,,,387.67,,10送1,08-07
64,600603,广汇物流,,,3.97,,,722.0,55.52,,08-07
65,600620,天宸股份,,,4.07,,,854.35,326.26,,08-07
66,600640,号百控股,,,3.75,,,4592.04,,,08-07
67,600651,飞乐音响,,,4.35,,,387.67,343.67,,08-07
68,600633,浙数文化,,,3.15,,,2278.0,71.91,,08-05
69,600623,华谊集团,,,2.52,,,12541.71,,,08-05
70,600616,金枫酒业,,,3.41,,,377.27,-18.81,10派1.6送2,08-05
71,600604,市北高新,,,2.3,,,8125.92,105.01,,08-05
72,600609,金杯汽车,,,1.93,,,8584.49,9.65,,08-05
73,600634,富控互动,,,2.36,,,282.39,81.85,,08-05
74,000502,绿景控股,,,,,,5359.06,,,08-04
75,000023,深天地A,,,,,,1767.05,,,08-04
76,000501,鄂武商A,,,,,,5875.61,,,08-04
77,600639,浦东金桥,,,1.79,,,,,,08-03
78,600657,信达地产,,,2.69,,,4461.7,,,08-03
79,600658,电子城,,,2.27,,,839.0,,,08-03
80,600624,复旦复华,,,2.83,,,1028.0,179.42,,07-31
81,600613,神奇制药,,,3.66,,,1622.4,82.4,,07-31
82,600655,豫园股份,,,4.82,,,2802.47,179.81,,07-31
83,600622,嘉宝集团,,,2.49,,,2021.67,51.93,,07-31
84,000516,国际医学,,,2.07,,,201.53,,,07-30
85,600654,*ST中安,,,3.51,,,987.7,595.74,,07-29
86,600645,中源协和,,,2.97,,,665.21,,10送2,07-29
87,600664,哈药股份,,,2.04,,,6504.9,,,07-29
88,600608,*ST沪科,,,1.91,,,654.88,143.99,,07-27
89,600601,方正科技,,,2.76,,,405.85,356.61,,07-27
90,600638,新黄浦,,,3.38,,,3476.52,,,07-27
91,600618,氯碱化工,,,2.86,,,9534.06,36.63,,07-24
92,600612,老凤祥,,,2.72,,,1224.6,182.14,,07-24
93,600667,太极实业,,,2.42,,,1151.0,,,07-24
94,600617,国新能源,,,1.76,,,2621.45,34.04,,07-22
95,600637,东方明珠,,,1.81,,,4380.51,,,07-22
96,600661,新南洋,,,2.94,,,876.24,,,07-22
97,600619,海立股份,,,2.88,,,3211.22,40.71,,07-20
98,600636,*ST爱富,,,2.14,,,777.16,,,07-20
99,600615,丰华股份,,,2.8,,,1150.75,81.61,,07-20
100,600611,大众交通,,,2.75,,,2723.68,1065.49,,07-15
101,600653,申华控股,,,5.92,,,632.38,61.11,,07-13
102,600635,大众公用,,,3.51,,,355.11,,,07-13
103,600648,外高桥,,,12.73,,,4201.13,,,07-11
104,600641,万业企业,,,1.9,,,3489.74,,,07-08
105,600660,福耀玻璃,,,1.6,,,,,,07-08
106,600671,天目药业,,,3.22,,,342.21,,,07-05
107,600819,耀皮玻璃,,,,,,10864.4,,,06-30
108,600835,上海机电,,,,,,5443.0,,,06-30
109,600829,人民同泰,,,2.96,,,1267.54,,,06-30
110,600850,华东电脑,,,,,,,,,06-30
111,000513,丽珠集团,,,,,,3591.73,,,06-30
112,600828,茂业商业,,,1.25,,,,,,06-30
113,000030,富奥股份,,,,,,5578.0,,,06-30
