,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002168,深圳惠程,,,,,,-17.5,,,08-30
1,601009,南京银行,,,,,,7401.52,,,04-01
2,000429,粤高速A,,,3.19,12.21,0.25,29285.26,98.8,10派1.5,03-11
3,600507,方大特钢,,,1.52,3.72,,416.81,,,09-11
4,601377,兴业证券,,,,,,6503.27,-22.59,,08-05
5,600576,万家文化,,,1.03,,,1571.04,,,01-22
6,600408,安泰集团,,,1.85,21.06,,2821.67,,,01-15
7,600562,国睿科技,,,1.55,,0.21,1883.05,,,01-08
8,600537,亿晶光电,,,1.23,,,1145.89,,,01-03
9,600538,国发股份,,,1.51,,0.19,1621.8,,,12-24
10,600012,皖通高速,,,1.83,,0.16,14443.41,,,12-18
11,600030,中信证券,0.19,,1.53,21.26,,38802.31,,,12-13
12,600512,腾达建设,,,1.17,19.54,0.45,2255.19,,,12-06
13,600458,时代新材,,,1.35,,,1191.29,,,11-29
14,600563,法拉电子,,,1.46,,0.09,2742.71,,,11-20
15,600525,长园集团,,,1.07,26.51,0.37,1329.22,,,11-13
16,600511,国药股份,,,1.53,,,1015.87,,,11-07
17,600353,旭光股份,,,2.14,12.0,0.2,1301.43,,,10-31
18,600549,厦门钨业,,,1.96,,1.4,2878.67,,,10-21
19,600552,凯盛科技,,,,,,768.55,,,10-18
20,600571,信雅达,,,21.79,,,884.11,,,10-14
21,600532,宏达矿业,,,1.23,,,905.72,,,10-11
22,600559,老白干酒,,,1.41,,,773.03,,,10-09
23,600522,中天科技,,,1.16,27.81,0.23,4130.76,,,09-27
24,000875,吉电股份,,,2.07,10.31,,13686.0,,,09-21
25,600050,中国联通,,,,1.2,,3979.05,,,09-17
26,600499,科达洁能,,,1.04,,,1118.62,,,09-13
27,600587,新华医疗,,,1.44,,,818.74,,,09-09
28,600351,亚宝药业,,,1.03,8.58,,679.44,,,09-06
29,600557,康缘药业,,,4.06,16.9,,556.88,,,09-02
30,600560,金自天正,,,1.79,18.6,,1544.99,,,08-30
31,600371,万向德农,,,1.47,12.33,,1130.39,,,08-26
32,600577,精达股份,,,,,,1012.75,,,08-23
33,600551,时代出版,,,1.31,,,596.21,,,08-16
34,600516,方大炭素,,,1.67,,,2660.74,,,08-12
35,600597,光明乳业,,,1.23,14.0,0.33,7691.61,,,08-09
36,600535,天士力,,,,,,5882.71,,,08-05
37,600581,八一钢铁,,,,,,1148.66,94.71,,07-29
38,600586,金晶科技,,,1.53,,,2420.48,,,07-26
39,600579,天华院,,,1.62,12.7,,2535.3,,,07-23
40,600592,龙溪股份,,,1.67,,,2121.3,,,07-18
41,600515,海航基础,,,1.42,0.11,,2237.04,,,07-15
42,600531,豫光金铅,,,,,,1851.44,,,07-11
43,600565,迪马股份,,,,,,2961.09,,,07-08
44,600526,菲达环保,,,,,,1336.51,43.87,,07-04
45,600416,湘电股份,,,1.51,,,1497.07,,,07-01
46,600561,江西长运,,,1.4,16.59,,1488.47,,,06-27
47,600593,大连圣亚,,,1.25,29.86,,2106.03,,,06-24
48,600503,华丽家族,,,1.03,,,2160.89,,,06-20
49,600590,泰豪科技,,,1.08,,,748.92,,,06-17
50,600397,安源煤业,,,1.38,,,3810.74,,,06-13
51,600595,中孚实业,,,1.6,,,1896.09,,,06-10
52,600327,大东方,,,1.38,,0.68,2766.06,,,06-06
53,600426,华鲁恒升,,,,,,4719.72,,,06-03
54,600510,黑牡丹,,,1.88,,,3933.42,,,05-30
55,600355,精伦电子,,,1.65,36.46,0.7,3705.4,7.82,,05-27
56,600580,卧龙电气,,,1.06,27.95,0.16,2335.73,,,05-18
57,600496,精工钢构,,,1.36,,,1657.65,,,05-17
58,600529,山东药玻,,,3.03,22.63,,2815.76,,,05-15
59,600505,西昌电力,,,1.86,15.37,,2919.11,,,05-11
60,600026,中远海能,,,1.63,,0.34,16029.66,,,05-09
61,600415,小商品城,,,2.26,11.43,1.02,2946.04,,,04-27
62,600536,中国软件,,,65.71,73.36,,1254.81,,,04-22
63,601857,中国石油,,,,,,2700100.0,76.77,,04-22
64,600582,天地科技,,,,,,1962.17,,,04-19
65,600578,京能电力,,,,,,12983.52,,,04-16
66,600486,扬农化工,,,1.44,28.24,,2587.61,,,04-10
67,600428,中远海特,,,1.34,16.44,,3547.9,,,03-29
