,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002733,雄韬股份,,,,,,1999.5,27.65,,11-13
1,300567,精测电子,,,,,,261.2,,,11-05
2,603767,中马传动,,,,,,2031.94,,,10-16
3,601579,会稽山,0.2,,2.53,7.45,,5887.43,,,08-28
4,600959,江苏有线,0.07,,,2.12,,16111.78,,,07-31
5,002831,裕同科技,,,,,,3010.89,,,07-20
6,300339,润和软件,0.21,,4.55,4.76,0.02,1234.22,,,07-17
7,002691,冀凯股份,0.11,,,4.61,0.17,1623.94,,,07-13
8,603111,康尼机电,0.14,,,10.06,-0.01,2941.89,,,07-13
9,002687,乔治白,0.13,,4.45,2.75,-0.34,967.14,,,07-12
10,300336,新文化,0.25,,3.21,8.03,-0.49,1784.92,,,07-09
11,300335,迪森股份,0.14,,2.56,5.49,-0.1,1432.87,,,07-09
12,300334,津膜科技,0.09,,2.46,3.7,-0.53,764.52,,,07-04
13,300593,新雷能,,,,,,-108.0,,,07-02
14,002686,亿利达,0.2,,3.88,5.06,-0.01,1357.94,,,07-02
15,300333,兆日科技,0.28,,2.92,9.99,0.26,2334.25,,,06-27
16,300332,天壕环境,0.04,,1.97,1.97,-0.02,923.3,,,06-27
17,300331,苏大维格,0.12,,3.82,3.18,-0.25,555.82,,,06-27
18,300328,宜安科技,0.1,,2.82,3.61,0.06,839.11,,,06-18
19,300330,华虹计通,0.11,,2.39,4.63,-0.65,648.29,,,06-18
20,300329,海伦钢琴,0.15,,3.39,4.43,-0.28,737.15,,,06-18
21,300327,中颖电子,0.07,,2.47,2.74,-0.31,640.48,,,06-12
22,300326,凯利泰,0.31,,2.77,11.98,0.08,1197.52,,,06-12
23,002685,华东重机,0.0,,1.88,0.1,-0.02,29.49,,,06-11
24,002684,猛狮科技,0.26,,6.31,4.29,0.27,1053.31,,,06-11
25,002683,宏大爆破,0.13,,2.51,5.1,0.07,2121.0,,,06-11
26,002682,龙洲股份,0.14,,4.74,3.05,0.37,1712.82,,,06-11
27,300322,硕贝德,0.12,,2.23,5.47,-0.16,831.69,,,06-07
28,300324,旋极信息,0.18,,3.98,4.61,-0.95,752.63,,,06-07
29,002680,长生生物,0.47,,4.0,11.68,0.46,2822.35,,,06-04
30,002679,福建金森,-0.05,,1.93,-2.33,-0.72,-469.08,,,06-04
31,002681,奋达科技,0.12,,3.79,3.3,0.08,1385.81,,,06-04
32,300323,华灿光电,0.18,,4.82,3.88,0.34,2752.08,,,05-31
33,300320,海达股份,0.23,,5.37,4.28,-0.71,1167.48,,,05-31
34,300325,德威新材,0.16,,5.26,3.04,-0.08,963.32,,,05-31
35,002678,珠江钢琴,0.12,,2.14,6.49,0.0,4989.14,,,05-29
36,002675,东诚药业,0.43,,3.78,11.28,0.04,3503.49,,,05-24
37,002677,浙江美大,0.15,,2.33,6.43,-0.25,2178.13,,,05-24
38,002676,顺威股份,0.2,,3.54,5.83,-0.31,2405.81,,,05-24
39,300321,同大股份,0.27,,7.42,3.75,-1.36,910.31,,,05-22
40,300319,麦捷科技,0.12,,2.95,4.24,-0.27,489.16,,,05-22
41,300316,晶盛机电,0.82,,6.19,,-0.15,8179.26,,,05-10
42,300315,掌趣科技,0.09,,1.91,4.74,0.03,1088.01,,,05-10
43,300317,珈伟股份,0.17,,2.3,,-0.42,1800.14,,,05-10
44,300314,戴维医疗,0.34,,3.08,,0.14,2039.59,,,05-07
45,300312,邦讯技术,0.23,,3.74,6.28,-1.3,1825.5,,,05-07
46,002674,兴业科技,0.14,,3.41,4.19,-0.09,2517.25,,,05-04
47,002673,西部证券,0.06,,3.24,1.78,0.02,5703.59,,,05-02
48,603123,翠微股份,,,,,,3788.7,,,05-02
49,600004,白云机场,0.16,8.28,6.13,2.59,0.23,18021.56,8.17,,04-28
50,600782,新钢股份,-0.19,-290.0,5.99,-3.07,-0.24,-26029.9,-290.44,,04-28
51,600053,九鼎投资,0.0,350.0,1.8,0.1,0.24,78.83,497.38,,04-28
52,600801,华新水泥,0.01,-98.0,8.3,0.06,0.17,433.4,-95.71,,04-28
53,600121,*ST郑煤,0.02,-41.21,3.15,0.61,-0.36,1160.52,-41.09,,04-28
54,600516,方大炭素,0.06,-58.8,2.78,2.02,-0.22,7097.01,-58.82,,04-28
55,600196,复星医药,0.18,38.46,5.24,3.39,0.01,33522.51,32.77,,04-28
56,600250,南纺股份,-0.15,-2080.52,0.53,-25.38,-0.77,-3946.28,-2092.37,,04-28
57,600681,百川能源,0.0,-92.86,0.07,0.09,-0.01,1.55,-94.84,,04-28
58,600345,长江通信,0.05,-66.67,5.77,0.92,-0.35,1047.45,-64.09,,04-28
59,603993,洛阳钼业,0.06,20.0,,,,28143.55,5.5,,04-28
60,600837,海通证券,0.13,-7.14,5.63,2.3,1.17,104909.25,-11.48,,04-28
61,600500,中化国际,0.12,-47.83,4.45,2.64,-1.58,16843.08,-49.14,,04-28
62,600129,太极集团,0.08,-29.6,2.7,2.91,0.01,3352.88,-29.56,,04-28
63,600523,贵航股份,,,5.41,0.01,0.1,8.46,-99.84,,04-28
64,600895,张江高科,0.03,50.0,4.07,0.76,-0.14,4782.43,52.18,,04-28
65,600186,莲花健康,-0.06,55.56,0.75,-7.1,0.0,-5900.43,54.52,,04-28
66,600580,卧龙电气,0.01,-95.49,3.6,0.2,0.09,487.61,-92.8,,04-28
67,600597,光明乳业,0.03,19.23,2.37,1.31,0.13,3238.42,20.62,,04-28
68,601118,海南橡胶,0.03,-46.57,2.34,1.11,0.11,10113.12,-46.48,,04-28
69,600634,富控互动,0.0,-106.5,1.64,0.08,-0.26,11.46,-107.63,,04-28
70,601390,中国中铁,0.04,-50.0,3.43,1.26,-0.42,91544.3,-45.12,,04-28
71,600671,天目药业,-0.06,-868.42,1.32,-4.33,-0.17,-711.79,-864.69,,04-28
72,601618,中国中冶,0.05,-16.67,2.57,1.78,-0.48,86338.7,-27.82,,04-28
73,600297,广汇汽车,0.01,-49.74,2.39,0.42,0.03,344.04,-49.69,,04-28
74,600688,上海石化,-0.03,-120.47,2.49,-1.05,-0.38,-19012.2,-120.86,,04-28
75,600354,敦煌种业,-0.26,-358.0,5.2,-4.85,0.07,-5259.79,-357.81,,04-28
76,600844,*ST丹科,0.2,-1020.47,1.46,14.59,0.43,15406.36,-1021.01,,04-28
77,600867,通化东宝,0.06,0.0,2.7,2.1,0.02,4340.24,25.21,,04-28
78,600173,卧龙地产,0.03,-47.37,1.94,1.52,-0.12,2174.64,-47.83,,04-28
79,600979,广安爱众,0.0,-44.0,1.56,0.09,0.05,82.97,13.97,,04-28
80,600191,华资实业,0.01,-83.33,3.55,0.21,-0.06,362.6,-87.3,,04-28
81,601088,中国神华,0.56,6.84,11.83,4.5,0.86,1118300.0,6.84,,04-28
82,601163,三角轮胎,,,,,,12575.84,,,04-28
83,600639,浦东金桥,0.09,-47.6,4.43,1.94,-0.06,7923.64,-47.6,,04-28
84,601238,广汽集团,0.15,,5.06,3.05,-0.05,90196.11,-37.38,,04-28
85,600266,北京城建,0.12,-34.19,6.75,1.72,-0.08,10255.37,-34.17,,04-28
86,600360,华微电子,0.01,-50.0,2.45,0.44,0.03,722.27,-32.94,,04-28
87,600019,宝钢股份,0.07,-61.11,6.15,1.14,0.4,122123.54,-60.22,,04-28
88,600100,同方股份,0.02,-63.87,4.32,0.52,-0.29,4460.22,-27.66,,04-28
89,600493,凤竹纺织,-0.09,-388.15,2.14,-4.34,0.04,-2577.38,-561.11,,04-28
90,600889,南京化纤,-0.08,-260.0,2.85,-2.75,0.1,-2443.69,-260.6,,04-28
91,600556,ST慧球,-0.0,57.14,-0.11,,0.02,-86.62,58.94,,04-28
92,600984,建设机械,-0.11,37.5,1.89,-5.82,-0.19,-1599.38,33.8,,04-28
93,600624,复旦复华,0.01,14.53,1.66,0.81,0.07,461.84,14.48,,04-28
94,600251,冠农股份,0.22,8.14,2.92,7.79,0.24,7931.81,8.13,,04-28
95,601318,中国平安,0.77,1.32,17.76,4.5,13.82,606400.0,4.3,,04-28
96,601699,潞安环能,0.41,-50.0,7.09,6.08,0.49,94871.44,0.68,,04-28
97,600308,华泰股份,0.02,-57.45,5.35,0.37,0.11,2291.33,-25.33,,04-28
