,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600609,金杯汽车,,,,,,1146.1,,,06-05
1,600604,市北高新,,,1.0,,,1964.03,,,03-26
2,600606,绿地控股,,,,,,336.98,,,03-25
3,600608,*ST沪科,,,,,,72.99,,,03-18
4,600605,汇通能源,,,,,,446.82,,,03-15
5,600603,广汇物流,,,,,,40.83,,,01-10
6,600602,云赛智联,,,1.46,,,2515.0,19.1,,07-29
7,600654,*ST中安,,,1.2,,,34.04,171.23,,07-29
8,600601,方正科技,,,1.57,,,30.91,45.94,,07-29
9,600653,申华控股,,,1.72,,,27.77,351.79,,07-29
10,600652,游久游戏,,,1.54,,,2.92,153.77,,07-29
11,600651,飞乐音响,,,1.37,,,25.13,66.4,,07-29
12,600655,豫园股份,,,1.72,,,398.52,7.8,,07-29
