,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002168,深圳惠程,,,,,,243.78,-1492.79,,08-30
1,601857,中国石油,,,,,,4697228.0,73.96,,03-29
2,600982,宁波热电,,,,,,1599.45,,,06-16
3,600986,科达股份,,,,,,3184.2,,,04-26
4,600572,康恩贝,,,,,,3593.28,,,03-24
5,600438,通威股份,,,1.08,21.38,,2532.31,,,02-11
6,600493,凤竹纺织,,,1.01,13.81,0.18,1496.3,,,02-06
7,600387,海越股份,,,1.43,,0.45,,,,01-16
8,000100,TCL集团,,,0.65,,,23812.0,,,01-05
9,600249,两面针,,,3.14,13.23,,3730.96,,,12-29
10,600354,敦煌种业,,,1.22,12.91,,2312.95,,,12-24
11,600540,*ST新赛,,,1.6,28.18,1.42,4986.26,,,12-16
12,600340,华夏幸福,,,1.73,26.16,0.16,1441.84,,,12-10
13,600446,金证股份,,,1.02,61.65,,2577.36,,,12-04
14,601939,建设银行,,,,,,754000.0,,,12-01
15,600570,恒生电子,,,1.12,,,2273.65,,,11-26
16,600476,湘邮科技,,,1.66,10.72,0.05,832.27,,,11-20
17,600545,新疆城建,,,1.53,30.0,-0.13,2323.71,,,11-13
18,600527,江南高纤,,,1.66,26.88,2.95,1190.9,,,11-07
19,600900,长江电力,,,,,,50506.83,,,10-28
20,600477,杭萧钢构,,,0.94,36.03,,1142.57,,,10-21
21,600184,光电股份,,,1.55,21.61,,1022.73,,,10-17
22,600021,上海电力,,,3.23,9.1,0.46,41351.11,,,10-09
23,600469,风神股份,,,1.62,3.73,,1082.19,,,09-24
24,600406,国电南瑞,,,,,,1337.0,,,09-19
25,600517,置信电气,,,1.14,28.48,1.0,1555.89,,,09-15
26,600403,*ST大有,,,1.14,79.51,0.43,1438.34,,,09-12
27,600507,方大特钢,,,1.79,16.27,0.62,2022.16,385.15,,09-11
28,600401,*ST海润,,,1.11,15.95,,781.44,,,09-05
29,600478,科力远,,,1.01,9.7,,781.99,,,08-29
30,600429,三元股份,,,1.04,11.68,0.17,5784.95,,,08-26
31,600015,华夏银行,,,,,,38356.07,,,08-22
32,600432,*ST吉恩,,,1.04,,,3441.91,,,08-18
33,600462,九有股份,,,1.44,17.65,0.56,3180.61,,,08-15
34,600449,宁夏建材,,,1.51,,,2875.76,,,08-11
35,600547,山东黄金,,,1.54,,0.49,2663.2,,,08-08
36,601377,兴业证券,,,,,,20068.63,208.59,,08-05
37,600487,亨通光电,,,1.5,,,4434.8,,,08-04
38,600348,阳泉煤业,,,1.63,,0.37,10479.91,,,08-01
39,600480,凌云股份,,,1.01,10.66,,1926.42,,,07-28
40,600489,中金黄金,,,1.59,,,3044.55,,,07-25
41,600020,中原高速,,,1.54,,,8360.77,,,07-21
42,600485,信威集团,,,1.08,52.87,,1643.6,,,07-18
43,600352,浙江龙盛,,,1.31,12.65,,3564.64,,,07-14
44,600546,山煤国际,,,1.49,16.73,,981.86,,,07-11
45,600029,南方航空,,,2.48,6.61,,53565.6,,,07-07
46,600425,*ST青松,,,1.49,12.94,,2308.08,,,07-04
47,600475,华光股份,,,1.24,,,1743.78,,,07-01
48,600423,*ST柳化,,,1.19,22.73,,2495.51,,,06-27
49,600271,航天信息,,,1.65,,1.33,15137.59,,,06-23
50,600439,瑞贝卡,,,1.3,,0.03,2205.12,,,06-20
51,600435,北方导航,,,1.54,,,1217.41,,,06-16
52,600031,三一重工,,,0.94,,,5995.07,,,06-13
53,600273,嘉化能源,,,1.03,20.12,,2493.39,,,06-09
54,600490,鹏欣资源,,,1.61,21.36,-0.07,1181.5,,,06-06
55,600433,冠豪高新,,,1.24,,,1883.65,,,06-02
56,600409,三友化工,,,1.38,,0.26,7759.3,,,05-30
57,600436,片仔癀,,,1.41,,0.13,5005.31,,,05-27
58,600251,冠农股份,,,1.46,,,1403.21,,,05-21
59,600584,长电科技,,,1.04,42.87,,3389.74,,,05-14
60,600392,盛和资源,,,1.23,38.32,-0.03,1041.07,,,04-30
61,600459,贵研铂业,,,1.63,20.82,-0.14,1419.85,,,04-16
62,600004,白云机场,,,1.5,,0.33,19675.77,,,04-09
63,600481,双良节能,,,1.01,,,6564.48,,,04-02
64,600502,安徽水利,,,1.37,19.29,,827.46,,,03-26
65,600343,航天动力,,,1.05,10.39,-0.15,1315.53,,,03-19
66,600375,华菱星马,,,1.55,,,1237.64,,,03-12
67,600575,皖江物流,,,1.43,20.3,,1529.64,,,03-08
68,600039,四川路桥,,,2.09,,,8797.12,,,03-05
69,600513,联环药业,,,1.38,11.72,0.13,726.41,,,02-27
70,600460,士兰微,,,1.34,27.58,,6818.98,,,02-19
71,600370,三房巷,,,1.78,17.56,0.69,3556.54,,,02-14
72,600521,华海药业,,,1.26,,,3434.88,,,02-12
73,600573,惠泉啤酒,,,1.95,20.99,0.76,8534.23,,,01-28
74,600576,万家文化,,,1.19,25.05,-0.16,3899.05,148.18,,01-22
75,600408,安泰集团,,,2.35,22.73,0.43,3825.61,35.58,,01-15
76,600562,国睿科技,,,1.53,,0.23,1904.21,1.12,,01-08
77,600537,亿晶光电,,,1.1,,0.18,3538.55,208.8,,01-03
78,002673,西部证券,,,,,,,,,12-25
79,600538,国发股份,,,1.59,,0.29,1560.8,-3.76,,12-24
80,002500,山西证券,,,,,,6066.67,,,12-18
81,600012,皖通高速,,,1.93,6.8,0.18,17970.22,24.42,,12-18
82,600030,中信证券,0.54,184.21,1.93,31.54,,112949.89,191.09,,12-13
83,600512,腾达建设,,,1.2,20.68,0.25,2448.74,8.58,,12-06
84,600458,时代新材,,,1.1,,,1144.23,-3.95,,11-29
85,600563,法拉电子,,,1.82,,0.52,3651.02,33.12,,11-20
86,600525,长园集团,,,1.26,30.01,0.3,2429.51,82.78,,11-13
87,600511,国药股份,,,1.53,,0.55,1398.89,37.7,,11-07
88,600353,旭光股份,,,2.24,16.0,0.18,1895.54,45.65,,10-31
89,600549,厦门钨业,,,2.04,,1.82,3560.12,23.67,,10-21
90,600552,凯盛科技,,,1.47,,0.19,1169.48,52.17,,10-18
91,600571,信雅达,,,1.02,,,1930.53,118.36,,10-14
92,600532,宏达矿业,,,1.49,19.29,,1313.12,44.98,,10-11
93,600559,老白干酒,,,1.45,14.24,,2169.65,180.67,,10-09
94,600522,中天科技,,,1.1,19.96,0.65,3544.19,-14.2,,09-27
95,000875,吉电股份,,,2.18,9.6,,13127.34,-4.08,,09-21
96,600050,中国联通,,,1.08,11.1,,155274.79,3802.31,,09-17
97,600499,科达洁能,,,1.32,,0.25,1758.23,57.18,,09-13
98,600587,新华医疗,,,1.73,,0.06,1175.26,43.55,,09-09
99,600351,亚宝药业,,,1.06,18.51,,1452.65,113.8,,09-06
100,600557,康缘药业,,,1.07,,,1142.12,105.09,,09-02
101,600560,金自天正,,,1.94,,,1692.1,9.52,,08-30
102,600371,万向德农,,,1.61,14.94,,1425.96,26.15,,08-26
103,600577,精达股份,,,1.27,,,1448.89,43.06,,08-23
104,600551,时代出版,,,1.48,,-0.07,826.25,38.58,,08-16
105,600516,方大炭素,,,1.87,,-0.13,2460.63,-7.52,,08-12
106,600597,光明乳业,,,1.01,16.0,0.54,10423.52,35.52,,08-09
107,600535,天士力,,,1.07,,0.75,7953.04,35.19,,08-05
108,600581,八一钢铁,,,1.64,,,12098.95,953.31,,07-29
109,600586,金晶科技,,,1.64,31.06,0.13,3468.5,43.3,,07-26
110,600579,天华院,,,1.55,12.28,-0.14,2542.42,0.28,,07-23
111,600592,龙溪股份,,,1.71,14.45,,2349.84,10.77,,07-18
112,600515,海航基础,,,2.24,11.0,,2214.28,-1.02,,07-15
113,600531,豫光金铅,,,1.86,19.72,0.12,2590.57,39.92,,07-11
114,600565,迪马股份,,,1.1,,,3329.23,12.43,,07-08
115,600526,菲达环保,,,1.25,,-0.29,1470.83,10.05,,07-04
116,600416,湘电股份,,,1.58,18.64,0.21,3728.51,149.05,,07-01
117,600561,江西长运,,,1.54,18.79,,1819.67,22.25,,06-27
118,600593,大连圣亚,,,1.11,26.17,,2260.44,7.33,,06-24
119,600503,华丽家族,,,1.28,,0.26,2486.36,15.06,,06-20
120,600590,泰豪科技,,,1.23,,,1348.15,80.01,,06-17
121,600397,安源煤业,,,1.58,,0.38,4390.0,15.2,,06-13
122,600595,中孚实业,,,2.1,,1.23,3051.37,60.93,,06-10
123,600327,大东方,,,1.25,,0.19,2868.15,3.69,,06-06
124,600426,华鲁恒升,,,1.57,20.56,0.02,3438.21,-27.15,,06-03
125,600510,黑牡丹,,,2.25,26.7,0.3,6268.15,59.36,,05-30
126,600355,精伦电子,,,1.1,53.69,0.6,6064.89,63.68,,05-27
127,600580,卧龙电气,,,1.18,29.09,,2665.17,14.1,,05-18
128,600496,精工钢构,,,1.39,11.94,0.14,1267.64,-23.53,,05-17
129,600529,山东药玻,,,3.61,18.11,,3045.26,8.15,,05-15
130,600505,西昌电力,,,2.22,11.78,0.54,2560.18,-12.3,,05-11
131,600026,中远海能,,,1.68,,0.35,31180.19,94.52,,05-09
132,600415,小商品城,,,2.38,12.96,0.13,3316.93,12.59,,04-27
133,600536,中国软件,,,1.12,67.81,,2022.28,61.16,,04-22
134,600582,天地科技,,,1.48,35.36,-0.01,2412.17,22.93,,04-19
135,600578,京能电力,,,1.52,17.05,0.72,10231.07,-21.2,,04-16
136,600486,扬农化工,,,1.49,21.15,0.79,2391.16,-7.59,,04-10
137,600466,蓝光发展,,,1.51,24.81,0.06,2610.57,-9.89,,04-03
138,600428,中远海特,,,1.41,23.45,,8178.74,130.52,,03-29
139,601009,南京银行,,,,,,9460.99,27.83,,03-26
140,600456,宝钛股份,,,1.59,,0.44,4009.23,90.81,,03-26
141,600036,招商银行,,,0.88,28.28,,80381.2,66.84,,03-19
142,600598,北大荒,,,1.36,18.48,0.08,31448.39,-7.32,,03-12
143,600533,栖霞建设,,,1.48,17.83,-0.41,2812.05,26.12,,03-12
144,600350,山东高速,,,1.56,8.2,0.21,37519.68,-0.29,,02-26
145,600585,海螺水泥,,,2.07,5.68,0.48,11377.19,94.19,,02-02
146,600373,中文传媒,,,1.49,10.29,0.67,1169.93,49.5,,01-31
147,600509,天富能源,,,1.73,18.28,0.98,3767.66,-6.29,,01-24
148,600583,海油工程,,,1.95,31.98,0.84,8342.43,5.61,,01-17
149,600379,宝光股份,,,0.99,6.2,0.04,628.38,84.49,,12-20
150,600362,江西铜业,,,1.6,2.81,0.28,10865.96,369.34,,12-19
151,600520,中发科技,,,1.05,36.71,0.41,1655.48,80.02,,12-17
152,600506,香梨股份,,,1.68,14.96,,2734.51,82.63,,12-11
153,600523,贵航股份,,,1.51,16.19,0.4,3701.8,29.12,,12-08
154,600331,宏达股份,,,2.71,17.68,-0.53,3657.1,-15.2,,12-04
155,600548,深高速,,,2.13,7.96,0.21,34363.8,6.19,,11-29
156,600391,航发科技,,,1.57,20.75,0.32,3017.6,122.59,,11-27
157,600567,山鹰纸业,,,1.24,15.35,0.16,1806.71,62.38,,11-20
158,600011,华能国际,,,3.99,,1.21,264422.69,31.28,,11-13
159,601818,光大银行,,,,,,,,,11-06
160,600361,华联综超,,,1.34,37.59,1.68,3154.23,222.34,,11-02
161,601166,兴业银行,,,,,,36689.66,17.19,,09-17
162,600448,华纺股份,,,1.69,12.58,-0.07,3399.1,35.29,,08-29
163,600508,上海能源,,,1.61,22.49,0.29,10313.89,44.9,,08-01
164,600596,新安股份,,,2.06,,0.78,2310.59,-4.73,,07-31
165,600322,天房发展,,,3.31,6.2,0.26,6440.43,-2.09,,07-31
166,600569,安阳钢铁,,,2.2,20.02,1.33,49226.3,56.47,,07-30
167,600566,济川药业,,,2.11,10.96,0.36,1454.68,-14.54,,07-28
168,600539,狮头股份,,,1.39,13.59,,3073.0,14.43,,07-28
169,600346,恒力股份,,,1.86,,0.13,1380.51,15.11,,07-27
170,600599,熊猫金控,,,1.55,14.93,0.03,1185.47,12.95,,07-27
171,600519,贵州茅台,,,2.4,68.86,2.4,25110.36,16.42,,07-26
172,600418,江淮汽车,,,1.57,41.89,0.91,8165.49,218.6,,07-24
173,600556,ST慧球,,,1.62,13.7,0.2,1013.32,149.21,,07-24
174,600498,烽火通信,,,1.48,21.08,-0.35,11107.14,21.26,,07-24
175,600385,山东金泰,,,2.74,,0.45,1427.12,-13.45,10派0.5送5转5,07-18
176,600028,中国石化,,,1.44,,0.41,1615400.0,185.15,,07-12
177,600372,中航电子,,,1.79,,1.07,9038.53,6.17,,06-16
178,600530,交大昂立,,,1.2,22.74,0.19,5061.59,-15.25,,06-14
179,600419,天润乳业,,,1.86,15.01,0.29,1276.58,27.31,,06-13
180,600468,百利电气,,,1.72,13.39,0.57,1724.41,31.63,,06-09
181,600589,广东榕泰,,,1.25,17.73,0.19,2642.4,-27.9,,06-07
182,600783,鲁信创投,,,1.51,-10.2,0.07,-3281.01,-243.57,,06-02
183,600380,健康元,,,1.28,71.42,0.85,16479.06,209.46,,06-01
184,600329,中新药业,,,3.22,7.89,-0.04,8647.4,-24.46,,06-01
185,600311,荣华实业,,,1.81,19.86,0.46,4404.24,13.61,,05-25
186,600528,中铁工业,,,2.77,23.83,,17698.93,31.44,10派3,05-23
187,600501,航天晨光,,,1.91,,,2682.92,40.7,,05-22
188,600488,天药股份,,,2.04,37.0,0.39,6558.35,22.86,,05-22
189,600321,国栋建设,,,1.38,,0.18,6352.21,10.96,,05-19
190,600588,用友网络,,,1.12,43.5,0.64,4004.29,14.19,,05-12
191,600568,中珠医疗,,,2.18,16.57,,1260.6,13.83,,05-12
192,000600,建投能源,,,1.98,1.23,-0.13,373.72,-80.47,,04-30
193,000656,金科股份,,,1.41,0.82,-0.1,237.03,-111.44,,04-30
194,601336,新华保险,,,,,,400.0,33.33,,04-30
195,000008,神州高铁,,,1.42,19.0,0.12,1809.15,-3.81,,04-30
196,600855,航天长峰,,,1.12,-3.53,0.01,-633.5,-89.26,,04-30
197,601318,中国平安,,,,,,128200.0,139.05,,04-30
198,000921,海信科龙,,,4.17,-15.2,1.1,-67841.88,-205.41,,04-30
199,601601,中国太保,,,,,,27127.0,35.04,,04-30
200,002181,粤传媒,,,2.2,,0.04,695.87,,,04-30
201,600734,实达集团,,,1.51,,-0.19,-25211.22,358.62,,04-30
202,000048,康达尔,,,0.61,-83.75,0.27,-32948.47,-654.55,,04-30
203,600000,浦发银行,0.4,-9.57,3.09,13.75,0.7,95790.47,3.37,,04-28
204,000544,中原环保,,,1.04,1.89,0.86,535.73,-106.71,,04-28
205,600848,上海临港,,,0.45,-74.14,0.16,-21563.33,53.85,,04-28
206,600759,洲际油气,,,-2.29,,-0.01,-6833.22,-54.98,,04-28
207,600818,中路股份,,,-1.29,,0.05,-24666.91,-27.35,,04-28
208,000536,华映科技,,,-0.29,,-0.03,-4450.65,-12.73,,04-28
209,600313,农发种业,,,2.97,7.8,-0.45,2027.0,-32.38,,04-28
210,600800,天津磁卡,,,2.95,10.46,-0.94,11088.64,-24.8,10派0.25送1转4,04-28
211,600082,海泰发展,,,2.71,-20.52,0.07,-9205.83,-4112.45,,04-28
212,000546,金圆股份,,,-0.57,,0.01,-13289.8,-21.33,,04-28
213,600845,宝信软件,,,0.81,-42.83,0.12,-11620.19,-36.44,,04-28
214,000820,神雾节能,,,2.34,5.85,1.44,2744.09,-40.87,,04-28
215,000058,深赛格,,,2.32,0.84,-0.07,1320.79,-90.98,,04-28
216,600698,湖南天雁,,,2.79,,-0.33,-27243.3,-1481.15,,04-27
217,000566,海南海药,,,1.03,,0.04,-5408.21,-1107.93,,04-27
218,600751,天海投资,,,1.84,10.46,-0.1,8226.7,66.08,,04-27
219,000416,民生控股,,,1.98,-10.1,0.17,-2393.9,-41.81,,04-27
220,000029,深深房A,,,1.58,4.82,0.13,7655.2,-25.01,,04-27
221,600272,开开实业,,,2.2,6.73,0.98,2959.81,11.86,10派0.8,04-27
222,000758,中色股份,,,2.21,1.91,0.11,1563.65,-77.72,,04-26
223,000826,启迪桑德,,,2.19,-9.8,-0.16,-3894.51,-177.71,,04-26
224,600179,安通控股,,,2.4,2.54,-0.71,2012.7,-60.44,10派0.3,04-26
225,600127,金健米业,,,2.15,11.39,0.08,6049.97,8.97,10派0.41803送1.67213转2.5082,04-26
226,000631,顺发恒业,,,4.2,9.48,0.55,5157.09,7.17,10派1,04-26
227,000430,张家界,,,0.5,-71.35,-0.1,-10232.05,-6699.96,,04-26
228,600745,闻泰科技,,,0.8,-63.67,-0.05,-9137.87,47.3,,04-26
229,600645,中源协和,,,2.68,11.97,0.2,4739.91,84.52,10派0.1转6,04-26
230,600651,飞乐音响,,,1.67,38.81,0.61,7980.29,339.29,10送3,04-26
