,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,000001,平安银行,,,,,,8406.61,,,08-11
1,600614,鹏起科技,,,,,,46.25,,,03-03
2,600633,浙数文化,,,,,,1325.14,,,03-01
3,600634,富控互动,,,1.0,,,155.28,,,07-20
4,600617,国新能源,,,,,,1955.67,,,07-20
5,600630,龙头股份,,,,,,1437.28,,,07-20
6,600610,中毅达,,,,,,466.25,,,07-17
7,600655,豫园股份,,,,,,1001.57,151.32,,07-13
8,600618,氯碱化工,,,,,,6977.9,,,07-11
9,600621,华鑫股份,,,,,,401.89,,,07-08
10,600622,嘉宝集团,,,,,,1330.62,,,07-07
11,600616,金枫酒业,,,,,,464.7,,,07-07
12,600628,新世界,,,,,,270.69,,,07-07
13,600619,海立股份,,,,,,2282.17,,,07-06
14,600613,神奇制药,,,,,,889.46,,,07-06
15,600611,大众交通,,,,,,233.69,,,07-03
16,600602,云赛智联,,,2.44,,,3191.4,26.89,,06-30
17,600608,*ST沪科,,,1.45,,,268.4,267.74,,06-30
18,600626,申达股份,,,,,,987.71,,,06-30
19,600601,方正科技,,,1.72,,,88.88,187.52,,06-30
20,600606,绿地控股,,,1.42,,,519.6,54.2,,06-30
21,600624,复旦复华,,,,,,367.9,,,06-30
22,600612,老凤祥,,,,,,434.04,,,06-30
23,600654,*ST中安,,,1.38,,,141.96,317.01,,06-30
24,600605,汇通能源,,,1.15,,,1114.08,149.34,,06-30
25,600653,申华控股,,,6.26,,,392.51,1313.36,,06-30
26,600604,市北高新,,,2.6,,,3963.67,101.81,,06-30
27,600629,华建集团,,,1.54,,,42.01,,,06-30
28,600615,丰华股份,,,,,,633.63,,,06-30
29,600652,游久游戏,,,5.23,,,53.28,1723.36,,06-30
30,600603,广汇物流,,,3.89,,,464.25,1037.01,,06-30
31,600620,天宸股份,,,,,,200.43,,,06-30
32,600609,金杯汽车,,,,,,7828.7,583.07,,06-30
33,600651,飞乐音响,,,4.76,,,87.38,247.72,,06-30
