,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002168,深圳惠程,,,,,,2117.17,768.49,,08-30
1,601857,中国石油,,,,,,3966073.0,-15.57,,03-29
2,601288,农业银行,,,,,,115200.0,,,07-06
3,600970,中材国际,,,,25.35,,3430.19,,,03-11
4,601939,建设银行,,,,,,516700.0,-31.47,,02-16
5,002039,黔源电力,,,1.84,28.14,,3807.53,,,01-25
6,600027,华电国际,,,1.55,17.8,0.44,138881.3,,,01-17
7,000055,方大集团,,,2.52,-14.24,0.48,-11454.36,-265.29,10派1,10-23
8,601601,中国太保,,,,,,-1148.08,-104.23,,09-29
9,000877,天山股份,,,3.96,8.7,1.02,6024.95,-11.17,,09-21
10,002038,双鹭药业,,,1.66,30.93,,1890.44,,,08-20
11,002037,久联发展,,,,,,1135.62,,,08-19
12,600979,广安爱众,,,1.41,7.6,,663.81,,,08-17
13,002036,联创电子,,,1.25,30.03,,1609.3,,,08-14
14,002035,华帝股份,,,1.05,25.86,,1262.25,,,08-12
15,600961,株冶集团,,,1.09,8.85,,2849.45,,,08-10
16,002034,美欣达,,,1.54,25.08,,1625.88,,,08-06
17,002033,丽江旅游,,,1.16,32.02,,2049.33,,,08-05
18,600978,宜华生活,,,1.08,14.02,,2726.0,,,08-04
19,002032,苏泊尔,,,1.6,29.07,,2437.4,,,07-29
20,002031,巨轮智能,,,1.02,33.11,0.38,3007.96,,,07-28
21,600971,恒源煤电,,,1.95,30.96,,4270.53,,,07-28
22,600987,航民股份,,,1.35,23.5,,5702.31,,,07-20
23,002030,达安基因,,,1.43,,,1408.84,,,07-20
24,002029,七匹狼,,,1.17,24.51,,1537.29,,,07-19
25,002028,思源电气,,,1.81,40.09,0.74,2174.47,,,07-16
26,002027,分众传媒,,,1.24,21.5,,1998.71,,,07-15
27,600973,宝胜股份,,,2.0,24.42,,3264.88,,,07-13
28,600983,惠而浦,,,1.16,11.56,,3329.22,,,07-07
29,002026,山东威达,,,1.83,24.94,,1621.61,,,07-07
