,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600862,中航高科,,,,,,-2610.76,,,07-24
1,600531,豫光金铅,,,2.34,4.92,0.12,917.48,,,07-11
2,600807,天业股份,,,,,,-773.08,,,05-25
3,600054,黄山旅游,,,2.35,,,-1829.35,,,04-30
4,600088,中视传媒,,,3.02,,,-604.96,,,04-30
5,600653,申华控股,,,2.5,,,768.86,,,04-30
6,600145,*ST新亿,,,1.67,,,1268.59,,,04-30
7,600740,山西焦化,,,3.41,,,1041.36,,,04-30
8,600219,南山铝业,,,5.09,,,2663.59,,,04-30
9,000616,海航投资,,,3.25,,,-106.09,,,04-30
10,600236,桂冠电力,,,3.79,,,6154.03,,,04-30
11,600846,同济科技,,,1.5,,,-874.87,,,04-30
12,000022,深赤湾A,,,3.03,,,4059.33,,,04-30
13,000040,东旭蓝天,,,2.2,,,-2481.14,,,04-30
14,000521,美菱电器,,,2.5,,,427.13,,,04-30
15,600188,兖州煤业,,,3.15,,,31161.92,,,04-30
16,600745,闻泰科技,,,1.1,,,487.31,,,04-30
17,000603,盛达矿业,,,0.19,,,-218.49,,,04-30
18,600225,*ST松江,,,2.0,,,144.12,,,04-30
19,600798,宁波海运,,,1.51,,,2284.39,,,04-30
20,600833,第一医药,,,1.05,,,231.75,,,04-30
21,000713,丰乐种业,,,2.75,,,150.26,,,04-30
22,600853,龙建股份,,,1.3,,,-631.35,,,04-30
23,600377,宁沪高速,,,2.71,,,19177.81,,,04-30
24,000028,国药一致,,,1.23,,,77.78,,,04-30
25,600036,招商银行,,,,,,33693.4,,,04-30
26,000048,康达尔,,,0.14,,,486.06,,,04-30
27,000959,首钢股份,,,2.27,,,25253.67,,,04-30
28,000546,金圆股份,,,0.1,,,-666.77,17.6,,04-30
29,600750,江中药业,,,3.68,,,1300.7,,,04-30
30,600270,外运发展,,,5.52,,,5251.84,,,04-30
31,600838,上海九百,,,1.45,,,302.51,,,04-30
32,600874,创业环保,,,1.22,,,5683.0,,,04-30
33,600891,秋林集团,,,2.23,,,-662.9,,,04-30
34,600422,昆药集团,,,5.39,,,992.53,,,04-30
35,600615,丰华股份,,,3.54,,,-815.17,,,04-30
36,000514,渝开发,,,0.19,,,-569.56,,,04-30
37,000533,万家乐,,,0.35,,,-3950.05,,,04-30
38,000635,英力特,,,1.53,,,-846.0,,,04-30
39,600826,兰生股份,,,2.83,,,472.66,,,04-30
40,600845,宝信软件,,,1.04,,,818.22,-223.94,,04-30
41,600336,澳柯玛,,,3.54,,,1973.18,,,04-30
42,000039,中集集团,,,7.29,,,7698.8,,,04-30
43,600058,五矿发展,,,4.42,,,2852.64,,,04-30
44,600603,广汇物流,,,0.04,,,-930.21,,,04-30
45,600658,电子城,,,1.65,,,41.66,,,04-30
46,000539,粤电力A,,,2.39,,,30254.23,,,04-30
47,000622,恒立实业,,,,,,-397.85,,,04-30
48,000788,北大医药,,,1.41,,,-1622.44,,,04-30
49,000021,深科技,,,3.11,,,1181.93,,,04-30
50,000027,深圳能源,,,2.69,,,10260.1,,,04-30
51,600033,福建高速,,,3.54,,,7452.35,,,04-30
52,000046,泛海控股,,,3.95,,,69.54,,,04-30
53,600609,金杯汽车,,,1.4,,,-2109.26,,,04-30
54,000545,金浦钛业,,,1.04,,,-147.0,,,04-30
55,600784,鲁银投资,,,2.29,,,114.56,,,04-30
56,600837,海通证券,,,3.72,,,828.52,,,04-30
57,600085,同仁堂,,,3.91,,,5301.69,,,04-30
58,000407,胜利股份,,,2.24,,,221.21,,,04-30
59,000919,金陵药业,,,3.93,,,2510.16,,,04-30
60,600236,桂冠电力,,,3.79,,,6154.03,,,04-30
61,600846,同济科技,,,1.5,,,-874.87,,,04-30
62,600054,黄山旅游,,,2.35,,,-1829.35,,,04-30
63,600088,中视传媒,,,3.02,,,-604.96,,,04-30
64,600653,申华控股,,,2.5,,,768.86,,,04-30
65,600145,*ST新亿,,,1.67,,,1268.59,,,04-30
66,600188,兖州煤业,,,3.15,,,31161.92,,,04-30
67,600745,闻泰科技,,,1.1,,,487.31,,,04-30
68,000603,盛达矿业,,,0.19,,,-218.49,,,04-30
69,600225,*ST松江,,,2.0,,,144.12,,,04-30
70,600798,宁波海运,,,1.51,,,2284.39,,,04-30
71,600833,第一医药,,,1.05,,,231.75,,,04-30
72,000713,丰乐种业,,,2.75,,,150.26,,,04-30
73,600853,龙建股份,,,1.3,,,-631.35,,,04-30
74,600377,宁沪高速,,,2.71,,,19177.81,,,04-30
75,000022,深赤湾A,,,3.03,,,4059.33,,,04-30
76,000040,东旭蓝天,,,2.2,,,-2481.14,,,04-30
77,000521,美菱电器,,,2.5,,,427.13,,,04-30
78,600750,江中药业,,,3.68,,,1300.7,,,04-30
79,600270,外运发展,,,5.52,,,5251.84,,,04-30
80,600838,上海九百,,,1.45,,,302.51,,,04-30
81,600874,创业环保,,,1.22,,,5683.0,,,04-30
82,600891,秋林集团,,,2.23,,,-662.9,,,04-30
83,600422,昆药集团,,,5.39,,,992.53,,,04-30
84,000028,国药一致,,,1.23,,,77.78,,,04-30
85,600036,招商银行,,,,,,33693.4,,,04-30
86,000048,康达尔,,,0.14,,,486.06,,,04-30
87,000959,首钢股份,,,2.27,,,25253.67,,,04-30
88,000546,金圆股份,,,0.1,,,-666.77,17.6,,04-30
89,000635,英力特,,,1.53,,,-846.0,,,04-30
90,600826,兰生股份,,,2.83,,,472.66,,,04-30
91,600845,宝信软件,,,1.04,,,818.22,-223.94,,04-30
92,600336,澳柯玛,,,3.54,,,1973.18,,,04-30
93,600615,丰华股份,,,3.54,,,-815.17,,,04-30
94,000514,渝开发,,,0.19,,,-569.56,,,04-30
95,000533,万家乐,,,0.35,,,-3950.05,,,04-30
96,000622,恒立实业,,,,,,-397.85,,,04-30
97,000788,北大医药,,,1.41,,,-1622.44,,,04-30
98,000021,深科技,,,3.11,,,1181.93,,,04-30
99,000039,中集集团,,,7.29,,,7698.8,,,04-30
100,600058,五矿发展,,,4.42,,,2852.64,,,04-30
101,600603,广汇物流,,,0.04,,,-930.21,,,04-30
102,600658,电子城,,,1.65,,,41.66,,,04-30
103,000539,粤电力A,,,2.39,,,30254.23,,,04-30
104,600784,鲁银投资,,,2.29,,,114.56,,,04-30
105,600837,海通证券,,,3.72,,,828.52,,,04-30
106,000027,深圳能源,,,2.69,,,10260.1,,,04-30
107,600033,福建高速,,,3.54,,,7452.35,,,04-30
108,000046,泛海控股,,,3.95,,,69.54,,,04-30
109,600609,金杯汽车,,,1.4,,,-2109.26,,,04-30
110,000545,金浦钛业,,,1.04,,,-147.0,,,04-30
111,600844,*ST丹科,,,1.99,,,220.77,,,04-30
112,000752,西藏发展,,,2.03,,,588.03,,,04-30
113,600895,张江高科,,,4.52,,,1076.87,,,04-30
114,600085,同仁堂,,,3.91,,,5301.69,,,04-30
115,000407,胜利股份,,,2.24,,,221.21,,,04-30
116,000919,金陵药业,,,3.93,,,2510.16,,,04-30
117,000981,银亿股份,,,4.18,,,607.71,,,04-30
118,600743,华远地产,,,0.33,,,52.46,-179.44,,04-30
119,000620,新华联,,,2.14,,,-349.39,,,04-30
120,000701,厦门信达,,,2.34,,,101.49,,,04-30
121,600859,王府井,,,3.91,,,937.19,,,04-30
122,600875,东方电气,,,1.91,,,-2552.94,,,04-30
123,600892,大晟文化,,,1.2,,,-258.75,,,04-30
124,600054,黄山旅游,,,2.35,,,-1829.35,,,04-30
125,600088,中视传媒,,,3.02,,,-604.96,,,04-30
126,600653,申华控股,,,2.5,,,768.86,,,04-30
127,600145,*ST新亿,,,1.67,,,1268.59,,,04-30
128,600740,山西焦化,,,3.41,,,1041.36,,,04-30
129,600219,南山铝业,,,5.09,,,2663.59,,,04-30
130,000616,海航投资,,,3.25,,,-106.09,,,04-30
131,600236,桂冠电力,,,3.79,,,6154.03,,,04-30
132,600846,同济科技,,,1.5,,,-874.87,,,04-30
133,000022,深赤湾A,,,3.03,,,4059.33,,,04-30
134,000040,东旭蓝天,,,2.2,,,-2481.14,,,04-30
135,000521,美菱电器,,,2.5,,,427.13,,,04-30
136,600188,兖州煤业,,,3.15,,,31161.92,,,04-30
137,600745,闻泰科技,,,1.1,,,487.31,,,04-30
138,000603,盛达矿业,,,0.19,,,-218.49,,,04-30
139,600225,*ST松江,,,2.0,,,144.12,,,04-30
140,600798,宁波海运,,,1.51,,,2284.39,,,04-30
141,600833,第一医药,,,1.05,,,231.75,,,04-30
142,000713,丰乐种业,,,2.75,,,150.26,,,04-30
143,600853,龙建股份,,,1.3,,,-631.35,,,04-30
144,600377,宁沪高速,,,2.71,,,19177.81,,,04-30
145,000028,国药一致,,,1.23,,,77.78,,,04-30
146,600036,招商银行,,,,,,33693.4,,,04-30
147,000048,康达尔,,,0.14,,,486.06,,,04-30
148,000959,首钢股份,,,2.27,,,25253.67,,,04-30
149,000546,金圆股份,,,0.1,,,-666.77,17.6,,04-30
150,600750,江中药业,,,3.68,,,1300.7,,,04-30
151,600270,外运发展,,,5.52,,,5251.84,,,04-30
152,600838,上海九百,,,1.45,,,302.51,,,04-30
153,600874,创业环保,,,1.22,,,5683.0,,,04-30
154,600891,秋林集团,,,2.23,,,-662.9,,,04-30
155,600422,昆药集团,,,5.39,,,992.53,,,04-30
156,000034,神州数码,,,1.1,,,-1875.37,,,04-29
157,600635,大众公用,,,2.48,,,2073.78,,,04-29
158,600723,首商股份,,,3.11,,,257.34,,,04-29
159,000685,中山公用,,,2.24,,,85.35,,,04-29
160,600389,江山股份,,,2.95,,,1026.95,,,04-29
161,000520,长航凤凰,,,2.45,,,736.9,,,04-29
162,600150,中国船舶,,,1.95,,,112.4,,,04-29
163,000601,韶能股份,,,4.57,,,1806.52,,,04-29
164,600779,水井坊,,,2.78,,,1992.62,,,04-29
165,600303,曙光股份,,,2.7,,,413.43,,,04-29
166,600851,海欣股份,,,3.38,,,84.72,,,04-29
167,600519,贵州茅台,,,10.95,,,20644.83,,,04-29
168,600645,中源协和,,,1.44,,,94.82,,,04-29
169,000931,中关村,,,2.51,,,-873.53,,,04-29
170,000589,黔轮胎A,,,3.19,,,209.0,,,04-29
171,600749,西藏旅游,,,0.99,,,-418.93,,,04-29
172,600820,隧道股份,,,2.98,,,2634.85,,,04-29
173,000008,神州高铁,,,-0.69,,,-179.94,,,04-29
174,600104,上汽集团,,,3.27,,,10302.48,,,04-29
175,600688,上海石化,,,1.86,,,-16595.1,,,04-29
176,002181,粤传媒,,,,,,1099.69,,,04-29
177,600722,金牛化工,,,2.31,,,227.64,,,04-29
178,000613,*ST东海A,,,0.03,,,15.18,-103.94,,04-29
179,600315,上海家化,,,4.01,,,1238.34,,,04-29
180,600303,曙光股份,,,2.7,,,413.43,,,04-29
181,600851,海欣股份,,,3.38,,,84.72,,,04-29
182,600645,中源协和,,,1.44,,,94.82,,,04-29
183,000931,中关村,,,2.51,,,-873.53,,,04-29
184,000589,黔轮胎A,,,3.19,,,209.0,,,04-29
185,600749,西藏旅游,,,0.99,,,-418.93,,,04-29
186,600820,隧道股份,,,2.98,,,2634.85,,,04-29
187,000008,神州高铁,,,-0.69,,,-179.94,,,04-29
188,600519,贵州茅台,,,10.95,,,20644.83,,,04-29
189,600104,上汽集团,,,3.27,,,10302.48,,,04-29
190,600688,上海石化,,,1.86,,,-16595.1,,,04-29
191,002181,粤传媒,,,,,,1099.69,,,04-29
192,600722,金牛化工,,,2.31,,,227.64,,,04-29
193,000613,*ST东海A,,,0.03,,,15.18,-103.94,,04-29
194,600315,上海家化,,,4.01,,,1238.34,,,04-29
195,600366,宁波韵升,,,3.0,,,1201.13,,,04-29
196,000826,启迪桑德,,,1.62,,,-563.25,,,04-29
197,600239,云南城投,,,3.4,,,322.33,,,04-29
198,000670,盈方微,,,4.03,,,144.66,,,04-29
199,600028,中国石化,,,1.71,,,10200.0,,,04-29
200,600210,紫江企业,,,2.77,,,4388.73,,,04-29
201,600836,界龙实业,,,1.81,,,29.33,,,04-29
202,000766,通化金马,,,1.05,,,119.96,-94.33,,04-29
203,600068,葛洲坝,,,4.63,,,1116.13,,,04-29
204,600120,浙江东方,,,3.2,,,2696.0,,,04-29
205,600295,鄂尔多斯,,,5.8,,,6586.27,,,04-29
206,000703,恒逸石化,,,2.53,,,222.72,,,04-29
207,600843,上工申贝,,,2.03,,,1010.63,,,04-29
208,000751,锌业股份,,,3.08,,,5837.56,,,04-29
209,600456,宝钛股份,,,1.35,,,945.33,,,04-29
210,600073,上海梅林,,,2.44,,,150.51,,,04-29
211,600638,新黄浦,,,3.73,,,1076.34,,,04-29
212,000555,神州信息,,,1.14,,,-446.34,,,04-29
213,600202,哈空调,,,1.6,,,449.54,,,04-29
214,600238,海南椰岛,,,2.55,,,1075.09,,,04-29
215,600829,人民同泰,,,3.76,,,-420.4,,,04-29
216,600319,亚星化学,,,3.17,,,1133.97,,,04-29
217,000728,国元证券,,,2.61,,,-1916.31,,,04-29
218,600866,星湖科技,,,2.37,,,1832.39,,,04-29
219,600393,粤泰股份,,,2.13,,,392.36,,,04-29
220,600019,宝钢股份,,,2.15,,0.18,54781.63,,,04-29
221,600606,绿地控股,,,1.79,,,950.93,,,04-29
222,000995,皇台酒业,,,3.29,,,71.45,,,04-29
223,600818,中路股份,,,0.5,,,5669.67,,,04-29
224,000716,黑芝麻,,,2.34,,,-622.69,,,04-29
225,600871,石化油服,,,2.19,,,-5550.7,,,04-29
226,600612,老凤祥,,,1.75,,,89.69,,,04-29
227,600703,三安光电,,,1.33,,,121.84,,,04-29
228,000567,海德股份,,,0.2,,,-518.15,,,04-29
229,000721,西安饮食,,,2.33,,,272.52,,,04-29
230,600332,白云山,,,2.75,,,5196.25,,,04-29
231,600385,山东金泰,,,1.4,,,173.91,,,04-29
232,600548,深高速,,,2.37,,,9608.99,,,04-29
233,600072,中船科技,,,3.49,,,331.16,,,04-29
234,600107,美尔雅,,,2.39,,,256.63,,,04-29
235,600654,*ST中安,,,2.76,,,255.6,,,04-29
236,600776,东方通信,,,5.83,,,665.62,,,04-29
237,600060,海信电器,,,4.51,,,1413.99,,,04-29
238,600077,宋都股份,,,2.73,,,-965.72,,,04-29
239,000585,东北电气,,,0.37,,,-977.63,,,04-29
240,600701,工大高新,,,2.48,,0.06,4.6,,,04-29
241,600310,桂东电力,,,3.82,,,1312.54,,,04-29
242,600858,银座股份,,,0.87,,,-197.51,,,04-29
243,000738,航发控制,,,1.62,,,-1628.6,,,04-29
244,600000,浦发银行,,,,,,26574.6,,,04-27
245,600053,九鼎投资,,,2.16,,,-612.88,,,04-27
246,600086,东方金钰,,,1.42,,,325.54,,,04-27
247,000408,藏格控股,,,3.8,,,143.83,,,04-27
248,600122,宏图高科,,,2.95,,,119.62,,,04-27
249,600689,上海三毛,,,2.42,,,73.75,,,04-27
250,600739,辽宁成大,,,3.28,,,1050.21,,,04-27
251,000725,京东方A,,,3.83,,,2413.0,,,04-27
252,000800,一汽轿车,,,2.79,,,4958.3,,,04-27
253,600468,百利电气,,,3.07,,,20.85,,,04-27
254,000859,国风塑业,,,3.21,,,1164.2,,,04-27
255,000063,中兴通讯,,,7.07,,,6896.45,,,04-27
256,000908,景峰医药,,,1.78,,,162.8,,,04-27
257,000926,福星股份,,,2.47,,,1226.56,,,04-27
258,000650,仁和药业,,,1.66,,,7.33,,,04-27
259,600797,浙大网新,,,2.83,,,1974.85,,,04-27
260,000712,锦龙股份,,,2.82,,,272.34,,,04-27
261,600321,国栋建设,,,6.05,,,895.92,,,04-27
262,600664,哈药股份,,,,,,7461.37,,,04-27
263,600133,东湖高新,,,2.34,,,813.5,,,04-27
264,600156,华升股份,,,2.76,,,460.33,,,04-27
265,600733,S*ST前锋,,,1.29,,,-755.94,,,04-27
266,000628,高新发展,,,2.66,,,-1376.65,,,04-27
267,000698,沈阳化工,,,3.46,,,433.05,,,04-27
268,600329,中新药业,,,4.03,,,4055.85,,,04-27
269,600873,梅花生物,,,1.9,,,-884.2,,,04-27
