,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,601800,中国交建,,,,,,25308.74,,,04-15
1,002583,海能达,,,,,,1423.77,,,11-14
2,002168,深圳惠程,,,,,,3332.2,61.07,,08-30
3,000338,潍柴动力,,,2.1,77.29,4.57,27393.68,,,03-31
4,002130,沃尔核材,,,1.59,31.97,0.41,728.5,,,03-29
5,601118,海南橡胶,,,,,,77591.14,,,03-21
6,601007,金陵饭店,,,1.6,4.07,0.33,1212.15,,,03-13
7,002125,湘潭电化,,,2.3,26.23,1.33,2318.29,,,03-09
8,002124,天邦股份,,,1.39,9.11,0.54,616.16,,,03-09
9,002123,梦网集团,,,1.5,17.63,-0.17,810.25,,,03-08
10,601328,交通银行,,,,,,431194.1,251.23,,02-26
11,601318,中国平安,,,3.02,15.0,,210600.0,15.42,,02-02
12,002118,紫鑫药业,,,1.71,28.16,0.61,2415.86,,,01-31
13,002117,东港股份,,,1.43,33.46,0.74,3459.83,,,01-31
14,002119,康强电子,,,1.5,19.02,-0.13,1767.5,,,01-31
15,601005,*ST重钢,,,2.99,36.0,,97552.4,,,01-30
16,002116,中国海诚,,,1.91,19.36,1.21,2839.66,,,01-26
17,601003,柳钢股份,,,6.47,71.86,2.73,69644.44,,,01-25
18,002115,三维通信,,,2.49,29.44,0.27,1592.29,,,01-24
19,002114,罗平锌电,,,1.86,12.51,0.15,1758.71,,,01-24
20,002113,天润数娱,,,3.46,12.04,0.98,2041.04,,,01-18
21,002112,三变科技,,,1.89,19.84,,2124.72,,,01-18
22,601166,兴业银行,0.48,,2.02,25.84,,143396.28,45.27,,01-15
23,002111,威海广泰,,,1.52,25.43,0.33,938.6,,,01-08
24,002110,三钢闽光,,,3.35,57.72,,69343.24,,,12-29
25,002109,兴化股份,,,1.69,14.99,0.73,3000.89,,,12-29
26,002108,沧州明珠,,,2.16,31.58,0.47,2896.25,,,12-28
27,002107,沃华医药,,,1.29,28.25,0.45,1248.7,,,12-28
28,601002,晋亿实业,,,1.05,18.71,,10740.29,,,12-28
29,002106,莱宝高科,,,2.34,21.74,0.81,3675.02,,,12-20
30,002105,信隆健康,,,1.09,12.49,0.25,3152.5,,,12-20
31,601628,中国人寿,,,,,,96400.0,,,12-19
32,002104,恒宝股份,,,1.34,5.34,,278.59,,,12-15
33,002103,广博股份,,,1.85,35.01,,3899.67,,,12-15
34,002102,冠福股份,,,1.45,19.45,0.23,2148.5,,,12-08
35,002101,广东鸿图,,,1.65,21.9,0.34,1839.01,,,12-08
36,601333,广深铁路,,,2.38,5.06,0.2,51943.65,,,12-07
37,002100,天康生物,,,1.96,20.68,,1759.95,,,12-01
38,002099,海翔药业,,,2.73,30.89,-0.18,2242.1,,,12-01
39,002097,山河智能,,,2.14,42.1,-0.1,2325.66,,,11-30
40,002096,南岭民爆,,,1.62,19.47,0.38,1331.56,,,11-30
41,002098,浔兴股份,,,1.25,18.54,0.5,2108.05,,,11-30
42,601991,大唐发电,,,3.0,12.36,0.73,183693.3,,,11-28
43,002095,生意宝,,,1.08,46.88,0.57,1349.89,,,11-24
44,002094,青岛金王,,,1.57,37.92,0.75,2682.22,,,11-24
45,002093,国脉科技,,,1.75,26.98,0.4,2085.97,,,11-24
46,601107,四川成渝,,,,,,20191.56,,,11-21
47,002092,中泰化学,,,1.5,29.71,0.16,4427.24,,,11-16
48,002091,江苏国泰,,,3.67,37.39,-1.79,6993.26,,,11-16
49,002090,金智科技,,,2.35,29.2,0.78,2231.94,,,11-16
50,601872,招商轮船,,,,,,42873.69,,,11-10
51,002089,新海宜,,,1.89,,0.72,1809.37,,,11-09
52,002088,鲁阳节能,,,2.22,24.55,0.4,2525.57,,,11-09
53,002087,新野纺织,,,3.94,9.83,0.72,3703.43,,,11-09
54,002086,东方海洋,,,1.3,19.74,-0.76,1211.34,,,11-02
55,002085,万丰奥威,,,2.79,58.91,0.88,9055.12,,,11-02
56,002084,海鸥卫浴,,,1.61,46.46,0.22,5328.25,,,11-02
57,002083,孚日股份,,,1.89,24.05,0.91,6590.75,,,11-02
58,601666,平煤股份,,,1.82,17.91,0.72,24468.2,,,10-30
59,002081,金螳螂,,,2.4,54.39,1.14,3063.3,,,10-25
60,002080,中材科技,,,1.68,12.04,0.2,2224.09,,,10-25
61,002082,栋梁新材,,,2.59,23.22,0.97,2023.5,,,10-25
62,601919,中远海控,,,,,,208664.35,-239.02,,10-23
63,002079,苏州固锝,,,1.51,34.24,0.59,4454.39,,,10-20
64,002078,太阳纸业,,,2.8,43.23,1.92,17028.2,,,10-20
65,002077,大港股份,,,2.13,16.11,0.19,3946.32,,,10-20
66,601398,工商银行,,,,,,2237400.0,242.79,,09-27
67,002076,雪莱特,,,1.81,14.03,0.11,641.46,,,09-26
68,002075,沙钢股份,,,1.52,12.3,0.46,1903.58,,,09-26
69,600018,上港集团,,,,,,99737.68,478.9,,09-22
70,002074,国轩高科,,,1.92,26.02,0.64,1932.62,,,09-20
71,600017,日照港,,,1.9,18.73,0.61,13009.77,,,09-19
72,002073,软控股份,,,2.51,53.9,,5414.89,,,09-15
73,601588,北辰实业,,,2.33,5.32,0.08,22712.29,,,09-13
74,002072,凯瑞德,,,2.64,11.5,,2144.71,,,09-11
75,002071,长城影视,,,1.57,18.99,0.7,1981.33,,,09-08
76,002070,*ST众和,,,1.53,27.2,0.91,2970.62,,,09-06
77,002069,獐子岛,,,,25.38,0.37,3543.87,,,08-30
78,601699,潞安环能,,,2.54,23.6,2.09,26145.6,,,08-28
79,002068,黑猫股份,,,,22.15,-0.8,2651.45,,,08-23
80,002067,景兴纸业,,,1.58,,-0.32,4254.88,,,08-18
81,002066,瑞泰科技,,,1.89,17.58,0.06,1116.62,,,07-27
82,002065,东华软件,,,1.93,43.03,0.22,3701.52,,,07-26
83,002064,华峰氨纶,,,3.37,45.89,1.47,13387.14,,,07-25
84,002063,远光软件,,,2.02,26.59,0.56,1953.36,,,07-24
85,002062,宏润建设,,,2.84,19.39,2.17,4073.97,,,07-21
86,002061,江山化工,,,,23.03,0.16,4199.71,,,07-20
87,002060,粤水电,,,,22.27,0.64,5838.87,,,07-17
88,002594,比亚迪,,,,,,82999.7,26.08,,07-17
89,601006,大秦铁路,,,,,,152733.32,,,07-13
90,002059,云南旅游,,,1.98,8.21,0.4,2703.94,,,07-11
91,002058,威尔泰,,,1.45,29.96,,1708.4,,,07-07
92,002057,中钢天源,,,1.49,13.34,-0.09,743.58,,,07-06
93,600048,保利地产,,,2.02,18.97,-2.85,7002.55,,,07-05
94,002056,横店东磁,,,2.73,18.54,0.95,5565.08,,,07-04
95,002055,得润电子,,,1.54,25.6,1.26,1553.55,,,06-30
96,002054,德美化工,,,1.84,27.28,0.8,4378.45,,,06-23
97,601988,中国银行,0.15,,1.09,,-0.33,2870700.0,201.89,,06-12
98,601168,西部矿业,,,,,,15423.06,102.16,,06-12
99,601001,大同煤业,,,2.28,19.53,1.79,22590.41,,,06-02
100,002053,云南能投,,,,28.9,1.24,7078.41,,,06-01
101,002052,同洲电子,,,1.44,42.87,0.63,3257.29,,,05-31
102,002051,中工国际,,,,24.06,2.29,7204.12,,,05-25
103,601857,中国石油,,,,,,6241959.0,59.69,,03-29
104,601288,农业银行,,,,,,192200.0,-33.66,,03-20
105,300150,世纪瑞尔,,,1.41,,,1064.5,,,01-18
106,601808,中海油服,,,,,,46590.45,122.43,,01-13
107,601600,中国铝业,,,1.72,,0.64,336855.5,145.11,,06-09
108,601111,中国国航,,,,,,21542.94,-73.98,,05-26
109,002050,三花智控,,,1.44,25.51,0.56,2771.36,68.33,,04-29
110,002049,紫光国芯,,,1.54,21.96,0.43,1550.71,17.7,,04-27
111,002048,宁波华翔,,,2.01,,0.5,3179.78,42.27,,04-26
112,601158,重庆水务,,,,,,7722.02,-33.11,,04-26
113,002047,宝鹰股份,,,1.62,30.82,0.1,6955.15,41.37,,04-22
114,002046,轴研科技,,,2.0,26.0,0.4,1841.97,18.6,,04-19
115,002045,国光电器,,,3.28,24.75,1.14,5130.76,5.18,,04-13
116,002044,美年健康,,,1.35,19.88,0.33,2007.99,24.12,,04-07
117,002043,兔宝宝,,,1.59,22.13,,2554.99,18.26,,04-01
118,002042,华孚色纺,,,2.23,16.7,,2108.53,9.02,,03-25
119,002041,登海种业,,,3.11,50.96,,8461.3,25.6,,03-18
120,600970,中材国际,,,1.99,22.38,3.53,4759.02,21.55,,03-11
121,601939,建设银行,,,,,,41100.0,-90.45,,02-16
122,002039,黔源电力,,,2.51,20.72,1.36,4410.74,13.22,,01-25
123,600027,华电国际,,,1.72,11.7,0.61,102353.4,-14.21,,01-17
124,002040,南京港,,,1.57,26.92,0.51,5125.89,8.0,,01-12
125,002038,双鹭药业,,,2.3,30.83,0.61,3120.0,61.71,,08-20
126,002037,久联发展,,,1.9,22.94,0.92,3055.94,33.29,,08-19
127,600979,广安爱众,,,1.3,16.67,0.49,2004.04,63.52,,08-17
128,002036,联创电子,,,1.97,32.5,0.48,2958.08,52.11,,08-14
129,002035,华帝股份,,,2.05,37.85,1.15,3503.26,62.83,,08-12
130,600961,株冶集团,,,1.42,13.81,0.71,5643.16,28.39,,08-10
131,002034,美欣达,,,2.85,28.11,0.42,3097.63,38.29,,08-06
132,002033,丽江旅游,,,1.47,20.19,0.34,2031.25,-37.87,,08-05
133,600978,宜华生活,,,1.58,25.63,0.21,6690.12,7.32,,08-04
134,002032,苏泊尔,,,2.06,44.95,0.46,7647.4,49.09,,07-29
135,002031,巨轮智能,,,1.75,25.29,0.39,4042.5,17.82,,07-28
136,600971,恒源煤电,,,3.47,25.27,0.93,6360.16,5.09,,07-28
137,600987,航民股份,,,1.89,22.05,0.72,7591.47,1.66,,07-20
138,002030,达安基因,,,1.49,28.54,0.37,2309.33,24.39,,07-20
139,002029,七匹狼,,,1.55,30.98,1.11,2497.44,12.48,,07-19
140,002028,思源电气,,,2.78,36.48,0.74,3373.53,57.07,,07-16
141,002027,分众传媒,,,2.44,32.29,0.57,5631.56,30.1,,07-15
142,600973,宝胜股份,,,2.65,16.57,0.36,3153.33,28.53,,07-13
143,601998,中信银行,,,,,,154383.8,9.0,,07-08
144,600983,惠而浦,,,1.23,11.35,0.14,3544.28,6.89,,07-07
145,002026,山东威达,,,3.46,21.69,0.73,2862.82,18.56,,07-07
146,002025,航天电器,,,1.86,28.03,0.58,2479.78,42.26,,07-06
147,601169,北京银行,,,,,,,,,07-02
148,002024,苏宁云商,,,3.75,49.42,1.19,9890.19,68.88,,07-02
149,002023,海特高新,,,2.64,27.25,,3340.95,21.01,,07-01
150,601601,中国太保,,,,,,44874.64,-863.98,,07-01
151,600239,云南城投,,,1.82,,-0.16,-1772.41,-264.8,,07-01
152,002022,科华生物,,,1.97,38.42,1.39,3571.81,12.04,,06-30
153,601818,光大银行,,,,,,43340.6,59.59,,06-30
154,002021,中捷资源,,,2.15,26.09,1.15,2980.97,-12.78,,06-25
155,600482,中国动力,,,1.93,15.31,0.05,3950.7,0.2,,06-24
156,002020,京新药业,,,1.77,33.55,0.92,2540.45,14.01,,06-24
157,600965,福成股份,,,1.27,13.89,0.29,3657.29,0.17,,06-23
158,002019,亿帆医药,,,2.51,27.98,0.34,2587.77,-0.72,,06-23
159,002018,华信国际,,,1.95,27.37,0.82,2134.79,36.26,10派0.5,06-22
160,002142,宁波银行,,,,,,,,,06-21
161,002017,东信和平,,,2.23,29.07,0.56,3729.47,3.32,10派2.5,06-21
162,002016,世荣兆业,,,2.09,22.83,,1291.02,0.12,,06-18
163,600984,建设机械,,,2.18,16.92,-0.34,3445.58,6.64,,06-17
164,002015,霞客环保,,,2.92,25.14,0.07,1972.58,49.96,,06-17
165,600982,宁波热电,,,1.27,19.24,0.41,2825.79,12.8,,06-16
166,002014,永新股份,,,2.06,32.17,0.71,4276.1,21.0,10派5,06-16
167,601009,南京银行,,,,,,16950.7,2.13,,06-16
168,002013,中航机电,,,2.45,17.26,,1228.45,0.79,,06-15
169,002012,凯恩股份,,,1.83,30.0,0.58,3784.48,15.33,10派3.75,06-14
170,002011,盾安环境,,,2.1,33.17,0.57,2580.98,20.34,,06-11
171,002010,传化智联,,,2.29,30.76,,3935.4,10.47,,06-10
172,600981,汇鸿集团,,,2.48,16.96,,5294.18,11.18,,06-10
173,600022,山东钢铁,,,2.49,36.79,1.92,59693.46,60.25,,06-09
174,002009,天奇股份,,,2.65,28.36,-0.19,2145.28,23.43,,06-09
175,002008,大族激光,,,1.56,32.33,0.25,3675.5,11.97,,06-08
176,002007,华兰生物,,,2.88,31.71,0.07,3549.03,23.01,,06-07
177,002006,精功科技,,,2.03,24.91,0.06,2248.07,16.55,,06-04
178,002005,德豪润达,,,3.2,33.27,1.31,6841.73,-4.78,,06-03
179,600143,金发科技,,,2.41,33.74,0.14,9251.9,24.44,,06-03
180,002004,华邦健康,,,2.19,33.1,0.86,3992.17,7.04,,06-02
181,600962,国投中鲁,,,1.53,16.9,0.23,2407.0,-3.15,,06-02
182,002003,伟星股份,,,1.77,21.32,0.41,1990.43,19.06,,06-01
183,002002,鸿达兴业,,,1.91,20.65,0.5,2258.05,-9.18,,05-31
184,002001,新和成,,,3.82,23.26,1.46,6926.69,36.23,,05-28
185,600420,现代制药,,,2.11,21.81,0.32,2343.29,7.01,,05-27
186,600995,文山电力,,,3.88,14.16,0.98,2645.71,26.63,,05-26
187,600615,丰华股份,,,1.24,-57.03,-0.15,-17783.35,166.46,,05-22
188,600975,新五丰,,,2.24,26.24,,3584.62,4.55,,05-20
189,600966,博汇纸业,,,3.04,21.79,0.53,6557.55,5.89,,05-19
190,600421,仰帆控股,,,1.72,17.86,0.71,2861.26,10.69,,05-18
191,600997,开滦股份,,,2.18,20.14,0.92,13903.25,17.71,,05-13
192,600461,洪城水业,,,1.9,15.32,,2546.86,0.55,,05-12
193,600483,福能股份,,,2.8,8.16,,2472.36,-4.72,10派0.75,05-11
194,000537,广宇发展,,,1.03,-61.84,-1.35,-37620.0,802.83,,04-30
195,600844,*ST丹科,,,1.45,-9.15,0.29,-4242.65,-65.3,,04-30
196,000993,闽东电力,,,4.53,-6.72,-0.41,-9577.6,-524.52,,04-30
197,600698,湖南天雁,,,0.37,9.0,0.07,1743.09,-100.51,,04-30
198,000592,平潭发展,,,0.05,,-0.04,-16945.95,-10248.37,,04-30
199,600522,中天科技,,,2.7,0.22,-0.5,125.5,-96.84,,04-30
200,000927,一汽夏利,,,1.68,11.61,-0.17,34860.24,-142.83,,04-30
201,600643,爱建集团,,,3.32,,-0.01,-28305.66,-2622.82,,04-30
202,000509,华塑控股,,,1.55,2.92,-0.13,1087.98,-104.24,,04-30
203,000409,山东地矿,,,0.56,-105.08,0.01,-6650.99,28.36,,04-30
204,600503,华丽家族,,,2.44,-81.47,-1.72,-21859.35,-726.88,,04-30
205,601788,光大证券,,,,,,2373.46,1113.49,,04-30
206,000880,潍柴重机,,,1.78,-18.0,-0.32,-9713.22,-330.36,,04-30
207,600751,天海投资,,,0.2,-56.1,-0.06,-18281.4,151.87,,04-30
208,600864,哈投股份,,,3.02,3.94,0.23,1631.33,69.75,,04-30
209,601211,国泰君安,,,,,,5112.8,168.06,,04-30
210,600846,同济科技,,,1.63,5.5,0.06,2502.89,22.21,,04-30
211,601336,新华保险,,,,,,4404.0,,,04-30
212,600090,同济堂,,,-2.4,,-0.65,-121539.23,-2624.72,,04-30
213,600603,广汇物流,,,-3.19,,-0.06,256.94,-100.39,,04-30
214,000029,深深房A,,,1.13,0.38,0.19,435.61,-68.98,,04-30
215,000555,神州信息,,,-0.49,,0.02,-9476.73,121.22,,04-29
216,600122,宏图高科,,,3.13,1.83,-0.09,1805.17,-47.93,,04-29
217,600221,海航控股,,,1.53,-72.19,-0.88,-126924.62,-800.66,,04-29
218,000783,长江证券,,,1.38,3.25,0.33,5084.68,556.7,,04-29
219,000166,申万宏源,,,,,,12804.57,3573.63,,04-29
220,600555,海航创新,,,5.12,,0.41,11027.64,-9.6,10派1.5,04-29
221,600345,长江通信,,,4.62,1.42,0.14,1303.11,6.78,10派0.5,04-29
222,600053,九鼎投资,,,-2.73,,-0.02,-45801.98,37.75,,04-29
223,000552,靖远煤电,,,0.62,-52.35,0.02,-7820.62,99.07,,04-29
224,000799,酒鬼酒,,,3.36,-9.29,-0.68,-9442.74,-34.75,,04-29
225,000036,华联控股,,,3.73,2.53,0.05,3413.16,-74.69,,04-29
226,601688,华泰证券,,,,,,-9669.24,-7149.96,,04-29
227,600712,南宁百货,,,1.07,-105.94,-0.18,-10722.2,-1323.32,,04-29
228,600495,晋西车轴,,,1.97,17.5,0.49,2042.55,1.52,,04-29
229,000703,恒逸石化,,,1.85,-12.73,-0.37,-2676.38,-390.23,,04-28
230,600272,开开实业,,,3.58,3.55,0.19,3077.15,-39.47,10派0.6,04-28
231,600958,东方证券,,,,,,4798.87,715.01,,04-28
232,600228,*ST昌九,,,1.26,-23.35,-0.01,-9613.24,-9105.83,,04-28
233,000631,顺发恒业,,,2.58,-13.85,-1.21,-9598.96,-305.83,,04-28
234,000999,华润三九,,,2.97,7.37,0.03,20879.51,26.53,10派0.45,04-28
235,600856,中天能源,,,1.85,0.29,0.13,98.0,6.55,,04-28
236,600737,中粮糖业,,,1.39,11.15,0.34,11926.1,5.89,,04-28
237,600116,三峡水利,,,2.21,-56.46,0.56,-22603.64,-2853.49,,04-28
238,600963,岳阳林纸,,,2.85,16.98,0.3,4764.88,1.66,,04-28
239,000720,新能泰山,,,2.83,4.73,0.19,6270.84,-19.92,10派0.5送2转6,04-28
240,600737,中粮糖业,,,1.39,11.15,0.34,11926.1,5.89,,04-28
241,600116,三峡水利,,,2.21,-56.46,0.56,-22603.64,-2853.49,,04-28
242,600963,岳阳林纸,,,2.85,16.98,0.3,4764.88,1.66,,04-28
243,000720,新能泰山,,,2.83,4.73,0.19,6270.84,-19.92,,04-28
244,600841,上柴股份,,,3.61,6.48,0.31,11020.89,9.43,10派1.5,04-28
245,002673,西部证券,,,,,,218.04,-15.22,,04-28
246,600758,红阳能源,,,0.53,-17.45,0.05,1034.49,-106.57,,04-28
247,000725,京东方A,,,3.87,16.91,1.13,36116.54,336.0,,04-27
248,600891,秋林集团,,,0.97,-49.31,0.04,-15918.79,13.92,,04-27
249,000620,新华联,,,0.83,,0.05,336.53,-108.27,,04-27
250,000418,小天鹅A,,,3.03,3.25,0.52,3599.03,-108.6,,04-27
251,601555,东吴证券,,,,,,3169.66,28.38,,04-27
252,600644,乐山电力,,,1.82,1.64,0.5,739.91,1254.22,,04-27
253,600682,南京新百,,,3.93,7.51,0.65,6821.62,18.07,10派1.5,04-27
254,000517,荣安地产,,,3.47,2.27,-0.41,1797.52,-49.63,,04-27
255,600491,龙元建设,,,5.36,21.45,0.26,8312.54,16.16,,04-27
256,000951,中国重汽,,,0.82,-31.85,-0.61,-7877.41,-62.3,,04-27
257,000931,中关村,,,1.34,-52.33,0.23,-63323.36,236.68,,04-26
258,000950,*ST建峰,,,1.2,-55.76,-0.02,-14349.28,45.77,,04-26
259,000415,渤海金控,,,1.52,-21.27,-0.03,-8434.13,-5949.72,,04-26
260,000545,金浦钛业,,,1.12,4.9,0.05,727.69,124.43,,04-26
261,600029,南方航空,,,2.64,0.14,0.65,1448.8,-97.18,,04-26
262,000426,兴业矿业,,,4.34,4.8,0.31,5319.67,-23.65,,04-26
263,000066,中国长城,,,2.75,8.56,-0.17,10723.73,67.65,10派1,04-26
264,600706,曲江文旅,,,2.18,17.54,-0.78,3059.66,80.54,,04-26
265,000518,四环生物,,,1.06,6.38,0.08,6896.81,-19.51,,04-26
266,000021,深科技,,,3.42,9.14,1.16,22277.96,266.84,10派1,04-26
267,000693,*ST华泽,,,2.2,1.58,0.22,674.79,-73.18,,04-26
268,000521,美菱电器,,,2.03,-20.75,0.23,-19465.61,-2500.91,,04-26
269,000045,深纺织A,,,2.07,10.59,0.18,3408.63,2788.84,10派1.8转5,04-26
270,000507,珠海港,,,2.84,2.47,0.07,2393.43,25.94,,04-24
271,600515,海航基础,,,1.81,2.83,0.08,1234.8,-48.37,,04-24
272,000659,*ST中富,,,4.0,5.43,0.4,8147.51,-38.49,,04-24
273,600642,申能股份,,,4.66,14.03,1.02,113474.61,9.7,10派3送2转3,04-24
274,600062,华润双鹤,,,3.46,4.18,0.34,6335.84,-61.96,,04-24
275,600131,岷江水电,,,1.28,4.21,0.18,2703.55,-49.16,,04-24
276,000712,锦龙股份,,,2.88,1.86,0.28,818.05,-33.75,,04-24
277,600599,熊猫金控,,,2.17,0.36,-0.42,100.83,-95.01,,04-24
278,600833,第一医药,,,1.19,7.06,0.17,1291.23,1.75,,04-24
279,600745,闻泰科技,,,1.08,0.94,-0.15,138.85,-55.69,,04-24
280,600821,津劝业,,,2.1,0.99,0.33,598.82,-112.25,,04-24
281,600182,S佳通,,,0.66,-906.16,0.05,-57894.76,138.51,,04-24
282,000752,西藏发展,,,2.36,9.52,,3799.23,3.94,,04-24
283,600169,太原重工,,,2.15,-9.4,0.37,-7900.61,-838.72,,04-24
284,600187,国中水务,,,2.17,-8.46,-0.23,-6263.19,-1725.86,,04-24
285,000005,世纪星源,,,1.31,0.23,-0.03,216.69,-102.59,,04-24
286,600673,东阳光科,,,1.57,8.93,-0.03,1338.02,468.38,,04-24
287,600779,水井坊,,,2.07,-16.17,0.35,-17687.64,-1252.94,,04-24
288,600247,ST成城,,,2.85,4.54,-0.5,1690.67,-22.48,10转8,04-24
289,000010,美丽生态,,,1.16,4.14,-0.93,703.1,-42.1,,04-24
290,600744,华银电力,,,4.05,0.7,0.08,2032.98,426.62,10派0.25,04-24
291,000722,湖南发展,,,4.59,0.58,-0.38,605.97,-82.48,,04-24
292,600252,中恒集团,,,2.62,6.3,-0.74,2673.09,-1.61,,04-24
293,000035,中国天楹,,,2.29,16.32,0.81,4006.81,-35.88,,04-24
294,600203,福日电子,,,1.85,-18.49,-0.18,-9628.12,261.7,,04-24
295,600651,飞乐音响,,,1.7,6.93,0.1,4846.38,18.29,,04-24
296,000040,东旭蓝天,,,1.75,2.24,-0.31,1816.31,-107.38,,04-24
297,000411,英特集团,,,0.72,7.69,-0.49,610.58,492.09,,04-24
298,000735,罗牛山,,,2.22,1.52,0.02,1961.42,-47.54,,04-24
299,000009,中国宝安,,,1.19,1.12,0.07,1291.0,-4.94,,04-24
300,600657,信达地产,,,2.81,3.9,1.04,3250.3,29.48,,04-24
