,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600815,*ST厦工,,,1.0,,,967.74,,,12-06
1,000031,中粮地产,,,,,,,,,09-23
2,000029,深深房A,,,,,,9274.5,,,09-10
3,000517,荣安地产,,,,,,186.32,,,07-30
4,000516,国际医学,,,,,,73.64,,,07-30
5,000028,国药一致,,,,,,711.84,,,07-27
6,000514,渝开发,,,,,,760.69,,,07-06
7,000026,飞亚达A,,,,,,,,,05-26
8,000023,深天地A,,,,,,,,,04-29
9,000027,深圳能源,,,,,,,,,04-11
10,600603,广汇物流,,,1.07,,,123.13,1129.35,,01-10
11,600651,飞乐音响,,,1.31,,,48.86,,,12-31
12,600679,上海凤凰,,,,,,5528.8,,,12-31
13,600841,上柴股份,,,,,,,,,12-31
14,000007,全新好,,,,,,,,,12-31
15,000510,金路集团,,,1.0,,,464.31,,,12-31
16,600665,天地源,,,,,,497.25,,,12-31
17,600819,耀皮玻璃,,,,,,3151.1,,,12-31
18,600850,华东电脑,,,,,,,,,12-31
19,000521,美菱电器,,,,,,2031.24,,,12-31
20,600673,东阳光科,,,,,,953.09,,,12-31
21,600827,百联股份,,,,,,2320.9,,,12-31
22,600859,王府井,,,,,,1194.9,,,12-31
23,000563,陕国投A,,,,,,55.66,,,12-31
24,600608,*ST沪科,,,1.01,,,177.11,,,12-31
25,600678,四川金顶,,,,,,1367.02,,,12-31
26,600837,海通证券,,,,,,,,,12-31
27,000006,深振业A,,,,,,682.16,,,12-31
28,000509,华塑控股,,,,,,169.99,,,12-31
29,600655,豫园股份,,,1.66,,,527.33,,,12-31
30,600848,上海临港,,,,,,1541.25,,,12-31
31,600671,天目药业,,,,,,323.69,,,12-31
32,600826,兰生股份,,,,,,3289.87,,,12-31
33,600858,银座股份,,,,,,26.95,,,12-31
34,000030,富奥股份,,,,,,2078.2,,,12-31
35,000538,云南白药,,,,,,719.43,,,12-31
36,600677,航天通信,,,,,,774.55,,,12-31
37,600836,界龙实业,,,,,,395.15,,,12-31
38,000001,平安银行,,,2.63,,,7087.5,64.75,10派3送4,12-31
39,000505,珠江控股,,,1.42,,,,,,12-31
40,600654,*ST中安,,,1.2,,,42.05,,,12-31
41,600809,山西汾酒,,,,,,,,,12-31
42,600847,*ST万里,,,,,,538.0,,,12-31
43,000021,深科技,,,,,,32.76,,,12-31
44,600668,尖峰集团,,,,,,309.57,,,12-31
45,600825,新华传媒,,,,,,332.59,,,12-31
46,600856,中天能源,,,,,,414.5,,,12-31
47,000531,穗恒运A,,,,,,223.91,,,12-31
48,600601,方正科技,,,1.54,,,50.96,,,12-31
49,600676,交运股份,,,,,,1654.7,,,12-31
50,600835,上海机电,,,,,,6767.0,,,12-31
51,600864,哈投股份,,,,,,749.6,,,12-31
52,000501,鄂武商A,,,1.12,,,,,,12-31
53,600653,申华控股,,,1.46,,,10.04,,,12-31
54,600808,马钢股份,,,,,,13623.5,,,12-31
55,600846,同济科技,,,,,,424.4,,,12-31
56,000019,深深宝A,,,,,,977.53,,,12-31
57,600667,太极实业,,,,,,1908.0,,,12-31
58,600822,上海物贸,,,,,,81.66,,,12-31
59,600854,春兰股份,,,,,,1051.5,,,12-31
60,000007,全新好,,,,,,,,,12-31
61,000510,金路集团,,,1.0,,,464.31,,,12-31
62,600651,飞乐音响,,,1.31,,,48.86,,,12-31
63,600679,上海凤凰,,,,,,5528.8,,,12-31
64,600850,华东电脑,,,,,,,,,12-31
65,000521,美菱电器,,,,,,2031.24,,,12-31
66,600665,天地源,,,,,,497.25,,,12-31
67,600819,耀皮玻璃,,,,,,3151.1,,,12-31
68,600859,王府井,,,,,,1194.9,,,12-31
69,000563,陕国投A,,,,,,55.66,,,12-31
70,600673,东阳光科,,,,,,953.09,,,12-31
71,600827,百联股份,,,,,,2320.9,,,12-31
72,600837,海通证券,,,,,,,,,12-31
73,000006,深振业A,,,,,,682.16,,,12-31
74,000509,华塑控股,,,,,,169.99,,,12-31
75,600608,*ST沪科,,,1.01,,,177.11,,,12-31
76,600678,四川金顶,,,,,,1367.02,,,12-31
77,600848,上海临港,,,,,,1541.25,,,12-31
78,600655,豫园股份,,,1.66,,,527.33,,,12-31
