,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600507,方大特钢,,,1.91,,0.43,2230.88,,,09-11
1,600547,山东黄金,,,,,,1170.06,,,08-30
2,600487,亨通光电,,,,,,1923.2,,,08-29
3,600029,南方航空,,,,,,15436.0,,,08-29
4,600425,*ST青松,,,,,,1262.13,,,08-29
5,600489,中金黄金,,,,5.62,,1729.53,,,08-29
6,600352,浙江龙盛,,,,,,3387.78,,,08-29
7,600039,四川路桥,,,,6.77,,2681.44,,,08-29
8,600490,鹏欣资源,,,,,,1495.85,,,08-28
9,600513,联环药业,,,,,,756.94,,,08-28
10,600480,凌云股份,,,,,,1524.21,,,08-28
11,600475,华光股份,,,1.76,,,1942.88,,,08-28
12,600439,瑞贝卡,,,,,,1678.94,,,08-26
13,600004,白云机场,,,,,,13656.79,,,08-26
14,600502,安徽水利,,,,,,804.27,,,08-26
15,600575,皖江物流,,,,,,1534.43,,,08-20
16,600481,双良节能,,,,,,3571.57,,,08-18
17,600546,山煤国际,,,,,,1781.77,,,08-18
18,600031,三一重工,,,,,,7955.64,,,08-18
19,600423,*ST柳化,,,,,,2072.48,,,08-15
20,600343,航天动力,,,,,,908.48,,,08-15
21,600460,士兰微,,,,14.54,,2141.12,,,08-12
22,600435,北方导航,,,,8.58,,895.16,,,08-12
23,600392,盛和资源,,,,40.54,,1124.77,,,08-11
24,600371,万向德农,,,,,,985.72,,,08-11
25,600370,三房巷,,,,10.31,,1859.42,,,08-09
26,600273,嘉化能源,,,,,,1477.68,,,08-08
27,600573,惠泉啤酒,,,,,,3378.94,,,08-08
28,600459,贵研铂业,,,,7.25,,707.72,,,08-08
29,600409,三友化工,,,,10.31,,4115.75,,,08-08
30,600584,长电科技,,,,12.72,,2440.74,,,08-07
31,600251,冠农股份,,,,,,362.83,,,08-07
32,600436,片仔癀,,,,17.08,,2727.65,,,08-01
33,600521,华海药业,,,,,,2321.33,,,07-31
34,600375,华菱星马,,,,,,3861.13,,,07-29
35,600433,冠豪高新,,,,6.78,,939.04,,,07-29
36,000656,金科股份,,,1.16,,0.01,-1124.38,124.0,,02-11
37,600576,万家文化,,,1.67,12.76,0.1,2683.22,,,01-22
38,600408,安泰集团,,,1.53,7.79,-0.01,1856.01,,,01-15
39,600562,国睿科技,,,1.76,10.78,0.36,975.85,,,01-08
40,600537,亿晶光电,,,1.56,11.0,,1839.52,,,01-03
41,600538,国发股份,,,2.19,,0.29,1447.9,,,12-24
42,600012,皖通高速,,,2.1,4.6,,13474.09,,,12-18
43,600030,中信证券,0.08,,1.67,4.71,,16052.05,,,12-13
44,600512,腾达建设,,,1.59,8.6,0.04,1301.72,,,12-06
45,600458,时代新材,,,1.69,15.76,0.36,1237.54,,,11-29
46,600563,法拉电子,,,2.49,,0.56,2237.72,,,11-20
47,600525,长园集团,,,1.8,11.89,0.14,1530.28,,,11-13
48,600511,国药股份,,,1.84,,0.09,1447.28,,,11-07
49,600353,旭光股份,,,2.78,,,660.88,,,10-31
50,600549,厦门钨业,,,2.6,13.38,0.15,2937.1,,,10-21
51,600552,凯盛科技,,,1.89,7.74,,703.3,,,10-18
52,600571,信雅达,,,1.81,13.94,,953.92,,,10-14
53,600532,宏达矿业,,,2.02,11.29,,1081.08,,,10-11
54,600559,老白干酒,,,1.6,,0.2,1186.0,,,10-09
55,000875,吉电股份,,,2.27,3.72,0.04,5234.64,,,09-21
56,600050,中国联通,,,1.71,3.7,,92323.31,,,09-17
57,600499,科达洁能,,,2.59,18.35,0.33,1517.62,,,09-13
58,600587,新华医疗,,,2.49,,0.05,959.84,,,09-09
59,600351,亚宝药业,,,1.3,11.87,,1092.34,,,09-06
60,000509,华塑控股,,,2.97,,-0.94,-2128.07,-177.34,,09-04
61,600557,康缘药业,,,1.59,12.95,,1001.31,,,09-02
62,600629,华建集团,,,-2.62,,0.07,171.49,-113.7,,08-31
63,600131,岷江水电,,,2.04,1.65,-0.07,993.17,-16.43,,08-31
64,600190,锦州港,,,1.52,,0.04,3296.55,-38.48,,08-31
65,000557,西部创业,,,-1.11,,-0.01,1564.6,-180.1,,08-31
66,600613,神奇制药,,,1.52,-7.57,0.05,-1703.8,-642.58,,08-31
67,600759,洲际油气,,,-1.73,,0.01,16.04,-104.25,,08-31
68,600829,人民同泰,,,3.86,,0.08,884.02,-48.72,10转5,08-31
69,600841,上柴股份,,,3.43,4.31,0.47,6968.29,60.13,,08-31
70,600758,红阳能源,,,1.54,,0.07,-963.07,-424.81,,08-31
71,600811,东方集团,,,4.62,2.97,0.26,7768.75,-7.93,,08-31
72,600129,太极集团,,,4.07,3.56,0.3,3598.37,-40.67,,08-31
73,000686,东北证券,,,3.01,0.78,-0.03,360.28,-46.32,,08-30
74,600058,五矿发展,,,4.52,4.6,2.49,8674.73,24.77,,08-30
75,600234,ST山水,,,2.09,,-0.14,-2369.59,140.16,,08-30
76,600560,金自天正,,,2.43,10.52,0.06,1129.08,,,08-30
77,000671,阳光城,,,1.8,1.18,-0.22,200.44,-43.67,,08-30
78,600645,中源协和,,,1.46,0.38,0.0,137.19,-69.32,,08-30
79,000752,西藏发展,,,2.08,5.49,0.51,1953.36,34.22,,08-30
80,000968,蓝焰控股,,,2.98,3.13,-0.24,3625.9,38.45,,08-30
81,000620,新华联,,,1.03,,-0.01,-835.51,-135.15,,08-30
82,600277,亿利洁能,,,4.49,2.01,0.02,1410.26,7.18,,08-30
83,000725,京东方A,,,3.89,,0.08,5651.61,2.57,,08-29
84,000532,华金资本,,,1.98,9.33,-0.05,3858.49,108.81,10转3,08-29
85,600526,菲达环保,,,1.77,,-0.08,1031.93,-17.14,,08-29
86,600106,重庆路桥,,,2.99,3.96,0.1,3598.02,2.15,,08-29
87,000585,东北电气,,,0.58,10.48,-0.12,3793.9,-135.9,,08-28
88,000720,新能泰山,,,3.93,2.07,0.0,2596.53,-48.64,10派0.75送3转2,08-28
89,000851,高鸿股份,,,1.24,-18.32,0.03,-5640.64,481.05,,08-28
90,600448,华纺股份,,,3.01,0.05,0.04,37.05,-96.34,,08-28
91,000017,深中华A,,,-4.21,,,-2964.96,-49.12,,08-28
92,000931,中关村,,,2.53,0.3,-0.24,518.11,-93.23,,08-28
93,000788,北大医药,,,1.29,,-0.09,-3974.32,172.76,,08-28
94,000698,沈阳化工,,,3.47,0.9,-0.04,1316.05,-36.8,,08-28
95,000413,东旭光电,,,1.44,,-0.0,140.54,-97.3,,08-28
96,000587,金洲慈航,,,2.49,0.13,-0.08,58.37,-96.05,,08-28
97,600329,中新药业,,,4.06,,0.23,5188.83,31.79,,08-28
98,000682,东方电子,,,0.53,,-0.14,-6271.97,-125.21,,08-28
99,600595,中孚实业,,,4.81,,0.45,3023.5,43.94,,08-28
100,600617,国新能源,,,1.44,-18.51,-0.1,-4449.02,-2370.62,,08-28
101,000693,*ST华泽,,,3.07,1.55,0.38,605.48,-76.16,,08-27
102,600199,金种子酒,,,2.82,,-0.06,1469.99,-45.62,,08-27
103,000566,海南海药,,,-1.23,,0.1,-58.1,-99.54,,08-27
104,000680,山推股份,,,2.4,12.1,0.3,7728.66,103.54,,08-27
105,600531,豫光金铅,,,2.46,9.96,0.02,1907.28,9.22,,08-27
106,000908,景峰医药,,,1.8,1.43,-0.04,717.87,-41.52,,08-27
107,600729,重庆百货,,,2.24,7.69,0.24,3385.58,9.58,,08-27
108,600745,闻泰科技,,,1.1,5.19,0.13,687.05,-180.8,,08-27
109,000603,盛达矿业,,,0.17,-25.82,0.05,-494.74,20.75,,08-27
110,000672,上峰水泥,,,1.71,,0.04,264.7,-40.04,,08-27
111,600718,东软集团,,,4.47,,-0.19,4864.9,-37.05,,08-27
112,002181,粤传媒,,,2.66,5.3,0.09,2734.37,-2.72,,08-27
113,000635,英力特,,,0.84,-62.71,-0.02,-8747.2,-3209.2,,08-27
114,000039,中集集团,,,5.18,9.85,0.09,24817.42,-26.73,,08-27
115,000520,长航凤凰,,,2.48,,0.23,2363.99,9.28,,08-27
116,600115,东方航空,,,1.29,,0.26,5370.17,-123.71,,08-27
117,600120,浙江东方,,,2.36,7.14,-0.55,5153.1,-27.73,,08-27
118,000723,美锦能源,,,1.42,4.22,0.08,817.7,-112.24,,08-27
119,600814,杭州解百,,,1.65,,0.12,487.58,-65.38,,08-27
120,600565,迪马股份,,,1.61,,1.04,2422.68,-11.68,,08-27
121,600137,浪莎股份,,,1.43,,-0.18,-5963.97,-603.15,,08-27
122,600528,中铁工业,,,4.33,3.05,-0.52,5343.03,-22.85,,08-27
123,600119,长江投资,,,1.8,,0.21,1085.9,7.68,10转2,08-27
124,600335,国机汽车,,,2.77,0.06,-0.76,18.47,-96.28,,08-27
125,600703,三安光电,,,1.33,0.89,-0.35,140.24,-90.88,,08-27
126,000548,湖南投资,,,3.13,,0.09,2411.08,-43.7,,08-27
127,000592,平潭发展,,,0.67,0.31,-0.03,61.14,-36.05,,08-27
128,000882,华联股份,,,1.9,0.99,0.74,465.56,-25.59,,08-27
129,000921,海信科龙,,,2.54,4.6,0.16,11268.13,470.51,,08-27
130,600081,东风科技,,,2.07,,0.55,3006.37,31.34,10转2,08-26
131,000048,康达尔,,,0.14,,0.13,494.6,-120.67,,08-26
132,600580,卧龙电气,,,3.92,5.73,0.26,1562.87,-3.18,,08-26
133,600515,海航基础,,,1.95,,-0.04,1089.54,21.7,,08-26
134,000016,深康佳A,,,4.87,0.83,0.64,2419.92,-112.67,,08-26
135,000096,广聚能源,,,3.04,4.25,0.26,4174.3,3.47,,08-26
136,600773,西藏城投,,,2.56,-2.08,-0.16,-694.08,-135.31,10转4,08-26
137,000519,中兵红箭,,,2.34,,-0.17,700.11,-49.65,,08-26
138,600385,山东金泰,,,1.41,,-0.05,364.73,-45.77,,08-26
139,000826,启迪桑德,,,1.56,,-0.02,-1483.56,-52.93,,08-26
140,000890,法尔胜,,,3.26,,0.01,2584.96,-34.11,,08-26
141,001696,宗申动力,,,0.24,15.56,0.63,471.59,-153.97,,08-26
142,600107,美尔雅,,,2.3,-2.08,-0.04,-1712.97,-145.39,,08-26
143,000411,英特集团,,,0.65,,0.02,60.72,-103.32,,08-26
144,600747,*ST大控,,,2.75,,0.05,7896.77,84.96,,08-26
145,000089,深圳机场,,,4.71,8.39,0.29,18940.28,-4.15,10转6,08-26
146,600876,洛阳玻璃,,,2.09,,-0.07,-9840.5,-1335.31,,08-26
147,600714,金瑞矿业,,,2.06,,-0.03,470.15,5.87,,08-24
148,600781,辅仁药业,,,1.05,,0.04,-741.46,-813.92,,08-24
149,000591,太阳能,,,2.51,,-0.35,850.2,-37.83,,08-24
150,600859,王府井,,,3.92,1.02,0.11,1556.73,-10.84,,08-24
151,600086,东方金钰,,,1.43,1.63,-0.02,816.13,4.09,,08-24
152,000409,山东地矿,,,1.28,,-0.0,222.73,7.34,,08-24
153,600674,川投能源,,,1.55,,0.02,2162.02,-46.77,,08-24
154,000572,海马汽车,,,0.23,-6.14,-0.03,-305.06,-825.68,,08-24
155,600498,烽火通信,,,5.62,,-0.79,4638.53,-45.86,,08-24
156,600679,上海凤凰,,,1.45,0.94,0.03,827.09,2.66,,08-24
157,000540,中天金融,,,1.46,1.62,-0.14,768.08,-77.58,,08-24
158,600326,西藏天路,,,2.14,2.57,-0.53,973.8,22.36,,08-24
159,000692,惠天热电,,,4.3,1.46,-0.37,1664.27,-46.1,,08-24
160,000732,泰禾集团,,,3.19,,-0.56,65.1,-87.39,,08-24
161,000022,深赤湾A,,,3.12,,0.46,7720.9,198.61,,08-24
162,000028,国药一致,,,1.25,1.98,0.06,708.97,-86.48,,08-24
163,600275,*ST昌鱼,,,2.36,,0.07,1137.59,-49.1,,08-24
164,600734,实达集团,,,1.68,2.19,-0.24,1278.59,10.71,,08-24
165,600509,天富能源,,,3.7,,-0.31,1990.72,17.62,,08-24
166,000009,中国宝安,,,1.24,,0.02,735.99,-37.34,,08-24
167,000034,神州数码,,,1.03,-11.47,0.3,-3899.85,-223.14,,08-24
168,600673,东阳光科,,,1.13,,-0.02,109.33,-59.95,,08-24
169,000707,双环科技,,,3.54,1.85,0.14,3012.12,-20.48,,08-24
170,600603,广汇物流,,,0.01,,0.05,-2639.57,-761.62,,08-24
171,000886,海南高速,,,2.56,,-0.03,2940.41,-14.15,,08-24
172,600346,恒力股份,,,3.03,2.07,-0.18,652.19,-9.78,,08-24
173,600779,水井坊,,,2.57,,-0.02,4048.0,-69.1,,08-24
174,000506,中润资源,,,1.25,2.51,0.01,774.39,-65.67,,08-24
175,600784,鲁银投资,,,1.96,-14.43,0.02,-7460.46,-620.27,,08-24
176,600373,中文传媒,,,2.04,,-0.11,448.09,-43.21,,08-24
177,600803,新奥股份,,,2.64,2.16,0.03,665.31,6.11,,08-24
178,600279,重庆港九,,,3.17,,0.06,1541.09,-9.8,,08-24
179,600722,金牛化工,,,2.31,,,675.55,-84.0,,08-24
180,000540,中天金融,,,1.46,1.62,-0.14,768.08,-77.58,,08-24
181,600326,西藏天路,,,2.14,2.57,-0.53,973.8,22.36,,08-24
182,600509,天富能源,,,3.7,,-0.31,1990.72,17.62,,08-24
183,000009,中国宝安,,,1.24,,0.02,735.99,-37.34,,08-24
184,000028,国药一致,,,1.25,1.98,0.06,708.97,-86.48,,08-24
185,600275,*ST昌鱼,,,2.36,,0.07,1137.59,-49.1,,08-24
186,600734,实达集团,,,1.68,2.19,-0.24,1278.59,10.71,,08-24
187,000707,双环科技,,,3.54,1.85,0.14,3012.12,-20.48,,08-24
188,000034,神州数码,,,1.03,-11.47,0.3,-3899.85,-223.14,,08-24
189,600673,东阳光科,,,1.13,,-0.02,109.33,-59.95,,08-24
190,600603,广汇物流,,,0.01,,0.05,-2639.57,-761.62,,08-24
191,000886,海南高速,,,2.56,,-0.03,2940.41,-14.15,,08-24
192,600346,恒力股份,,,3.03,2.07,-0.18,652.19,-9.78,,08-24
193,600779,水井坊,,,2.57,,-0.02,4048.0,-69.1,,08-24
194,000506,中润资源,,,1.25,2.51,0.01,774.39,-65.67,,08-24
195,600784,鲁银投资,,,1.96,-14.43,0.02,-7460.46,-620.27,,08-24
196,600373,中文传媒,,,2.04,,-0.11,448.09,-43.21,,08-24
197,600803,新奥股份,,,2.64,2.16,0.03,665.31,6.11,,08-24
198,600279,重庆港九,,,3.17,,0.06,1541.09,-9.8,,08-24
199,600722,金牛化工,,,2.31,,,675.55,-84.0,,08-24
200,000758,中色股份,,,2.29,-1.44,-0.06,-1261.89,-209.38,,08-23
201,600520,中发科技,,,3.88,,0.08,1196.72,-3.37,10派1,08-23
202,600243,青海华鼎,,,2.59,,-0.04,659.49,-25.78,,08-23
203,600819,耀皮玻璃,,,3.53,,0.13,5790.92,-37.03,,08-23
204,600663,陆家嘴,,,2.41,,0.36,7313.91,7.67,,08-23
205,600894,广日股份,,,2.3,,0.15,3455.03,13.48,,08-23
206,000819,岳阳兴长,,,2.18,2.44,0.2,870.36,-48.17,,08-23
207,000550,江铃汽车,,,2.03,7.73,0.57,13004.5,85.07,,08-23
208,600360,华微电子,,,4.89,,0.2,797.33,-41.3,,08-23
209,600095,哈高科,,,2.06,,-0.05,-5791.19,-527.33,,08-23
210,601607,上海医药,,,4.98,,-0.13,6754.05,-15.77,,08-23
211,600583,海油工程,,,4.84,5.4,-0.63,5936.93,22.71,10派2,08-23
212,600601,方正科技,,,1.73,,-0.48,5681.6,-7.46,,08-23
213,000537,广宇发展,,,2.15,4.33,0.16,3704.83,-49.11,,08-23
214,000555,神州信息,,,1.03,-14.83,-0.58,-1349.33,-421.93,,08-23
215,600742,一汽富维,,,5.39,,0.28,9402.3,26.85,,08-23
216,600550,保变电气,,,2.58,,-0.18,1566.54,16.27,,08-23
217,600270,外运发展,,,4.61,8.48,0.66,13717.93,10.71,,08-23
218,600801,华新水泥,,,2.24,,0.33,1164.86,18.14,,08-23
219,600577,精达股份,,,2.06,18.73,0.62,1408.79,,,08-23
220,000876,新希望,,,5.53,4.6,0.08,4850.97,14.22,,08-23
221,600667,太极实业,,,1.51,,0.02,89.23,-105.21,,08-23
222,600637,东方明珠,,,4.74,,-0.05,7317.88,-47.37,,08-23
223,000830,鲁西化工,,,3.8,,0.35,3865.27,5.97,,08-23
224,000927,一汽夏利,,,1.9,-13.72,0.99,-40651.35,-634.94,,08-23
225,600696,*ST匹凸,,,1.43,,0.1,2153.5,-199.0,,08-23
226,600395,盘江股份,,,3.18,,0.08,3232.47,-4.28,,08-23
227,000010,美丽生态,,,1.03,,-0.14,119.23,-22.06,,08-23
228,600162,香江控股,,,3.45,,0.83,1620.04,111.93,,08-23
229,600702,沱牌舍得,,,4.75,,0.03,859.73,-32.48,,08-23
230,000998,隆平高科,,,7.63,1.88,0.36,1503.95,-48.92,,08-23
231,600751,天海投资,,,2.33,0.45,-0.29,519.17,-9.84,,08-23
232,600223,鲁商置业,,,3.34,3.54,0.03,6215.23,-26.85,,08-23
233,600281,太化股份,,,2.89,,-0.12,895.15,-65.01,,08-23
234,000616,海航投资,,,3.26,0.32,-0.34,153.0,-87.08,10转3,08-23
235,600853,龙建股份,,,1.2,3.17,0.16,1993.45,-156.61,,08-23
236,000860,顺鑫农业,,,3.57,,-0.03,3587.71,1.48,,08-23
237,000795,英洛华,,,2.78,,-0.02,112.08,-80.32,,08-23
238,600665,天地源,,,1.74,,0.13,1010.29,3.42,,08-23
239,000997,新大陆,,,5.28,2.55,-0.15,1539.86,-25.11,,08-23
240,600162,香江控股,,,3.45,,0.83,1620.04,111.93,,08-23
241,600702,沱牌舍得,,,4.75,,0.03,859.73,-32.48,,08-23
242,000998,隆平高科,,,7.63,1.88,0.36,1503.95,-48.92,,08-23
243,600751,天海投资,,,2.33,0.45,-0.29,519.17,-9.84,,08-23
244,600395,盘江股份,,,3.18,,0.08,3232.47,-4.28,,08-23
245,600223,鲁商置业,,,3.34,3.54,0.03,6215.23,-26.85,,08-23
246,600281,太化股份,,,2.89,,-0.12,895.15,-65.01,,08-23
247,000616,海航投资,,,3.26,0.32,-0.34,153.0,-87.08,10转3,08-23
248,600853,龙建股份,,,1.2,3.17,0.16,1993.45,-156.61,,08-23
249,000860,顺鑫农业,,,3.57,,-0.03,3587.71,1.48,,08-23
250,000795,英洛华,,,2.78,,-0.02,112.08,-80.32,,08-23
251,600665,天地源,,,1.74,,0.13,1010.29,3.42,,08-23
252,000997,新大陆,,,5.28,2.55,-0.15,1539.86,-25.11,,08-23
253,000800,一汽轿车,,,2.84,2.13,0.4,9764.71,35.01,,08-23
254,600239,云南城投,,,3.47,,0.1,1011.57,-17.24,,08-23
255,600640,号百控股,,,3.16,,-0.13,3035.58,10.04,,08-22
256,000539,粤电力A,,,2.55,11.84,0.35,73732.15,38.18,,08-22
257,600712,南宁百货,,,2.97,,-0.04,411.64,-5.11,,08-22
258,000767,漳泽电力,,,3.6,,0.5,5348.67,-18.55,,08-22
259,600108,亚盛集团,,,2.29,3.36,0.03,4720.67,-23.14,,08-22
260,600671,天目药业,,,2.02,,-0.27,219.48,8.08,,08-22
261,600688,上海石化,,,1.91,1.49,0.15,20336.9,44.65,,08-22
262,000595,*ST宝实,,,2.28,-6.23,0.02,-2569.83,-437.71,,08-22
263,000729,燕京啤酒,,,5.55,,0.35,11376.59,-19.0,,08-22
264,600657,信达地产,,,4.62,3.48,1.42,2925.7,2.97,,08-22
265,600796,钱江生化,,,3.28,4.25,0.13,1173.67,-41.3,,08-22
266,600872,中炬高新,,,2.73,,0.11,702.92,-81.94,,08-22
267,600196,复星医药,,,3.48,,0.17,6527.13,-27.75,,08-22
268,000505,珠江控股,,,1.01,,-0.1,-887.29,-228.42,,08-22
269,000525,红太阳,,,1.87,,-0.27,4161.05,-28.99,,08-22
